Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,中山大学,中山大学2队,陈景泰,吴永聪,薛炜鹏,张子臻,,True,11,1306,Gold,+1(145),+(11),+(35),+2(108),+(38),+3(286),-1,+(269),+(52),+(8),+(17),,+1(193)
2,2,北京大学,随机匹配,柯绎思,柯怿憬,谢梓涵,张勤健,,True,10,984,Gold,+(132),+(23),+1(65),+2(106),+(39),,-2,+1(227),+(48),+(7),+(28),,+2(186)
3,3,杭州电子科技大学,2024杭电2队,徐墨凡,徐铭扬,余梓诚,穆海伦,,True,10,984,Gold,+(133),+(18),+1(77),+1(148),+(49),,,+(186),+(46),+(9),+(22),-1,+(252)
4,4,北京航空航天大学,迷人幽谷,董和军,蒋槟阳,王大禹,宋友,,True,10,1102,Gold,+1(196),+2(25),+2(76),+1(101),+(40),-1,,+1(229),+(45),+(17),+(20),,+2(169)
5,5,哈尔滨工业大学,蓬莱人形,陈煜航,丁文涛,张彭凯,赵文博,,True,10,1175,Gold,+2(169),+(8),+(88),+(74),+(29),-1,,+3(293),+2(63),+(9),+(12),-1,+2(246)
6,6,浙江大学,十发罚时,吴与伦,徐锐扬,黄祯源,王灿,,True,10,1213,Gold,+(108),+(22),+(128),+5(250),+(63),,,+2(274),+(34),+(10),+(14),-1,+2(125)
7,,北京大学,愛計算姬,徐朝睿,苏泓燃,刘佳未,罗国杰,,True,10,1222,Gold,+1(156),+(29),+1(110),+(68),+(51),,,+1(299),+1(30),+(10),+(35),,+4(270)
8,,浙江大学,又活一天,王楚淏,王羽立,高宏钧,王灿,,True,10,1254,Gold,+1(179),+(10),+1(85),+3(236),+(25),,,+(281),+(44),+(6),+(15),-9,+(267)
,,重庆南开中学,Lyx可爱，我说得对不,李奕希,冯禹翔,池昊轩,何浪,,False,10,1265,,+1(88),+(28),+(108),+(229),+1(42),,,+4(282),+(55),+(7),+(31),-8,+4(190)
9,7,复旦大学,关注 Hydro 谢谢喵,陈佳鹏,于文阔,徐子恩,孙未未,,True,9,854,Gold,+1(96),+(10),+(84),-12,+(43),,,+1(284),+(53),+(12),+(19),,+1(190)
10,8,上海交通大学,只支持修改，不支持查询,杨崇烨,李俊毅,于恩帝,俞勇,,True,9,881,Gold,+(194),+(12),+2(88),+1(107),+1(32),,,+1(289),+(33),+(7),+(15),,
11,9,山东大学,我火把呢,周何,王在烜,许蕴朴,鹿旭东,,True,9,987,Gold,+(138),+(23),+(124),+1(234),+(45),,,+(275),+(62),+(28),+(33),,-1
12,,中山大学,中山大学新1队,张宸睿,周睿韬,张益晟,张子臻,,True,9,1004,Gold,+(122),+(29),+3(62),+1(171),+(88),,,-1,+(86),+(11),+(51),,+2(260)
13,10,华中科技大学,真的不退役吗,汪文卓,金城根,杨治,何琨,,True,9,1005,Gold,+1(162),+1(18),+1(107),+2(194),+(33),,,+1(282),+(44),+(10),+(30),,
,,重庆南开中学,妮可妮可妮,刘东林,何宇翔,刘谨瑞,董又铭,,False,9,1056,,+(119),+(29),+4(69),-4,+(82),,,+1(299),+(79),+(11),+(69),,+1(175)
14,11,湖南大学,芙兰大学,朱名扬,张世东,吕乐,吴昊,,True,9,1069,Gold,+(231),+(23),+1(78),+3(170),+1(60),,,+1(256),+(83),+(13),+(32),,-1
15,,哈尔滨工业大学,w4p3r Black-fan Club,杜沛键,谢书泱,邱思宇,赵文博,,True,9,1119,Gold,+(161),+(32),+(138),+(126),+1(39),,,,+(44),+(11),+(29),,+11(296)
16,12,福州大学,最佳小丑,林东颖,傅安,江滢怡,傅仰耿,,True,9,1358,Gold,+2(295),+(31),+2(206),+2(236),+(52),,,+(284),+(79),+(12),+(41),,
,,重庆南开中学,超级无敌究极原神大王,罗苗,谢夫汉,李柏霖,何浪,,False,9,1533,,+1(91),+(40),+7(265),+(224),+1(126),,,,+1(53),+(21),+(94),,+6(295)
17,,上海交通大学,影色舞,戴之恒,胡豪达,王越,俞勇,,True,8,557,Gold,+2(159),+(24),+(60),+2(139),+(30),,,,+(38),+(10),+(15),,-7
18,13,华东师范大学,Spa1+6dow Bl4ckfan-club,程籽实,谢书骁,汪鼎尊,肖春芸,,True,8,609,Gold,+(109),+1(37),+(63),+1(223),+(45),,,,+(73),+(9),+(6),,-1
19,14,厦门大学,闪光春日影,邹品聪,栾英石,陈朱迪,林文水,,True,8,656,Gold,+1(185),+(21),+(88),+1(148),+1(54),,,,+(69),+(19),+(8),,
20,15,哈尔滨工业大学（深圳）,潜水小怪,孙宇开,羊柯伍,梁彬,李穆,,True,8,690,Gold,+1(261),+(20),+1(109),+2(95),+(43),,,,+(51),+(6),+(23),,
21,16,北京邮电大学,摩可彭塔斯,区庆亮,鲍睿钊,谭怡萱,徐鹏,,True,8,705,Gold,+1(188),+(9),+1(112),-3,+(31),-8,,,+(81),+(10),+(14),,+(216)
22,17,浙江师范大学,树学与应用树学的小伙计来打ACM咯,陈增豪,许凯胤,王学远,韩建民,,True,8,708,Gold,-5,+(34),+(138),+(65),+(81),,,+(194),+1(112),+(12),+(50),,
23,18,南京邮电大学,内鬼猫猫头,张禹健,冯一帆,文超航,陈志,,True,8,708,Gold,-1,+(35),+(76),+3(144),+(46),,,+(285),+(14),+(12),+(31),,
24,19,香港中文大学（深圳）,WTYTO,涂宵箫,王泽诚,杨久知,马晨昊,,True,8,731,Gold,+(144),+(30),+(112),-9,+(59),,,,+(45),+(8),+(31),,+1(278)
25,20,东北大学秦皇岛分校,名字取好了吗,刘峻畅,肖轲闻,冯阳阳,王和兴,,True,8,734,Gold,,+(19),+(78),+3(184),+(50),,,+(266),+(43),+(9),+(21),,
26,21,东南大学,不休独舞,戚雨林,张皓,王希陶,倪庆剑,,True,8,744,Gold,+(136),+1(33),+(90),+4(262),+(53),,,,+(44),+(8),+(15),,
27,22,南京大学,智慧之树,李睿星,陈新,金昕炜,马骏,,True,8,803,Gold,+1(207),+(19),+2(143),+3(171),+(47),,,,+1(45),+(3),+(24),,-5
28,23,北京理工大学,Penalty这么高它的意思一定是分数吧,柯宁皓,张思哲,黄康,林永钢,,True,8,803,Gold,+2(106),+(49),+(201),,+(17),,,,+(67),+(13),+(19),,+2(247)
29,,华中科技大学,零,刘星佳,黄暄骜,刘铖,何琨,,True,8,811,Silver,+(170),+(29),+(109),,+(60),,,,+(51),+(15),+(16),,+3(297)
30,24,电子科技大学,UESTC_雪色光晕,张昕诺,李毅远,吕书武,汪小平,,True,8,849,Silver,-4,+(54),+1(117),+2(184),+(57),,,+(278),+(68),+(7),+(20),,
