Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,不渡轮回,郭羽冲,沈吉滪,陈昕阳,张勤健,False,True,10,1186,Gold,,,,,,,,,,,,,
2,2,杭州电子科技大学,2025杭电1队,马文浩,何卓锟,黄光升,刘春英,False,True,9,1285,Gold,,,,,,,,,,,,,
3,3,浙江大学,可莉不知道哦!,张湫阳,朱天煜,侯之远,王灿,False,True,9,1351,Gold,,,,,,,,,,,,,
4,4,中山大学,中山大学-游客模式,陈景泰,吴永聪,薛炜鹏,张子臻,False,True,8,871,Gold,,,,,,,,,,,,,
5,,浙江大学,十发罚时,吴与伦,徐锐扬,万弘,王灿,False,True,8,926,Gold,,,,,,,,,,,,,
6,5,北京理工大学,英文队名,王翔宇,谭意青,李皓辰,胡琳梅,False,True,8,1104,Gold,,,,,,,,,,,,,
7,,浙江大学,假如像他一样语文 130,毛艺婷,姜圻圣,张涵硕,王灿,False,True,8,1172,Gold,,,,,,,,,,,,,
8,6,东北大学,东北大学_和溢位,苏焜,谢天石,张佳栋,刘小锋,False,True,8,1341,Gold,,,,,,,,,,,,,
9,7,广东工业大学,打ACM导致的,庞翔,杨子弘,林正,孙宣东,False,True,8,1356,Gold,,,,,,,,,,,,,
10,,北京大学,饿鳄鱼,陈易涵,张乐天,程伟伦,张勤健,False,True,7,690,Gold,,,,,,,,,,,,,
11,8,同济大学,于离别之朝束起约定之花,高胜寒,靳嘉成,刘诗奇,叶晨,False,True,7,693,Gold,,,,,,,,,,,,,
12,9,香港科技大学（广州）,我坐戏子楼台前,郭沣,宋锦儒,赖宣宇,熊辉,False,True,7,740,Gold,,,,,,,,,,,,,
13,10,浙江理工大学,CF关注Fantasy_Blue谢谢喵,姚仁杰,任麒源,卢一鸣,叶海荣,False,True,7,769,Gold,,,,,,,,,,,,,
14,11,重庆邮电大学,蓝桥杯嘤之队,舒显航,黄宇哲,向炳权,郑申海,False,True,7,791,Gold,,,,,,,,,,,,,
15,12,山东大学,队名:SDU-ENG,钟以楠,刘智豪,陈方航,崔学峰,False,True,7,811,Gold,,,,,,,,,,,,,
16,13,哈尔滨工业大学,AAA模板推销http://hourai.nanani-fan.club,张彭凯,张城玮,丁文涛,赵文博,False,True,7,828,Gold,,,,,,,,,,,,,
17,14,西北工业大学,wanna be free,龚熙尧,尹新祥,程文楷,刘君瑞,False,True,7,847,Gold,,,,,,,,,,,,,
18,,山东大学,电话微波炉(暂定),詹靖杰,宿子腾,连君朴,崔学峰,False,True,7,885,Gold,,,,,,,,,,,,,
19,,香港科技大学（广州）,宏龙龙龙,张晋杰,叶秉宪,郑凯文,熊辉,False,True,7,920,Gold,,,,,,,,,,,,,
20,15,厦门大学,随机增量,杨晟明,季裕杰,戴思杰,林文水,False,True,7,944,Gold,,,,,,,,,,,,,
21,16,武汉大学,秘封俱乐部,潘非,李佳隆,熊师飏,董文永,False,True,7,952,Gold,,,,,,,,,,,,,
22,17,中国科学技术大学,中科大少女班代表队,冯正桦,邵晓玮,李俊辰,卢建良,False,True,7,983,Gold,,,,,,,,,,,,,
23,18,清华大学,Running on Test 826,梁宸铭,吴理源,胡梓康,邬晓钧,False,True,7,1038,Gold,,,,,,,,,,,,,
24,,浙江大学,杨桃星球II,应宸宇,周学诚,尤佳骏,王灿,False,True,7,1124,Gold,,,,,,,,,,,,,
25,19,南方科技大学,南方科技大学-巴库,王泰翔,殷铭轩,李佳霖,唐博,False,True,7,1140,Gold,,,,,,,,,,,,,
26,20,福州大学,闹剧结束了,叶志杰,程棋晖,林陈邦,傅仰耿,False,True,7,1150,Gold,,,,,,,,,,,,,
27,21,南京理工大学,塞勒波萨猫猫头,彭锐政,陈静波,刘懿臻,余立功,False,True,7,1155,Silver,,,,,,,,,,,,,
28,,中国科学技术大学,无垠,王怡钧,韩尚格,赖浩宸,卢建良,False,True,7,1200,Silver,,,,,,,,,,,,,
29,,武汉大学,很弱的低手,罗汇翔,蔡骐羽,张心悦,董文永,False,True,7,1208,Silver,,,,,,,,,,,,,
30,,西北工业大学,#N/A,牛马思元,张天翔,张贝西彦,刘君瑞,False,True,7,1210,Silver,,,,,,,,,,,,,
31,,北京大学,膜拜ljc大队,潘致辰,陈文灏,周俊豪,张勤健,False,True,7,1247,Silver,,,,,,,,,,,,,
32,22,杭州师范大学,救救GGBond,王昊琛,徐鑫懿,王科然,单振宇,False,True,7,1609,Silver,,,,,,,,,,,,,
33,23,上海交通大学,且歌,魏可臻,于恩帝,秦一苇,俞勇,False,True,6,601,Silver,,,,,,,,,,,,,
34,,中山大学,中山大学-喵喵队想旷工,邱泽敏,陈悠然,曹子键,张子臻,False,True,6,624,Silver,,,,,,,,,,,,,
35,24,浙江工业大学,ZJUT0,陈泓睿,冯梓航,陆仙梁,韩姗姗,False,True,6,646,Silver,,,,,,,,,,,,,
36,25,北京城市学院,队伍中文名,党金鹏,姜耀东,张依林,吉鹏硕,False,True,6,668,Silver,,,,,,,,,,,,,
37,,福州大学,斬 · 即 · 惡,陈宇,陈建涛,邱镇海,傅仰耿,False,True,6,669,Silver,,,,,,,,,,,,,
38,,厦门大学,闪光春日影,邹品聪,栾英石,李林泽,戴平阳,False,True,6,712,Silver,,,,,,,,,,,,,
39,26,浙江师范大学,我是猫娘,潘锦桦,俞天琦,曹钰超,韩建民,False,True,6,722,Silver,,,,,,,,,,,,,
40,27,中国传媒大学,再演,陈旻庚,叶阳,朱霁,杨丽芳,False,True,6,735,Silver,,,,,,,,,,,,,
41,28,电子科技大学,UESTC_等下掉线一会,赵锐枫,蔡锦哲,王东威,汪小平,False,True,6,740,Silver,,,,,,,,,,,,,
42,29,河海大学,罚时之羽如深渊相伴 血色acm人生!,林桁,周厚望,吕广信,张雪洁,False,True,6,804,Silver,,,,,,,,,,,,,
43,30,华东师范大学,"mex{fe,cu,ag}",王江扬,刘俊毅,严之皓,杜育根,False,True,6,835,Silver,,,,,,,,,,,,,
44,31,北京建筑大学,整场比赛最难的是对着dirt率憋笑,朱智睿,张禾,王弘毅,钱丽萍,False,True,6,873,Silver,,,,,,,,,,,,,
45,32,吉林大学,未来纵澜,刘昱,王宗凡,张力文,吕帅,False,True,6,874,Silver,,,,,,,,,,,,,
46,33,华中科技大学,终帆,吴高宇,刘嘉恒,阮弘毅,何琨,False,True,6,876,Silver,,,,,,,,,,,,,
47,,清华大学,泰拉大陆打星队,戈卿辉,华恒逸,程誉,邬晓钧,False,True,6,882,Silver,,,,,,,,,,,,,
48,34,东南大学,三英荟寝室,靳赫涛,杜鑫研,毛周祥,倪庆剑,False,True,6,887,Silver,,,,,,,,,,,,,
49,,华中科技大学,糖果酱,赵亮亮,丁易然,李嘉明,何琨,False,True,6,889,Silver,,,,,,,,,,,,,
50,35,重庆工程学院,布鲁粉丝团,张翔,胡鑫昊,,陈彬,False,True,6,890,Silver,,,,,,,,,,,,,
51,36,大连理工大学,逆元,刘博文,刘兆洲,连茗暄,梁冰,False,True,6,892,Silver,,,,,,,,,,,,,
52,37,兰州大学,榆[渝]中校区代表队,吕澎,吴晨阳,张恩彬,马俊,False,True,6,898,Silver,,,,,,,,,,,,,
53,38,西安交通大学,麒麟王,姜宇骋,王君睿,林子涵,王龙翔,False,True,6,940,Silver,,,,,,,,,,,,,
54,,华东师范大学,"至此,一锤定音",冯顾炜,许乐,冯嘉一,肖春芸,False,True,6,948,Silver,,,,,,,,,,,,,
55,39,哈尔滨工业大学（深圳）,哈气五小时,曹鹏宇,高俊垚,曹锦程,唐琳琳,False,True,6,959,Silver,,,,,,,,,,,,,
56,40,哈尔滨工业大学（威海）,昨日圆车,李欣鹏,焦浩清,廖航,董开坤,False,True,6,966,Silver,,,,,,,,,,,,,
57,41,中国人民大学,睡眠零队,吴致楷,段宇哲,张梓桐,汪云海,False,True,6,978,Silver,,,,,,,,,,,,,
58,,华中科技大学,"昔之软糯者,已然逝去。",严原一,赖明恺,盖政华,何琨,False,True,6,999,Silver,,,,,,,,,,,,,
59,,中国科学技术大学,摸鱼之魂终将归来,温家睿,陈凌峰,林度,卢建良,False,True,6,1030,Silver,,,,,,,,,,,,,
60,42,浙江农林大学,天河圣芒斩,任益超,朱冠霖,陈柳,童孟军,False,True,6,1075,Silver,,,,,,,,,,,,,
61,43,北京师范大学,安卓狗,罗一粟,季涛,王梓霁,徐鹏飞,False,True,5,362,Silver,,,,,,,,,,,,,
62,44,中南大学,天堂鸟,张博源,孙汉涛,沈宇科,陈再良,False,True,5,467,Silver,,,,,,,,,,,,,
63,45,华南理工大学,打xcpc不喊我,吕浩天,徐睿,梁立州,冼楚华,False,True,5,476,Silver,,,,,,,,,,,,,
64,,浙江工业大学,ZJUT2,周泳良,闵士轩,周睿,侯向辉,False,True,5,479,Silver,,,,,,,,,,,,,
65,46,湖南师范大学,请问你想来一只旺仔奶龙吗,陶子杨,董爵硕,高嘉鑫,罗迅,False,True,5,489,Silver,,,,,,,,,,,,,
66,47,湖南大学,124816,朱名扬,张世东,吕乐,吴昊,False,True,5,493,Silver,,,,,,,,,,,,,
67,48,北京航空航天大学,天铸币,龚锦勋,徐宏烯,李博琛,宋友,False,True,5,496,Silver,,,,,,,,,,,,,
68,49,深圳技术大学,SZTU_水银之毒,蔡泽垲,刘俊豪,林坚炜,郭云镝,False,True,5,569,Silver,,,,,,,,,,,,,
69,50,西安电子科技大学,咖啡馆的贴贴物语,邹文定,王翼天,洪健力,张淑平,False,True,5,569,Silver,,,,,,,,,,,,,
70,,哈尔滨工业大学（深圳）,会赢吗?,秦绍竣,王一鸣,任德阳,唐琳琳,False,True,5,592,Silver,,,,,,,,,,,,,
71,51,华东理工大学,飞向边界杯,傅正航,朱晨煊,胡观复,罗勇军,False,True,5,600,Silver,,,,,,,,,,,,,
72,,北京航空航天大学,双星很难吗?我rks12.66,刘睿知,陈文卓,金厚泽,宋友,False,True,5,618,Silver,,,,,,,,,,,,,
73,52,武汉理工大学,树下猫猫虫,朱振傲,段宇坤,朱选文,赵冬冬,False,True,5,625,Silver,,,,,,,,,,,,,
74,,电子科技大学,UESTC_在理工学校想邂逅艺术学妹搞错了什么,冉泽宇,许庆山,褚睿极,吴磊,False,True,5,628,Silver,,,,,,,,,,,,,
75,53,南京大学,呢喃得了mvp,王意诚,卢泰烨,荣恒嬉,马骏,False,True,5,630,Silver,,,,,,,,,,,,,
76,,电子科技大学,UESTC_十斤鸭梨,黄霖,徐辰烨,祁泓金,杨鹏,False,True,5,635,Silver,,,,,,,,,,,,,
77,54,湖南科技大学,馥 梦 繁 花,胡博潇,毛祎昀,蒋心妍,张世文,False,True,5,638,Silver,,,,,,,,,,,,,
78,55,南京信息工程大学,请输入文本(南京),龚敏,崔嘉豪,刘一鸣,郑关胜,False,True,5,640,Silver,,,,,,,,,,,,,
79,56,东北大学秦皇岛分校,最澄澈的空与海,张昱东,王若翔,张裕博,王和兴,False,True,5,656,Bronze,,,,,,,,,,,,,
80,,哈尔滨工业大学,你有一块真正的金牌吗,郭昕旸,陈泺嘉,邱思宇,赵文博,False,True,5,677,Bronze,,,,,,,,,,,,,
81,,吉林大学,久世浮倾,孔泉智,邱天,赵星宇,吕帅,False,True,5,688,Bronze,,,,,,,,,,,,,
82,,重庆邮电大学,流离之人追逐幻影,欧阳馨,任明乾,孙艺恒,陈鹏,False,True,5,696,Bronze,,,,,,,,,,,,,
83,,南方科技大学,南方科技大学-卡拉巴赫,娄午尘,李钰曦,侯宇轩,唐博,False,True,5,701,Bronze,,,,,,,,,,,,,
