Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
,,个人参赛,CF 皇帝,杜瑜皓,蒋凌宇,许淇文,时庆钰,,False,12,1593,,+1(276),+(13),+1(86),+(103),+3(235),+(158),+(17),+4(159),+(50),+1(57),+(206),-2,+(33)
1,1,北京大学,飞带不长队,方心童,蒋承佑,郑钧,罗国杰,,True,10,1188,Gold,-1,+(46),+(290),+2(88),-1,-1,+(31),+(144),+(50),+(61),+(125),+(268),+1(25)
,,清华大学,零基础新生 1 队,刘海峰,陈诺,徐骁扬,邬晓钧,,False,10,1799,,,+1(31),+(253),+3(106),+15(283),,+(14),+8(213),+(64),+(39),+1(191),,+1(25)
2,2,清华大学,Escape,任舍予,郭雨豪,郑玄晔,邬晓钧,,True,8,1150,Gold,,+(58),,+4(137),-1,-5,+1(43),+6(290),+(49),+(78),+(256),,+(19)
3,3,东北大学,东北大学_和溢位,苏焜,谢天石,张佳栋,刘小锋,,True,7,722,Gold,,+(75),,+1(156),,,+(15),-2,+(101),+(57),+(272),,+(26)
4,,北京大学,东方永雏塔,朱汶宣,金点,谢钟傲,张勤健,,True,7,827,Gold,,+(27),,+(183),,,+(57),,+(81),+1(156),+(258),,+(45)
5,4,中国科学技术大学,铜铜铜sahur,范宇祺,孙志浩,梁嘉文,周英华,,True,7,984,Gold,,+2(95),,+1(203),+1(273),,+(28),,+(115),+(49),,,+(141)
6,5,中山大学,中山大学-中大25一队,董睿嘉,孔德锐,刘铭仁,张子臻,,True,7,1086,Gold,,+2(75),-1,+2(204),,,+1(11),+6(251),+(102),+(176),-5,,+1(27)
7,6,复旦大学,使题来袭╭(╯ε╰)╮AC力场全开,陈佳鹏,阚子淳,徐子恩,孙未未,,True,7,1087,Gold,,+1(41),+3(271),+4(283),,,+1(55),,+(76),+1(75),,,+2(46)
8,7,吉林大学,故障吉奇人,于之航,陈鹏旭,徐梓博,吕帅,,True,7,1102,Gold,,+1(74),,+3(186),,,+(37),,+(91),+(178),+5(295),,+1(41)
9,8,北京交通大学,绮罗星距离,陈可致,杨展宇,李沛桐,黄华,,True,7,1120,Gold,-1,+1(144),,+(227),,,+2(78),-1,+(108),+(172),+(280),,+1(31)
10,9,上海交通大学,空月之歌,朱一铭,周学信,张建军,俞勇,,True,7,1142,Gold,,+1(94),,+(208),,,+(79),-1,+(127),+(211),+(250),,+3(93)
11,10,南京大学,我们仍未知道那天所看见的acmer的名字,张瑞珉,朱羽宽,陈子达,马骏,,True,6,482,Gold,,+(41),,+(109),,,+(15),,+(90),+(137),,-1,+2(50)
12,,复旦大学,所以我们队名叫啥 [思考],曾添琪,李天呈,郑杞珩,孙未未,,True,6,688,Gold,,+(46),,+2(199),,-9,+(62),,+(191),+(120),-3,,+(30)
13,11,北京航空航天大学,咚嘚嘚咚嘚嘚啊啊啊啊啊(转一圈),蒋槟阳,王大禹,董和军,宋友,,True,6,689,Gold,,+4(56),,+3(248),,,+(44),,+(75),+(98),,,+(28)
14,,复旦大学,三棱镜,戴承皓,潘梓睿,杨辰浩,孙未未,,True,6,717,Gold,,+1(84),,+1(187),,,+1(56),-27,+(95),+(143),,,+2(52)
15,12,中国人民大学,Distance,颜黎,江易洋,施涵森,汪云海,,True,6,763,Gold,,+(31),,+1(239),,,+(43),,+1(232),+1(86),-4,,+2(32)
16,,上海交通大学,青蘋之末,谭钧豪,江若泓,朱添翼,俞勇,,True,6,777,Gold,,+(72),,+(234),,-1,+(57),,+(169),+1(149),-2,,+1(56)
,,郑州外国语学校,罩妘铳粉丝团,刘雨杭,贾孟澄,赵一博,杨晓东,,False,6,821,,,+1(108),-1,+5(120),,-31,+(61),,+(124),+2(198),,,+(50)
