Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
1,1,北京大学,赤橙黄绿蓝紫,钱易,蒋凌宇,,,,True,10,1369,Gold,+(26),,+(183),+(287),+2(132),+2(88),+(29),+1(123),+1(14),,+(136),+1(211)
2,2,清华大学,一路向北,许庭强,周航锐,唐绍轩,,,True,9,1134,Gold,+2(28),-6,+1(139),,+1(212),+1(127),+(28),+1(76),+1(18),,+1(182),+(164)
3,,清华大学,world. search (you);,刘一平,张景行,万成章,,,True,9,1584,Gold,+1(45),,+(243),-2,+1(185),+1(263),+(69),+(103),+(24),,+1(234),+2(298)
,,杭州市第二中学,报名早了，名额有了,,,,,,False,8,1247,,+1(29),,,,+2(143),+1(175),+(118),+2(79),+(21),,+2(295),+1(207)
,,南京外国语学校,天天有比赛，多开心,,,,,,False,8,1286,,+(15),,-2,,+2(151),+(123),+(97),+2(269),+(24),,+(253),+2(234)
4,3,浙江大学,十发罚时,吴与伦,万弘,徐锐扬,,,True,8,1373,Gold,+1(36),,,,+3(123),+2(154),+3(231),+3(271),+(34),,+(79),+1(185)
5,,北京大学,思路打开,张致,朱剑枫,管晏如,,,True,8,1465,Gold,+4(35),,+(299),,+3(173),+(135),+1(118),+3(188),+(22),,,+1(255)
6,,浙江大学,来生,严子轩,彭博,张湫阳,,,True,7,1022,Gold,+(33),,,,+1(69),+3(216),+1(122),+1(240),+(25),,+(197),-4
7,4,北京交通大学,羊羊羊,斯修远,郭昱哲,夏鹤鸣,,,True,7,1178,Gold,+(33),,,,+5(117),+3(283),+(52),+1(146),+(9),,,+4(278)
8,,北京大学,随机匹配,柯绎思,柯怿憬,谢梓涵,,,True,7,1185,Gold,+1(43),,,,+(167),+2(201),+1(86),+3(238),+(20),,+1(270),
9,,浙江大学,又活一天,高宏钧,王羽立,王楚淏,,,True,7,1233,Gold,+1(48),,,,+4(223),+(230),+(78),+1(153),+(26),,+3(295),
,,浙江省诸暨市海亮高级中学,加训数据结构,,,,,,False,7,1254,,+(29),,,,+4(229),+3(137),+(94),-1,+1(15),,+2(205),+3(285)
10,5,中国科学技术大学,丝路市西套村代表队,洪文杰,郭一航,周翟恩和,,,True,7,1328,Gold,+1(61),,-1,,+(118),+2(243),+(172),+3(297),+(20),,+1(277),
11,6,哈尔滨工业大学,蓬莱人形,陈煜航,丁文涛,张彭凯,,,True,7,1331,Gold,+(31),,,,+8(139),+3(239),+2(105),+(217),+(15),,+2(285),
,,浙江金华第一中学,烟花易冷,,,,,,False,7,1353,,+(14),,+2(271),,+(66),+1(297),+3(152),,+(34),,,+5(299)
