Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,"Merry Christmas, Mr You",罗思远,葛子越,孟煜皓,Qinjian Zhang(Coach),,True,8,936,Gold,,+1(232),+(7),,+(146),+1(47),+1(113),+(172),,,+(40),+(119),
2,2,北京航空航天大学,Euphonium,蒋槟阳,王大禹,董和军,You Song(Coach),,True,8,1344,Gold,,+(288),+(10),,+1(281),+5(242),+(137),+(94),,-1,+(27),+1(125),
3,3,哈尔滨工业大学,Dolls in Pseudo Paradise,陈煜航,丁文涛,张彭凯,Wenbo Zhao(Coach),,True,7,891,Gold,,+(184),+(13),,-1,+3(80),+1(214),+(110),,,+(36),+1(154),
4,4,杭州电子科技大学,HDU-T01,马文浩,何卓锟,黄光升,Chunying LIU(Coach),,True,7,969,Gold,,+2(142),+(12),,,+2(294),+1(82),+1(74),,,+(16),+2(189),
,,Guangzhou Turing Edu.,Guangzhou Turing Edu.,Beiyu Li,Peizhen Hu,Haitian Peng,Han Lin(Coach),,False,7,1233,,,+(298),+(14),,+(133),,+(250),+2(175),,,+(46),+1(257),
5,5,上海大学,"Mako, suki",耿鹏成,松浩然,陶钧,Jun Shen(Coach),,True,7,1253,Gold,,+(268),+(10),,,+1(298),+(201),+3(206),,,+(40),+(150),
6,6,香港中文大学（深圳）,Path to the Peak,孙悠然,郭青硕,忙秋阳,Yixiang Fang(Coach),,True,7,1311,Gold,,+(288),+(12),,,+2(230),+2(272),+3(205),,,+1(40),+(104),
7,7,南京航空航天大学,BUG,赵乐坤,Junqi Lyu,胡昊天,Chunran Zou(Coach),,True,6,799,Gold,,,+(7),,,+2(110),+(179),+(172),,,+(56),+1(215),
8,8,香港大学,Hot Kpop Union,李其轩,徐启越,吴语晨,Qipeng Kuang(Coach),,True,6,807,Gold,,+(273),+(6),,,,+(116),+1(53),,,+(65),+2(234),
9,9,上海交通大学,Modification Only,杨崇烨,李俊毅,于恩帝,Yong Yu(Coach),,True,6,818,Gold,,+(85),+(10),,,-5,+2(211),+(155),,,+2(93),+(184),
10,10,吉林大学,Solar Express,陈俊甫,于之航,王一丁,Miao Liu(Coach),,True,6,1013,Gold,,+(157),+2(36),,,,+(127),+2(194),,,+(71),+3(288),
,,Hong Kong Olympiad in Informatics,HKOI 3,Yeung Shing Hei Angus,Cheng Yu San,Lu Yi Fung,Oa Yang Hau Chung(Coach),,False,6,1080,,,+(168),+(17),,,,+(265),+6(269),,,+(32),+(209),
11,11,香港科技大学,HKUST2,Yimo Zhang,Yin Fung LOK,Taimas Korganbayev,Qifeng Chen(Coach),,True,6,1140,Gold,-1,+(276),+1(15),-1,-1,-1,+(292),+4(153),-1,-1,+3(36),+(208),-1
,,Hong Kong Olympiad in Informatics,HKOI 2,Ko Kin Fung Nicholas,Mak Chun Hin Ivan,Lai Hong Tung Honrich,Oa Yang Hau Chung(Coach),,False,6,1193,,,+(242),+(11),,,-5,+(284),+3(265),,,+(37),+2(254),
12,12,中国科学技术大学,Xitao Village Team of Silk-road City,周翟恩和,洪文杰,郭一航,Guangzhong Sun(Coach),,True,6,1209,Gold,,+(233),+(14),,,+6(284),+1(176),+2(264),,,+(58),-1,
13,13,南方科技大学,SUSTech-Southern Breeze,林政宇,薛哲,曾子华,Bo Tang(Coach),,True,5,573,Gold,,,+(12),-4,,+(254),+(138),-1,,,+2(55),+(74),
14,14,华东师范大学,sha1+6deZ blackF4n-Club,谢书骁,汪鼎尊,程籽实,Chunyun Xiao(Coach),,True,5,605,Gold,,,+(13),,,+1(224),+(234),-6,,,+(43),+(71),
,,香港中文大学,HKOI 5,Sui Hei Lung,Chong Ho Hsieh,Chun Wong,Wai Ho Mak(Coach),,False,5,713,,,,+(12),,+(133),,,+4(298),,,+(34),+(156),
15,15,哈尔滨工业大学（深圳）,Good Problems!!!,高俊垚,李潭啸,蔡易轩,Linlin Tang(Coach),,True,5,918,Gold,-1,-1,+2(29),-1,-1,-1,+1(283),+(222),-1,-1,+1(56),+(248),-1
16,16,广东工业大学,GDUT_Playing Kasuga Shadow,林正,庞翔,梁展榕,Sun Xuandong(Coach),,True,4,311,Silver,,+(133),+(16),,,,,+(69),,,+(93),-3,-1
17,,香港科技大学,Firebird Chan Lay Harder,Ka Kit Lui,Yeung Sin Chun,Sin Hang Yeung,Qifeng Chen(Coach),,True,4,433,Silver,,,+(11),,,,+(150),-4,,,+(21),+2(211),
,,吉林大学,Lovely -CHO in Hong Kong,Quanzhi Kong,Zibo Xu,Leyuan Xi,Miao Liu(Coach),,False,4,435,,,+3(283),+(10),,,,-1,-4,,,+(23),+(59),
18,17,武汉大学,My new dream GO!!!,吴飞洋,卢凯宾,刘锡锐,Wenyong Dong(Coach),,True,4,457,Silver,,,+(11),,,-6,+(115),-2,,,+1(58),+1(233),
,,香港城市大学,Pure,Yixiong Gao,Shangkun Zheng,Yachao Yan,Minming Li(Coach),,False,4,478,,,,+(10),,,-1,+(235),-1,,,+(26),+(207),
19,18,西南科技大学,Only chance of lifetime,游克峰,刘雨凡,朱杰,Chunming Yang(Coach),,True,4,507,Silver,,-1,+(14),,,,+(255),-1,,,+(46),+2(152),
,,Independent Competitor,Jiangnan Leather Factory,jingshengliu,pengxiao,yaoguan,yaoguan(Coach),,False,4,536,,,,+(16),,,-8,,+4(243),,,+(46),+(151),
,,香港浸会大学,HKNU,Yunxiang Zhao,Zhihui Liu,Xin Huang(Coach),,,False,4,539,,,,+(16),,+(278),-2,,,,,+1(57),+1(148),
,,Università della Svizzera italiana,Poly Fan Club,Botu Lyu,Zhiyao Yan,Ning Zhou,Boboge(Coach),,False,4,540,,,,+(10),,,-3,+(253),-6,,,+1(39),+4(138),
,,Western Jiao Tong Railway Station,you 7 street sleep,Zonghan Yang,Dong Yang,Cong Ding,Boren Tan(Coach),,False,4,550,,,+2(296),+(9),,-1,,,+3(86),,,+1(39),-7,
20,,吉林大学,MyLittle_sql,苏睿杰,邱天,刘昱,Miao Liu(Coach),,True,4,563,Silver,,,+(18),,,,+(236),-7,,,+3(84),+(165),
,,Big Mountain Middle School,PTY in Big Mountain,Qipeng Kuang,Haoming Xian,Hui Li,Hui Li(Coach),,False,4,572,,,,+2(55),,,+2(222),+(182),-3,,,+(33),-1,
21,19,南京大学,Grass near home,梁航宇,陈子达,陈昊洋,Jun Ma(Coach),,True,4,602,Silver,,,+(11),,,-8,,+1(211),,,+2(48),+(272),
22,20,西安电子科技大学,Meow Meow Meow,刘朝旭,张亲翰,罗杰,Shuping Zhang(Coach),,True,4,612,Silver,,-1,+(16),,,,+3(222),,,,+2(92),+1(162),
23,21,西北工业大学,little sweety,李可期,钟涛宇,邹嘉豪,Junrui Liu(Coach),,True,4,647,Silver,,,+(12),,,,+1(248),,,,+(55),+4(232),
24,22,昆山杜克大学,Learning Algo Tmr,成秉翰,沈知远,袁天骏,Jiang Long(Coach),,True,4,762,Silver,,,+(12),,,-9,+(247),-3,,,+4(143),+5(180),
,,"Shanghai Luogu Network Technology Co., Ltd.",Revenge Machine-Doll (Please follow Luogu Technology),Ruize Sun,Yichen Li,Haotian Xu,Chuqi Wang(Coach),,False,3,213,,,-4,+(9),,,-1,+(169),,,,+(35),-4,
,,Hong Kong Olympiad in Informatics,HKOI 1,Siu Lok Yin,Kwan Yung Ho,Choy Tsz Chai Berton,Oa Yang Hau Chung(Coach),,False,3,222,,,,+(9),,,,,-2,,,+1(64),+(129),
25,23,电子科技大学,UESTC_DebugSimulator,刘贝,徐立,褚睿极,Xiaoping Wang(Coach),,True,3,230,Silver,,,+(13),,,-2,,-3,,,+1(73),+(124),
