Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
,,个人参赛,再续夜航,杜瑜皓,许庭强,周康阳,戴江齐,,False,11,1144,,+(187),+(22),+(47),,+(5),+1(155),+(62),+2(268),+(86),+(43),+1(22),,+(167)
,,北京大学,赤橙黄绿青蓝紫,蒋凌宇,钱易,时庆钰,张勤健,,False,11,1576,,+3(266),+(24),+(117),-4,+(9),+2(171),+1(66),+2(294),+(139),+(31),+(41),,+3(198)
,,清华大学,家里蹲,史家丞,仲煦北,李静榕,邬晓钧,,False,9,1112,,-1,+(54),+(141),,+(21),+3(227),+(76),,+(117),+(32),+1(68),,+3(236)
,,江苏省常州高级中学,省常中一队,赵海鲲,殷潇轩,丁敬轩,冯绪杰,,False,9,1125,,+(232),+(49),+1(40),,+2(13),+2(289),+(78),,+(178),+(22),+1(104),-1,
,,南京外国语学校,sszcdjr fan club,李响,雷欣屿,汪飞鸿,张超,,False,9,1212,,+1(245),+(39),+(167),-1,+(6),+(268),+2(93),-1,+1(159),+(14),+2(101),-1,-5
1,1,浙江大学,来生,彭博,严子轩,张湫阳,王灿,,True,8,848,Gold,,+(24),-1,,+(5),+(161),+2(79),,+(182),+(36),+(54),,+2(227)
2,2,中国科学技术大学,丝路市西套村代表队,周翟恩和,洪文杰,郭一航,孙广中,,True,8,910,Gold,,+(32),+(110),,+(15),-8,+1(146),,+(179),+(48),+(90),,+(270)
3,3,北京大学,躺在沙发上变成没知觉的植物沉入泥中蝶泳,叶子川,马未然,翟锦程,罗国杰,,True,8,1026,Gold,,+(7),+(203),,+2(17),+1(274),+(86),,+1(163),+(28),+1(148),,
,,南京外国语学校,喵喵喵动物园,庞佳一,张桓睿,施泽徐,张超,,False,8,1069,,-1,+(50),+(183),,+(21),+1(152),+2(66),,-1,+(13),+1(100),-1,+6(284)
4,,北京大学,Lumina,郭羽冲,沈吉滪,朱羿恺,张勤健,,True,7,379,Gold,,+1(29),+(82),,+(6),-3,+(63),-7,+(123),+(38),+(18),,-5
5,,北京大学,欠了学校999度电,林帮才,陈知轩,龚欣洋,罗国杰,,True,7,750,Gold,,+(49),+1(69),,+(9),-1,+3(142),,+(183),+(54),+(164),,-4
6,4,北京邮电大学,摩可彭塔斯,区庆亮,鲍睿钊,谭怡萱,杨亚,,True,7,768,Gold,,+(89),+(177),,+(12),-7,+(133),,+(226),+(52),+(79),,
7,5,香港大学,热门流行音乐联盟,徐启越,吴语晨,李其轩,邝启鹏,,True,7,787,Gold,,+(83),-1,,+(10),+(277),+1(43),,+(226),+(56),+(72),,
8,6,清华大学,缺德鹅子,张艺缤,迟凯文,韩豫葳,邬晓钧,,True,7,853,Gold,,+(44),+(168),,+(12),-1,+1(112),,+(248),+(66),+2(143),,
9,7,香港理工大学,Libo真爱♥粉丝,向昱帆,孙涵松,严章洋,李博,,True,7,892,Gold,,+2(53),+(130),,+(13),,+(105),,+(260),+(38),+1(233),,
10,,北京大学,飞舞队,蔡立一,梁宝烨,邱鸿绪,张勤健,,True,7,932,Gold,,+(108),+(235),,+3(18),,+3(121),,+(206),+(43),+(81),,
,,洛谷科技,我们需要更深入浅出一些,许烨恒,李宸宇,袁周律,汪楚奇,,False,7,936,,-1,+1(130),+(248),-1,+(17),-1,+(149),-1,+(188),+(30),+2(114),-1,-1
,,南京航空航天大学,错误,吕俊琪,赵乐坤,胡昊天,邹春然,,False,7,984,,-2,+(94),+(277),,+(24),,+2(140),,,+(73),+(60),,+3(216)
11,8,哈尔滨工业大学,风灵玉秀,陈云龙,金智威,郭昕旸,赵文博,,True,7,991,Gold,,+(41),+1(295),,+(14),,+(123),,,+2(77),+(87),,+3(234)
,,南京大学,优质解答：我不知道,陈弘毅,林荣恩,郑欣,马骏,,False,7,1063,,,+1(138),,,+(15),,+(188),,+(288),+(48),+(213),-1,+(153)
12,9,中山大学,中山大学_2333er,刘翔乐,高祖伟,高艺桐,万海,,True,7,1067,Gold,,+(104),+1(266),,+2(39),,+1(80),,+(282),+(61),+(155),,
13,10,电子科技大学,UESTC_雪色光晕,张昕诺,李毅远,吕书武,杨鹏,,True,7,1098,Gold,-1,+(81),,,+1(28),,+(155),,+1(240),+2(68),+(115),,+2(291)
,,嗨鸠科技,关注Hydro喵关注深入浅出进阶篇谢谢喵,陈佳鹏,徐子恩,于文阔,钱易,,False,7,1114,,,+1(121),+(276),,+(4),,+4(190),,+1(244),+(41),+2(78),,
14,11,北京航空航天大学,踩着华尔兹的猫,李澎瑞,孙健钧,黄伟宁,宋友,,True,7,1134,Gold,,+(251),+1(232),,+(13),,+1(215),,-1,+1(38),+1(136),,+1(149)
15,12,东北大学,NEU_飞禽走兽,王涵聪,王啸烽,陈增杰,刘小锋,,True,7,1141,Gold,-2,+2(145),+(249),,+(31),,+1(221),,,+(65),+(155),,+(215)
16,13,广东工业大学,演奏春日影,庞翔,林正,梁展榕,孙宣东,,True,7,1215,Gold,,+(19),+1(248),,+(31),,+3(238),,+1(247),+1(52),+1(240),,-4
,,浙江工业大学,月球猫猫,陈泓睿,陆徐豪,李汶芝,韩姗姗,,False,6,560,,,+(28),,,+(9),-1,+(79),,,+(60),+1(86),,+2(238)
17,,中山大学,中山大学_破晓之旅,赵肖睿,刘志源,古鸣浩,张子臻,,True,6,610,Gold,,+(21),,,+(13),-1,+3(169),,+(216),+(32),+1(79),,
18,,电子科技大学,诶多诶多呐呐呐,包航,雷霖,覃子睿,杨鹏,,True,6,631,Gold,,+(43),,,+(9),,+(124),,+3(295),+(28),+(72),,-4
,,南京外国语学校,杏花姐姐的南夫拉斯日记,刘子轩,蒋亦霖,陈浩然,张超,,False,6,650,,,+1(124),+(174),,+(20),,+1(203),,-8,+(55),+(34),,
,,上海大学,Antiamuny Computation,陶钧,无,无,沈俊,,False,6,660,,,+1(48),+2(224),,+(10),,+1(154),,,+(58),+(86),,
19,14,复旦大学,杠上林克，队长砍树,邹畅,何友瑭,何昭琛,孙未未,,True,6,701,Gold,,+(87),+(229),,+(14),,+1(166),,,+(47),+1(118),-2,-1
20,15,北京交通大学,白夜追风,殷澄宇,陈可致,杨展宇,黄华,,True,6,790,Gold,,+(87),+(210),,+(21),,+3(206),,,+(46),+(160),,-1
21,,北京邮电大学,堂吉诃德,卢安来,王冀恒,管庆涵,杨亚,,True,6,795,Gold,,+(101),+1(242),,+(16),,+1(134),,,+1(49),+(193),,-12
22,16,北京理工大学,Penalty这么高它的意思一定是分数吧,柯宁皓,张思哲,黄康,林永钢,,True,6,798,Gold,,+(103),,,+(12),+1(222),+5(181),,,+(50),+1(90),,
