Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
1,1,北京大学,Naive Birds,王蔚澄,朱剑枫,李羿辰,Qinjian Zhang,False,True,8,894,Gold,,,,,,,,,,,,
2,2,复旦大学,DeepSleep,张圣皓,王瑞藻,朱翔宇,Weiwei Sun,False,True,8,932,Gold,,,,,,,,,,,,
3,3,上海交通大学,Stella Primus,杨崇烨,李俊毅,唐星珣,Yong Yu,False,True,8,1348,Gold,,,,,,,,,,,,
4,4,哈尔滨工业大学,CQOI Flames,杜沛键,方智鉴,雷钧森,Wenbo Zhao,False,True,7,1082,Gold,,,,,,,,,,,,
5,5,香港中文大学深圳,Mynoghra,周莫非,陈嘉年,王泽诚,Yixiang Fang,False,True,6,679,Gold,,,,,,,,,,,,
6,6,厦门理工学院,Nice Nature,洪世炜,张子漠,凌恒,Weijiang Zhang,False,True,6,764,Gold,,,,,,,,,,,,
7,7,香港大学,Hot Kpop Union,李其轩,吴语晨,夏铭飞,Qipeng Kuang,False,True,6,785,Gold,,,,,,,,,,,,
8,8,吉林大学,The Defect,于之航,陈鹏旭,徐梓博,Shuai Lyu,False,True,6,804,Gold,,,,,,,,,,,,
9,9,南方科技大学,SUSTech-Lyaki,易楚曦,蒲韦坤,陈恺桉,Bo Tang,False,True,6,829,Gold,,,,,,,,,,,,
10,10,西安交通大学,Rinsed to Remote,陈儒恒,殷嘉鹏,方亦晨,Longxiang Wang,False,True,6,851,Gold,,,,,,,,,,,,
11,11,香港科技大学广州,"Fear WA, all in implementation",王向前,罗浩,储文皓,Hui Xiong,False,True,5,378,Gold,,,,,,,,,,,,
12,12,杭州电子科技大学,HDU-T05,杨钧昊,徐中天,蔡睿诚,Chunying Liu,False,True,5,475,Gold,,,,,,,,,,,,
13,13,北京航空航天大学,lemonade factory,董和军,王大禹,蒋槟阳,You Song,False,True,5,495,Gold,,,,,,,,,,,,
14,14,东南大学,Twilight,杜岩旭,颜熙,周天一,Vincent Chau,False,True,5,507,Silver,,,,,,,,,,,,
15,15,南京大学,Anohana,张瑞珉,朱羽宽,陈子达,Jun Ma,False,True,5,535,Silver,,,,,,,,,,,,
16,16,南开大学,The Affiliated High School of Shanxi University,车昱辉,杨澍,王治中,Xiaoguang Liu,False,True,5,724,Silver,,,,,,,,,,,,
17,17,清华大学,HFOI2018,区庆亮,贺睿杰,罗以彬,Xiaojun Wu,False,True,5,838,Silver,,,,,,,,,,,,
18,18,中山大学,SYSU_Fate of Waves,何宇扬,杨立伟,Ruilin Qin,Hai Wan,False,True,5,894,Silver,,,,,,,,,,,,
19,19,中国人民大学,1+1,晏艺桓,房子珈,孙奕豪,Yunhai Wang,False,True,4,362,Silver,,,,,,,,,,,,
20,20,南京航空航天大学,blossom of snow,胡昊天,赵乐坤,匡显然,Chunran Zou,False,True,4,383,Silver,,,,,,,,,,,,
21,21,北京邮电大学,GNOSIA,谭怡萱,许智彬,邢瑞林,Peng Xu,False,True,4,499,Silver,,,,,,,,,,,,
22,22,电子科技大学,UESTC_lyc_fan_club,周蛰粼,赵城尧,徐明君,Peng Yang,False,True,4,536,Silver,,,,,,,,,,,,
23,23,同济大学,example pass=AC,郑梓健,张丞玮,邓双南,Chen Ye,False,True,4,541,Silver,,,,,,,,,,,,
24,24,山东大学威海,Wenhua Road East,张智航,童延,陆柯旭,Xiaoming Kong,False,True,4,557,Silver,,,,,,,,,,,,
25,,香港大学,Team name ddl today,杨明天,罗简,刘彦呈,Qipeng Kuang,False,True,4,638,Silver,,,,,,,,,,,,
26,25,湘潭大学,Hongkong Uncle,卓越,李子熙,曾庆鑫,Yong Xie,False,True,4,652,Silver,,,,,,,,,,,,
27,26,南京邮电大学,manbo and hajimi,胡乐安,王普立,田晓亮,Zhi Chen,False,True,4,674,Silver,,,,,,,,,,,,
28,27,香港中文大学,no brain just nom nom nom,Wong Tsz Him,Wong Man Pai Angus,Poonyapat Sriroth,Mak Wai Ho,False,True,4,677,Silver,,,,,,,,,,,,
29,28,暨南大学,Byd Fan Club,曹哲睿,谢正心,潘城樟,Dehua Zhou,False,True,3,223,Silver,,,,,,,,,,,,
30,29,National University of Mongolia,N^3,Dugarjantsan Bilguun,Dalaitseren Ganbold,Bilguun Erkhembayar,Bagabold Gendensuren,False,True,3,230,Silver,,,,,,,,,,,,
31,30,西南科技大学,two-thirds,刘诗璐,钟妍,柯涵,Miao Chen,False,True,3,237,Silver,,,,,,,,,,,,
32,31,井冈山大学,Phoenix,王琼,杨文源,陈柏伟,Yunlan Tan,False,True,3,256,Silver,,,,,,,,,,,,
33,32,惠州学院,Genesis in Hong Kong,冼健民,孙昊,钟志杰,Li Liu,False,True,3,256,Silver,,,,,,,,,,,,
34,33,哈尔滨工业大学深圳,from here,赵飞羽,陈彦波,蔡易轩,Jie Wen,False,True,3,300,Silver,,,,,,,,,,,,
35,34,福州大学,Russian Roulette,黄佳鹏,肖羽石,张仁杰,Yanggeng Fu,False,True,3,317,Silver,,,,,,,,,,,,
36,35,西南交通大学,Explosion!,刘俊豪,Xinke Li,陈义达,Xiuying Yu,False,True,3,323,Silver,,,,,,,,,,,,
37,36,武汉大学,Thank you Bing Zhang,刘尚源,袁振宇,洪阳,Wenyong Dong,False,True,3,337,Silver,,,,,,,,,,,,
38,37,成都信息工程大学,One pull one hit,季璨,李奕乐,王宇欣,Mingyuan Yuan,False,True,3,338,Silver,,,,,,,,,,,,
39,38,东莞理工学院,Team is Powerful,黄海,林恬烁,林志龙,Chuanxiang Chen,False,True,3,349,Silver,,,,,,,,,,,,
40,39,广州大学,Hajimi,李轩,周昊焌,杨尚华,Kailun Qiu,False,True,3,378,Bronze,,,,,,,,,,,,
41,40,华南理工大学,SCUT Chireden,郑理耀,袁昊朗,陈弘毅,Chuhua Xian,False,True,3,402,Bronze,,,,,,,,,,,,
42,,National University of Mongolia,NUM-NTN,Naranbat Munkherdene,Tamir Jamiyangarav,Aldarjaw Naranbaatar,Bagabold Gendensuren,False,True,3,404,Bronze,,,,,,,,,,,,
43,41,武昌首义学院,GreedyIsTruth,汤龙飞,李明辉,Jingyun Gao,Lan Jin,False,True,3,405,Bronze,,,,,,,,,,,,
44,42,浙江工商大学,Rosmontis_Fan,沈士渊,魏嘉豪,徐晨阳,Wenqiang Liu,False,True,3,446,Bronze,,,,,,,,,,,,
45,43,西南财经大学,May this voyage culminate in the Final,蒋思翔,刘彻,祝亚辉,Feng Zhou,False,True,3,469,Bronze,,,,,,,,,,,,
46,44,厦门大学嘉庚学院,Ordinary.exe,孙硕,卓子翔,黄俊华,Yijing Guo,False,True,3,477,Bronze,,,,,,,,,,,,
47,45,四川农业大学,we are iron,江雅奥,李鑫,刁戈,Jiangshu Wei,False,True,3,495,Bronze,,,,,,,,,,,,
48,46,浙江理工大学,Last Final,陈宏毅,陶稼辉,王舜宇,Hairong Ye,False,True,3,512,Bronze,,,,,,,,,,,,
49,47,成都锦城学院,The last dance of XiaoMo,程义威,邓力豪,何轩逸,Dan Li,False,True,3,529,Bronze,,,,,,,,,,,,
50,48,大连理工大学,Back Seaing,冯子祥,吴习哲,Fangyu Bu,Bing Liang,False,True,3,531,Bronze,,,,,,,,,,,,
51,49,香港科技大学,HKUST1,Taimas Korganbayev,Mukhammadarif Sakhmoldin,Raiymbek Baishuak,Qifeng Chen,False,True,3,538,Bronze,,,,,,,,,,,,
52,50,成都大学,nia~nia~nia~ciallo~,陈纪元,张凡盛,黄兵,Ying Qin,False,True,3,552,Bronze,,,,,,,,,,,,
53,51,广西大学,Harukanaru Gensokyo,张健明,陶康,孙怿翔,Feng Zhan,False,True,3,562,Bronze,,,,,,,,,,,,
54,52,河海大学,ln 7/b,陈培印,邵然,谭炜烨,Xuejie Zhang,False,True,3,563,Bronze,,,,,,,,,,,,
55,53,香港理工大学,Without Sky,孙涵松,孟祥宇,Ziqian Lin,Bo Li,False,True,3,588,Bronze,,,,,,,,,,,,
56,54,四川大学,Wanting to learn Ai,冯朝航,蔡相渔,陈燚,Jie Zuo,False,True,3,602,Bronze,,,,,,,,,,,,
57,55,重庆移通学院,Courage,李德立,詹毅涵,Qing'an Lu,Yi Wang,False,True,3,602,Bronze,,,,,,,,,,,,
58,56,哈尔滨工程大学,go valorant esacpe delta dance,赵新凯,孙江吉,闫力仁,Lin Guo,False,True,3,610,Bronze,,,,,,,,,,,,
59,57,天津大学,^v^,张翔智,万文彬,王嘉晨,Mei Yu,False,True,3,657,Bronze,,,,,,,,,,,,
60,58,西北工业大学,Little Switty,李可期,邹嘉豪,钟涛宇,Junrui Liu,False,True,3,682,Bronze,,,,,,,,,,,,
61,59,华中师范大学,T34-Gray,刘孟谦,杨璟欣,彭雅晨,Junmin Ye,False,True,3,774,Bronze,,,,,,,,,,,,
62,60,江南大学,Taboo Laevatein,董万里,赵泓博,吴继凯,Min Jiang,False,True,2,69,Bronze,,,,,,,,,,,,
63,61,昆山杜克大学,zufang,胡子,孙厚旻,袁天骏,Ming-Chun Huang,False,True,2,120,Bronze,,,,,,,,,,,,
64,,香港科技大学,HKUST5,Chan Ho Yin,AWADALLA,bdelrahman HossamEldin A. A.,Qifeng Chen,False,True,2,120,Bronze,,,,,,,,,,,,
65,62,武汉理工大学,Chuunibyou But ACMers,史佳尚,余翔宇,陆冠丞,Dongdong Zhao,False,True,2,122,Bronze,,,,,,,,,,,,
66,63,香港城市大学,Pure 2025,燕雅超,高立由,邓子冲,Minming Li,False,True,2,127,Bronze,,,,,,,,,,,,
67,64,东北大学秦皇岛分校,Don't Hack Me,朱逸飞,陈小全,赵星凯,Hexing Wang,False,True,2,151,Bronze,,,,,,,,,,,,
68,65,成都东软学院,My Little Pony won't use Snickers before meeting Rainbow Dash,吴庭信,王俊喆,陈一夫,Lin Tian,False,True,2,152,Bronze,,,,,,,,,,,,
69,66,澳门大学,icy_firefly,高淼悦,席跃,张容嘉,Zehan Lin,False,True,2,157,Bronze,,,,,,,,,,,,
70,67,中国地质大学北京,Little Foodie Loves Penalty Time,牛鸿宇,叶宇翔,滕俊宁,Junbao Xia,False,True,2,171,Bronze,,,,,,,,,,,,
71,,香港城市大学,Feel the Russian Style,Gizatullin Timur,Demidov Ilia,Evstafev Andrei,Minming Li,False,True,2,173,Bronze,,,,,,,,,,,,
72,68,上海科技大学,WA Deeds Done Dirt Cheap,姜昕宇,陈钊堃,王俊篪,Kewei Tu,False,True,2,182,Bronze,,,,,,,,,,,,
73,69,西安邮电大学,Dreamer without love,石宇,武奕源,赵旭东,Qingsheng Zhang,False,True,2,184,Bronze,,,,,,,,,,,,
74,70,齐鲁工业大学,add uuz to your qq group meow thank you meow,杨梓睿,国展源,张宸维,Yan Pan,False,True,2,225,Bronze,,,,,,,,,,,,
75,71,山东理工大学,Respawn of entropy,刘超,张俊,袁烨,Xianwei Zhang,False,True,2,243,Bronze,,,,,,,,,,,,
76,72,江西财经大学,Fondness? Delusion!,衷铭川,万俊哲,张云菲,Jian Jiang,False,True,2,265,Bronze,,,,,,,,,,,,
77,73,大连海事大学,Aleatory Acceptism of Encounter,任品豪,梅宇涵,石俊锋,Zhiying Cao,False,True,2,278,Bronze,,,,,,,,,,,,
78,74,安徽师范大学,Haibara Ai is Correct,许居尚,高翔,火天宝,Chuanxin Zhao,False,True,2,279,Bronze,,,,,,,,,,,,
79,75,北京师范大学香港浸会大学联合国际学院,Accepted by HKUST,倪方博,赵泽峰,王孟涵,Jiaxing Chen,False,True,2,282,Honorable,,,,,,,,,,,,
80,76,广东工业大学,GDUT_darkseek,谭一峰,蔡鋈,赖国华,Mingkai Tang,False,True,2,303,Honorable,,,,,,,,,,,,
81,77,华南农业大学,3 ap = 1band = 1 life?,谭伟杰,颜乾彪,陈钢,Xudong Lin,False,True,2,306,Honorable,,,,,,,,,,,,
82,78,合肥工业大学宣城校区,Naming is so HARD!,冯舶钊,于鸥鹿,马久贺,Junwei Lyu,False,True,2,333,Honorable,,,,,,,,,,,,
83,79,黑龙江大学,Elite Conscripts,何恩培,信自强,魏全宏,Hui Xu,False,True,2,339,Honorable,,,,,,,,,,,,
84,80,广东技术师范大学,GPNU-Awei,黄宇凡,李苇森,陈政柱,Lan Liu,False,True,2,351,Honorable,,,,,,,,,,,,
85,81,深圳技术大学,SZTU_developer,王正,张家乐,许榕鑫,Yundi Guo,False,True,2,377,Honorable,,,,,,,,,,,,
86,82,华南师范大学,All the way south,于昊炜,朱宬华,曾祥康,Jun Liang,False,True,2,379,Honorable,,,,,,,,,,,,
87,83,华北理工大学,No-Panic Doubao Pro,Yanqian Chen,Yuning Chen,丰文政,Hongcan Yan,False,True,2,380,Honorable,,,,,,,,,,,,
88,84,西华大学,XiXi,石浩楠,吴岚轩,刘馨阳,Honghong Chen,False,True,2,388,Honorable,,,,,,,,,,,,
89,85,华中科技大学,Aren't Slacking Off,郭际泽,李凌凯,赵佳义,Kun He,False,True,2,410,Honorable,,,,,,,,,,,,
90,86,天津工业大学,Greedy is all about guessing,韩奕霖,吴一凡,姚盛源,Shuxia Ren,False,True,1,9,Honorable,,,,,,,,,,,,
91,87,浙江师范大学,Untitled_Dream,杨琳,沈睿,曹海,Jianmin Han,False,True,1,9,Honorable,,,,,,,,,,,,
92,88,长江大学,Dawn,纪方嘉,童炎,任文,Yanrong Cui,False,True,1,10,Honorable,,,,,,,,,,,,
93,89,香港浸会大学,UU Accelerator,张旭景,印无忧,姜蒙,Xin Huang,False,True,1,10,Honorable,,,,,,,,,,,,
94,90,上海纽约大学,NYU Shanghai Team 2,张书恺,许诗栋,Yuhang Hou,Xianbin Gu,False,True,1,11,Honorable,,,,,,,,,,,,
95,91,中北大学,Just AC,刘灿阳,谭炯豪,陈文博,Guangzhen Pan,False,True,1,11,Honorable,,,,,,,,,,,,
96,92,山东大学,Icecream!,毛洋洋,刘少卿,侯佳昊,Xuefeng Cui,False,True,1,11,Honorable,,,,,,,,,,,,
97,93,广东东软学院,noircloud,朱梓瀚,黄琳峰,黄炜填,Chao Yang,False,True,1,11,Honorable,,,,,,,,,,,,
98,94,重庆邮电大学,Array of Cqupt Monkeys,冯禹杰,林新雨,汪炜杰,Jingbo Xie,False,True,1,11,Honorable,,,,,,,,,,,,
99,95,中南林业科技大学,threenoobs,Junjie Xiao,孙齐政,何文杰,Zhufang Kuang,False,True,1,12,Honorable,,,,,,,,,,,,
100,96,北京工业大学,robust driver,陈镇岳,齐相龙,张晋赫,Hongyu Gao,False,True,1,13,Honorable,,,,,,,,,,,,
101,97,宁波工程学院,Zutto Acceptednakade Iinoni.,郑坚淳,叶徳坚,陈南丞,Jianghua Xuan,False,True,1,13,Honorable,,,,,,,,,,,,
102,98,福建师范大学,Mooncross in Mistweave,Shengmo Ouyang,徐大淦,周傲宇,Ruliang Xiao,False,True,1,15,Honorable,,,,,,,,,,,,
103,99,哈尔滨工业大学威海,Be AKed by ICPC,李博文,崔彦宇,刘佳豪,Kaikun Dong,False,True,1,18,Honorable,,,,,,,,,,,,
104,100,广东工业大学揭阳校区,ios::sync_with_think(false),陈智谦,陈锦涛,宋阳,Hongshu Li,False,True,1,19,Honorable,,,,,,,,,,,,
105,101,五邑大学,The Doctor's team and there ape-man captain,冯凯翔,李晟熙,黄达聪,Zhu Wang,False,True,1,20,Honorable,,,,,,,,,,,,
106,102,西南大学,SleepToAC,刘子毅,周佰涛,杨竣胜,Xianfeng Han,False,True,1,20,Honorable,,,,,,,,,,,,
107,103,河南师范大学,Little sheep,闫浩文,谢添点,阴珂珂,Wenfeng Li,False,True,1,21,Honorable,,,,,,,,,,,,
108,104,太原理工大学,Truly miracle algorithms but no space to write,许星宇,荀思杰,王振琛,Fuping Lin,False,True,1,28,Honorable,,,,,,,,,,,,
109,105,澳门城市大学,SILVER MINER PRO,Muhan Hao,Mingxu Zhu,Fangyuan Jian,Sanshuai Cui,False,True,1,30,Honorable,,,,,,,,,,,,
110,106,上海海洋大学,Carrot,周子恒,周郁涵,吕天佑,Qingmei Yu,False,True,1,31,Honorable,,,,,,,,,,,,
111,107,山东科技大学,SKD 45167,张特尔,徐学辉,朱继涛,Zhenhuan Wu,False,True,1,31,Honorable,,,,,,,,,,,,
112,,澳门大学,nxVPCP 'or'1'='1,LAO UN,Chan U Hun,ZHOU ZI MO,Zehan Lin,False,True,1,32,Honorable,,,,,,,,,,,,
113,108,中国石油大学北京克拉玛依校区,Good Luck！,董玉贤,梁博雅,刘东升,Hongming Hu,False,True,1,33,Honorable,,,,,,,,,,,,
114,109,上海大学,SegFault Maigo,Xiahong Liu,Shiyi Zhang,Yanchao Min,Jun Shen,False,True,1,34,Honorable,,,,,,,,,,,,
115,,香港理工大学,The Midas Touch,Haochen Shi,黄敬博,薛腾,Junyao Wang,False,True,1,36,Honorable,,,,,,,,,,,,
116,110,昆明理工大学,I All Accepted,刘浩天,Kang Li,Yuxiang Lu,Xiaoli Zhang,False,True,1,37,Honorable,,,,,,,,,,,,
117,111,武汉工程大学,998244353,李嘉欣,汪雅琪,王杨晶,Hanliang Guo,False,True,1,39,Honorable,,,,,,,,,,,,
