Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,一步之遥,钱易,彭博,施开成,罗国杰,,True,12,1457,Gold,+(113),+(95),-4,+1(7),+1(45),+2(153),+(18),+(32),+(68),+(54),+1(274),+(263),+2(195)
2,,北京大学,随机匹配,柯绎思,柯怿憬,谢梓涵,张勤健,,True,10,1660,Gold,+(205),+(267),,+(20),+(115),+4(245),+(41),+(76),+1(168),+(90),,,+2(293)
3,2,复旦大学,随机一个字符串得了,胡予衡,文凯杰,苏逸恒,孙未未,,True,9,1198,Gold,+1(101),+(159),,+(40),+1(239),,+2(21),+(50),+(130),+(97),+(281),,
4,3,上海交通大学,启明星,杨崇烨,李俊毅,唐星珣,俞勇,,True,9,1204,Gold,+(77),+1(212),,+(26),+(198),-2,+1(50),+(35),+1(135),+3(99),+(252),,
,,复旦大学,倒头就睡,张圣皓,朱翔宇,王瑞藻,孙未未,,False,8,824,,+(74),+1(164),,+(38),+2(253),-9,+(29),+(46),+(107),+(53),,,
,,上海稀宇极智科技有限公司,MiniMax 做大做强,罗泽建,姚顺,夏鹤鸣,曹诗情,,False,8,996,,+(173),+2(216),,+(84),-5,,+(96),+(58),+(139),+(117),,+(73),
5,,北京大学,该用户名已被占用,胡家哲,冯天琦,陈浩霆,罗国杰,,True,8,1074,Gold,+1(126),+5(220),,+1(27),+(232),,+1(45),+1(59),+(62),+(123),,,
6,4,浙江大学,杨桃星球,应宸宇,周学诚,朱天煜,王灿,,True,8,1239,Gold,+(150),+(176),,+1(28),+3(298),-6,+2(68),+3(100),+(126),+(113),,,
7,5,中山大学,中山大学-2333er,高祖伟,刘翔乐,高艺桐,万海,,True,8,1293,Gold,+(173),+1(275),,+(32),+(281),,+2(101),+(58),+(194),+(119),,,
8,,北京大学,抹茶小蛋糕,孙培轩,陈哲章,章弥炫,张勤健,,True,7,884,Gold,+3(192),+1(205),,+2(19),-10,,+3(76),+(33),+(105),+1(54),,,
9,6,北京师范大学,安卓狗,王儒斌,王梓霁,罗一粟,徐鹏飞,,True,7,995,Gold,+(82),+2(250),,+(68),+1(247),,+2(59),+(44),,+(145),-12,,
10,,上海交通大学,且歌,魏可臻,秦一苇,于恩帝,俞勇,,True,7,1020,Gold,+(157),+1(231),,+(22),,,+1(53),+(36),+2(287),+(154),-1,,
11,7,南京大学,肆零捌,黄亮,叶昱圻,刘玉琢,马骏,,True,7,1076,Gold,+2(165),+1(282),,+2(33),-5,,+(85),+(32),+(143),+2(196),,,
,,上海市曹杨第二中学,屈家军,王翊临,蒋周运,王韬淳,屈运华,,False,7,1125,,+(156),,,+(14),+9(295),-2,+(25),+(134),+1(177),+1(104),,,
,,上海大学,又可爱又厉害的大主播572总督群（4）,陶钧,麦骏,邱思宇,贾子涵,,False,7,1141,,+4(174),+(253),,+(24),-19,,+1(47),+1(125),+1(217),+1(141),,,
12,8,上海纽约大学,小男娘,陈智谦,解丰羽,张乐楠,顾贤斌,,True,7,1183,Gold,+(172),+4(209),,+(40),,,+1(77),+(142),+(296),+1(127),,,
13,9,香港中文大学,别笑，你来你也过不了test 2,姜宣丞,张天瀚,朱睿正,麥偉豪,,True,7,1261,Gold,+4(178),+5(297),,+1(72),-9,,+3(62),+(31),+1(253),+(88),,,
,,华东师范大学第二附属中学紫竹分校,早已习惯最终孑然一身,包泽韬,毕洲铭,刘炀,包泽韬,,False,7,1272,,+2(133),+5(261),,+3(80),-1,-4,+3(174),+(49),+2(205),+2(30),,,
14,10,西北工业大学,wanna be free,程文楷,尹新祥,龚熙尧,刘君瑞,,True,7,1365,Gold,+5(282),-1,,+1(33),,,+1(62),+1(280),+(180),+(211),+(157),,
15,11,武汉大学,0大于队名长度,苏泓宇,胡文锦,李王城,董文永,,True,7,1420,Gold,+3(210),+10(296),,+(41),,,+(67),+(135),+(246),+1(145),,,
