Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
,,代码源,CF 皇帝,杜瑜皓,蒋凌宇,许淇文,周秋辰,,False,11,903,,+1(21),+1(70),+(113),-1,+(29),+(25),+2(81),+(22),+(140),,+(86),+(217),+(19)
1,1,北京大学,一步之遥,钱易,彭博,施开成,罗国杰,,True,10,1145,Gold,+1(12),+2(197),+(182),,+(23),+(18),+1(162),+1(71),+(255),-6,+(92),,+(33)
2,2,清华大学,momomorphism,闫陈效,曹立,陈实,邬晓钧,,True,10,1311,Gold,+1(125),+1(188),+1(91),+2(296),+(15),+(24),+(142),+(97),,,+(158),,+(75)
3,3,中山大学,中山大学-游客模式,陈景泰,吴永聪,薛炜鹏,张子臻,,True,9,1107,Gold,+(40),+(186),+2(135),,+2(24),+(12),+2(288),+2(87),-1,,+(102),,+(73)
,,香港科技大学广州,因为太怕 WA 就全点大模拟了,王向前,罗浩,储文皓,熊辉,,False,9,1589,,+(70),+6(296),+3(149),,+2(99),+(20),+2(280),+3(180),,,+(86),-2,+(89)
4,,北京大学,抹茶小蛋糕,孙培轩,章弥炫,陈哲章,张勤健,,True,8,869,Gold,+(133),+(233),+(117),,+2(26),+(21),-5,+2(105),-6,,+(59),,+1(75)
5,,北京大学,随机匹配,柯绎思,柯怿憬,谢梓涵,张勤健,,True,8,881,Gold,-3,+(194),+2(158),,+(37),+(11),+1(245),+(88),,,+(28),,+(60)
6,4,哈尔滨工业大学,上海蓬莱法国荷兰西藏京都伦敦俄罗斯奥尔良人形,张彭凯,张城玮,丁文涛,赵文博,,True,8,974,Gold,+(224),+(247),+1(154),,+1(37),+(20),-9,+(49),,,+1(133),,+(50)
7,5,吉林大学,故障吉奇人,于之航,陈鹏旭,徐梓博,吕帅,,True,8,992,Gold,+(243),+(186),+(170),,+(29),+(23),-3,+3(140),,,+(100),,+(41)
8,6,香港中文大学,酒心魚蛋派,謝昶豪,黃進,盧沂鋒,麦伟豪,,True,8,1088,Gold,-7,+(225),+1(136),,+(19),+1(43),+1(282),+1(97),,,+1(139),,+(47)
9,,清华大学,进行一个象的抽,王锦博,张睿阳,张怀沙,邬晓钧,,True,8,1116,Gold,+(213),+1(295),+1(90),,+1(41),+(16),,+(139),,,+1(187),,+(55)
,,北京大学附属幼儿园暨继续教育学院,正确的每一交,肖千与,孙嘉伟,何昊天,于之航,,False,8,1244,,-2,+1(244),+1(201),,+2(34),+(11),+4(281),+2(74),,,+(137),,+(62)
10,7,浙江大学,十发罚时,徐锐扬,吴与伦,万弘,王灿,,True,8,1292,Gold,-9,+(150),+2(162),,+(30),+(17),+15(292),+(109),,,+1(120),,+(52)
,,郑州外国语学校,凌云纵笔启新程，踔厉奋发续华章。,赵旭航,张浩然,张恒铭,陈洋,,False,8,1324,,+3(293),+1(123),+3(228),,+2(90),+(23),,+1(71),,,+(185),,+(111)
11,,北京大学,请输入文本,苏泓燃,陆梓炀,刘佳未,罗国杰,,True,8,1408,Gold,-5,+(218),+6(140),,+2(33),+1(58),+1(278),+4(181),,,+(142),,+(78)
12,,清华大学,青一色,陈紫阳,胡昊,褚轩宇,邬晓钧,,True,8,1417,Gold,-3,+2(283),+5(193),,+2(28),+(52),+3(227),+(88),,,+1(148),,+(138)
13,,清华大学,惊觉往事历历已经年,郭米乐,苏明阳,李宁远,刘敬晗,,True,8,1458,Gold,+(210),+(298),+8(225),,+(68),+(36),-3,+2(134),,,+2(177),,+(70)
,,郑州外国语学校,罩妘铳粉丝团,贾孟澄,刘雨杭,赵一博,杨晓东,,False,8,1475,,+2(265),+(173),+4(246),,+2(72),+(21),,+3(131),,,+1(206),,+(121)
14,8,复旦大学,所以我们队名叫啥,曾添琪,李天呈,郑杞珩,孙未未,,True,7,734,Gold,+(183),-9,+(134),,+1(31),+(25),,+(162),,,+2(55),,+(84)
15,9,上海交通大学,青蘋之末,谭钧豪,江若泓,朱添翼,俞勇,,True,7,789,Gold,-1,+(222),+(170),,+(63),+(23),-6,+(154),,,+(91),,+(66)
