Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,中山大学,中山大学2队,11,1286,+2(145),+1(11),+1(35),+3(108),+1(38),+3(286),-1,+1(269),+1(52),+1(8),+1(17),-,+2(193),35%,Gold,陈景泰,吴永聪,薛炜鹏,张子臻,N,N
2,2,北京大学,随机匹配,10,984,+1(132),+1(23),+2(65),+3(106),+1(39),-,-2,+2(227),+1(48),+1(7),+1(28),-,+3(186),37%,Gold,柯绎思,柯怿憬,谢梓涵,张勤健,N,N
2,2,杭州电子科技大学,2024杭电2队,10,984,+1(133),+1(18),+2(77),+2(148),+1(49),-,-,+1(186),+1(46),+1(9),+1(22),-1,+1(252),16%,Gold,徐墨凡,徐铭扬,余梓诚,穆海伦,N,N
4,4,北京航空航天大学,迷人幽谷,10,1102,+2(196),+3(25),+3(76),+2(101),+1(40),-1,-,+2(229),+1(45),+1(17),+1(20),-,+3(169),47%,Gold,董和军,蒋槟阳,王大禹,宋友,N,N
5,5,哈尔滨工业大学,蓬莱人形,10,1175,+3(169),+1(8),+1(88),+1(74),+1(29),-1,-,+4(293),+3(63),+1(9),+1(12),-1,+3(246),47%,Gold,陈煜航,丁文涛,张彭凯,赵文博,N,N
6,6,浙江大学,十发罚时,10,1213,+1(108),+1(22),+1(128),+6(250),+1(63),-,-,+3(274),+1(34),+1(10),+1(14),-1,+3(125),47%,Gold,吴与伦,徐锐扬,黄祯源,王灿,N,N
7,,北京大学,愛計算姬,10,1222,+2(156),+1(29),+2(110),+1(68),+1(51),-,-,+2(299),+2(30),+1(10),+1(35),-,+5(270),44%,Gold,徐朝睿,苏泓燃,刘佳未,罗国杰,N,N
8,,浙江大学,又活一天,10,1254,+2(179),+1(10),+2(85),+4(236),+1(25),-,-,+1(281),+1(44),+1(6),+1(15),-9,+1(267),33%,Gold,王楚淏,王羽立,高宏钧,王灿,N,N
9,7,复旦大学,关注 Hydro 谢谢喵,9,854,+2(96),+1(10),+1(84),-12,+1(43),-,-,+2(284),+1(53),+1(12),+1(19),-,+2(190),25%,Gold,陈佳鹏,于文阔,徐子恩,孙未未,N,N
10,8,上海交通大学,只支持修改，不支持查询,9,881,+1(194),+1(12),+3(88),+2(107),+2(32),-,-,+2(289),+1(33),+1(7),+1(15),-,-,35%,Gold,杨崇烨,李俊毅,于恩帝,俞勇,N,N
11,9,山东大学,我火把呢,9,987,+1(138),+1(23),+1(124),+2(234),+1(45),-,-,+1(275),+1(62),+1(28),+1(33),-,-1,10%,Gold,周何,王在烜,许蕴朴,鹿旭东,N,N
12,,中山大学,中山大学新1队,9,1004,+1(122),+1(29),+4(62),+2(171),+1(88),-,-,-1,+1(86),+1(11),+1(51),-,+3(260),40%,Gold,张宸睿,周睿韬,张益晟,张子臻,N,N
13,10,华中科技大学,真的不退役吗,9,1005,+2(162),+2(18),+2(107),+3(194),+1(33),-,-,+2(282),+1(44),+1(10),+1(30),-,-,40%,Gold,汪文卓,金城根,杨治,何琨,N,N
14,11,湖南大学,芙兰大学,9,1069,+1(231),+1(23),+2(78),+4(170),+2(60),-,-,+2(256),+1(83),+1(13),+1(32),-,-1,40%,Gold,朱名扬,张世东,吕乐,吴昊,N,N
15,,哈尔滨工业大学,w4p3r Black-fan Club,9,1119,+1(161),+1(32),+1(138),+1(126),+2(39),-,-,-,+1(44),+1(11),+1(29),-,+12(296),57%,Gold,杜沛键,谢书泱,邱思宇,赵文博,N,N
16,12,福州大学,最佳小丑,9,1358,+3(295),+1(31),+3(206),+3(236),+1(52),-,-,+1(284),+1(79),+1(12),+1(41),-,-,40%,Gold,林东颖,傅安,江滢怡,傅仰耿,N,N
17,,上海交通大学,影色舞,8,557,+3(159),+1(24),+1(60),+3(139),+1(30),-,-,-,+1(38),+1(10),+1(15),-,-7,33%,Gold,戴之恒,胡豪达,王越,俞勇,N,N
18,13,华东师范大学,Spa1+6dow Bl4ckfan-club,8,609,+1(109),+2(37),+1(63),+2(223),+1(45),-,-,-,+1(73),+1(9),+1(6),-,-1,20%,Gold,程籽实,谢书骁,汪鼎尊,肖春芸,N,N
19,14,厦门大学,闪光春日影,8,656,+2(185),+1(21),+1(88),+2(148),+2(54),-,-,-,+1(69),+1(19),+1(8),-,-,27%,Gold,邹品聪,栾英石,陈朱迪,林文水,N,N
20,15,哈尔滨工业大学（深圳）,潜水小怪,8,690,+2(261),+1(20),+2(109),+3(95),+1(43),-,-,-,+1(51),+1(6),+1(23),-,-,33%,Gold,孙宇开,羊柯伍,梁彬,李穆,N,N
21,16,北京邮电大学,摩可彭塔斯,8,705,+2(188),+1(9),+2(112),-3,+1(31),-8,-,-,+1(81),+1(10),+1(14),-,+1(216),20%,Gold,区庆亮,鲍睿钊,谭怡萱,徐鹏,N,N
22,17,浙江师范大学,树学与应用树学的小伙计来打ACM咯,8,708,-5,+1(34),+1(138),+1(65),+1(81),-,-,+1(194),+2(112),+1(12),+1(50),-,-,11%,Gold,陈增豪,许凯胤,王学远,韩建民,N,N
22,17,南京邮电大学,内鬼猫猫头,8,708,-1,+1(35),+1(76),+4(144),+1(46),-,-,+1(285),+1(14),+1(12),+1(31),-,-,27%,Gold,张禹健,冯一帆,文超航,陈志,N,N
24,19,香港中文大学（深圳）,WTYTO,8,731,+1(144),+1(30),+1(112),-9,+1(59),-,-,-,+1(45),+1(8),+1(31),-,+2(278),11%,Gold,涂宵箫,王泽诚,杨久知,马晨昊,N,N
25,20,东北大学秦皇岛分校,名字取好了吗,8,734,-,+1(19),+1(78),+4(184),+1(50),-,-,+1(266),+1(43),+1(9),+1(21),-,-,27%,Gold,刘峻畅,肖轲闻,冯阳阳,王和兴,N,N
26,21,东南大学,不休独舞,8,744,+1(136),+2(33),+1(90),+5(262),+1(53),-,-,-,+1(44),+1(8),+1(15),-,-,38%,Gold,戚雨林,张皓,王希陶,倪庆剑,N,N
27,22,南京大学,智慧之树,8,803,+2(207),+1(19),+3(143),+4(171),+1(47),-,-,-,+2(45),+1(3),+1(24),-,-5,46%,Gold,李睿星,陈新,金昕炜,马骏,N,N
27,22,北京理工大学,Penalty这么高它的意思一定是分数吧,8,803,+3(106),+1(49),+1(201),-,+1(17),-,-,-,+1(67),+1(13),+1(19),-,+3(247),33%,Gold,柯宁皓,张思哲,黄康,林永钢,N,N
29,,华中科技大学,零,8,811,+1(170),+1(29),+1(109),-,+1(60),-,-,-,+1(51),+1(15),+1(16),-,+4(297),27%,Silver,刘星佳,黄暄骜,刘铖,何琨,N,N
30,24,电子科技大学,UESTC_雪色光晕,8,849,-4,+1(54),+2(117),+3(184),+1(57),-,-,+1(278),+1(68),+1(7),+1(20),-,-,27%,Silver,张昕诺,李毅远,吕书武,汪小平,N,N
31,,南京大学,南小鸟,8,879,+2(282),+1(46),+1(109),+1(171),+1(114),-,-,-,+1(97),+1(12),+1(23),-,-,11%,Silver,周相羽,朱家辰,贺卓宇,马骏,N,N
32,,华中科技大学,长夜杯空,8,945,+1(142),+1(9),+5(138),+8(277),+2(42),-,-,-,+1(62),+1(13),+1(18),-,-5,60%,Silver,万睿朋,邓本永,李鑫,何琨,N,N
33,25,浙江理工大学,马拉车算法算车拉马,8,958,+2(281),+3(39),+2(120),+4(222),+1(51),-1,-1,-1,+1(65),+1(8),+1(29),-1,-1,46%,Silver,姚仁杰,汤丰玮,卢一鸣,叶海荣,N,N
34,,北京航空航天大学,哟哟,8,979,+4(200),+2(16),+2(118),+7(243),+1(41),-,-,-,+1(98),+1(11),+1(28),-,-,57%,Silver,孙健钧,李澎瑞,黄伟宁,宋友,N,N
35,26,西湖大学,我真的想不吃辣,8,1000,-,+1(22),+1(96),+15(299),+1(45),-,-,+2(135),+1(33),+1(28),+1(38),-,-,65%,Silver,周子涵,王子俊,周禹卿,周广成,N,N
36,,杭州电子科技大学,2024杭电6队,8,1077,+5(263),+1(17),+4(185),+3(297),+1(42),-,-,-,+1(55),+1(12),+1(22),-,-,52%,Silver,张劭晗,陈煜,阮虹涛,李二涛,N,N
37,27,武汉大学,超高校级的xcpc玩家,8,1126,+4(124),+2(40),+3(252),+7(278),+2(73),-,-,-,+1(63),+1(7),+1(25),-,-2,61%,Silver,徐嘉浩,柯昀志,罗岑,董文永,N,N
38,28,香港科技大学（广州）,杂~鱼❤杂~鱼❤大哥哥连A题都过不掉嘛~,7,386,+2(132),+1(12),+1(82),-6,+2(35),-,-,-,+1(57),+1(6),+1(19),-,-,22%,Silver,王向前,储文皓,罗浩,熊辉,N,N
39,,哈尔滨工业大学,海星罐头,7,490,-3,+1(18),+2(161),+1(148),+1(35),-,-,-,+1(59),+1(22),+1(24),-,-,12%,Silver,周书扬,李志轩,杜宇丰,赵文博,N,N
40,29,中国科学技术大学,cls,7,522,-,+1(12),+2(99),+2(194),+2(35),-,-,-,+2(66),+1(15),+1(18),-,-1,36%,Silver,陈聆祎,陈骆鑫,樊澄宇,孙广中,N,N
41,,复旦大学,笑对挑战永不言弃,7,525,-,+2(41),+3(157),+2(152),+1(25),-,-,-,+1(47),+1(10),+1(11),-,-11,36%,Silver,袁子彦,颜皓鹏,沈子轩,孙未未,N,N
42,30,上海大学,献给XCPC的一年之诗,7,535,-,+1(19),+2(116),+1(190),+4(67),-,-,-,+1(36),+1(9),+1(16),-,-,36%,Silver,房辰燏,潘铧超,周子竣,沈俊,N,N
43,,哈尔滨工业大学（深圳）,猫猫不会数数,7,563,-,+1(31),+1(126),+2(210),+1(36),-,-,-,+2(94),+1(9),+1(15),-,-,22%,Silver,高子烽,曹锦程,曹鹏宇,唐琳琳,N,N
44,,华东师范大学,至此，一锤定音,7,578,-,+1(12),+5(125),+2(182),+1(57),-,-1,-,+1(64),+1(14),+1(23),-,-,41%,Silver,冯顾炜,许乐,冯嘉一,肖春芸,N,N
45,31,哈尔滨工程大学,原来名字超过了二十字只能叫王老板爆杀了(,7,588,+3(291),+1(18),+1(95),-27,+2(43),-1,-1,-1,+1(53),+1(5),+1(21),-1,-1,30%,Silver,王一帆,张传炯,金炜东,王宇华,N,N
46,,北京理工大学,内核恐慌,7,589,-1,+1(13),+3(173),+2(150),+1(65),-,-,-,+1(36),+1(47),+1(43),-,-,30%,Silver,张书豪,徐宇飞,陈驭祺,林永钢,N,N
47,,杭州电子科技大学,2024杭电4队,7,590,-,+1(31),+1(147),+2(186),+1(85),-,-,-1,+1(67),+1(14),+1(36),-,-,12%,Silver,罗传杰,俞越,张雨泽,黄彬彬,N,N
48,32,东北大学,东北大学_夕阳红小队,7,595,-1,+1(23),+2(118),+1(220),+1(84),-,-,-1,+1(53),+2(24),+1(29),-,-,22%,Silver,濮金骁,祝云飞,王子晗,刘小锋,N,N
49,,中国科学技术大学,苕玩点原神,7,604,+3(218),+1(9),+2(109),-17,+2(56),-,-,-,+3(65),+1(8),+1(16),-,-,46%,Silver,孙悦淳,金天昊,赖浩宸,孙广中,N,N
50,33,西安交通大学,宇宙将为你闪烁,7,608,-1,+1(13),+2(108),+5(189),+2(36),-,-,-,+2(78),+1(17),+1(25),-,-,50%,Silver,王禹皓,邓熙健,石皓文,王龙翔,N,N
51,34,西安电子科技大学,水产王,7,612,+3(239),+1(51),+1(102),-8,+1(56),-,-,-,+1(74),+1(17),+1(29),-,-,22%,Silver,陈俊丞,孙振元,王骏杰,段毅,N,N
52,35,合肥工业大学,天天做早操队,7,613,-1,+1(10),+2(156),+2(243),+1(41),-1,-,-1,+1(77),+1(14),+1(28),-1,-1,22%,Silver,王腾昊,韩昆桦,舒雨飞,曹力,N,N
53,,东北大学秦皇岛分校,鸡鸣湖畔,7,616,-,+1(34),+3(90),-15,+1(52),-,-,+2(233),+1(105),+1(10),+1(29),-,-,30%,Silver,司伟业,张昱东,张裕博,王和兴,N,N
54,36,华南理工大学,Magically WA,7,618,-1,+1(28),+1(137),+1(197),+3(72),-,-,-,+1(103),+1(8),+1(30),-,-,22%,Silver,涂序有,黄子豪,吴友郅,林连南,N,N
55,,山东大学,猫学长，靠谱！,7,619,-,+2(28),+2(126),+1(223),+2(58),-,-,-,+1(71),+1(29),+1(21),-,-1,30%,Silver,钟以楠,陈方航,刘智豪,郭河川,N,N
55,,厦门大学,暗黑影色舞,7,619,-,+1(37),+1(129),+1(230),+2(88),-,-,-,+1(72),+1(15),+2(7),-,-,22%,Silver,谢舜天,季裕杰,杨晟明,林文水,N,N
57,,香港科技大学（广州）,ZJJ是赵家杰,7,625,-1,+1(40),+2(118),+5(228),+2(52),-,-,-,+1(38),+1(7),+1(19),-,-,46%,Silver,张晋杰,赵欣昊,何家睿,熊辉,N,N
58,37,湖南科技大学,万万大宝贝,7,628,-1,+2(28),+1(144),+1(268),+2(45),-,-,-,+1(76),+1(7),+1(17),-,-,22%,Silver,万佳文,文帅,李中钰,向德生,N,N
59,38,南京信息工程大学,我都可以,7,641,-,+1(29),+1(142),+2(233),+1(68),-,-,-,+1(94),+1(7),+1(44),-,-,12%,Silver,孙嘉诚,朱一诺,俞卓群,宋彪,N,N
60,39,南京航空航天大学,DML,7,643,-1,+1(10),+1(154),+2(239),+2(75),-,-,-,+1(85),+1(14),+1(23),-,-,22%,Silver,沈运之,邵嘉奇,任衍硕,邹春然,N,N
61,,西安电子科技大学,喵喵喵,7,650,-,+2(22),+4(94),-8,+1(34),-,-,+2(297),+1(52),+1(17),+1(31),-,-,41%,Silver,张亲翰,刘朝旭,罗杰,张淑平,N,N
62,40,南京理工大学,混沌蝴蝶,7,677,-,+1(13),+3(161),-6,+1(39),-,-,+2(231),+3(90),+1(14),+1(25),-,-,41%,Silver,丁则文,王一萌,吴俐伽,余立功,N,N
63,41,北京师范大学,苹果狗,7,678,-1,+1(17),+1(119),+6(240),+3(51),-,-,-,+1(65),+1(13),+1(31),-,-,50%,Silver,陈志锐,罗一粟,王儒斌,徐鹏飞,N,N
64,,西湖大学,鱼米之香,7,679,-,+2(18),+1(172),-11,+1(71),-,-,+1(284),+1(52),+1(24),+1(34),-,-,12%,Silver,严密,周扬帆,王宇皓,周广成,N,N
65,,电子科技大学,UESTC_DebugSimulator,7,680,-,+2(20),+1(128),+3(251),+1(52),-,-,-,+2(90),+1(25),+1(31),-,-,36%,Silver,褚睿极,李文硕,徐立,吴磊,N,N
66,,山东大学,_应用随机过程,7,685,+3(200),+3(45),+4(124),-5,+1(53),-,-,-,+1(42),+1(29),+1(49),-,-9,50%,Silver,李玉庭,苏岳,王源鑫,崔学峰,N,N
67,42,浙江工业大学,啥也不会,7,687,-3,+1(23),+2(140),+3(216),+1(105),-,-,-,+2(80),+1(10),+1(29),-,-,36%,Silver,冯梓航,谢宇韬,陆仙梁,韩姗姗,N,N
67,,香港中文大学（深圳）,新建文件夹,7,687,-,+2(47),+1(117),+2(261),+1(94),-,-,-,+2(77),+1(8),+1(21),-,-1,30%,Silver,莫骄阳,周信言,邓有权,马晨昊,N,N
69,,南京大学,哥布林,7,692,-2,+1(17),+2(282),+2(150),+1(57),-,-,-,+1(88),+1(24),+1(33),-,-,22%,Silver,徐梓鸣,李熠城,彭钰朝,马骏,N,N
70,43,湖南师范大学,HowToWin,7,710,-,+1(23),+1(163),+4(281),+1(45),-,-,-,+2(66),+1(16),+1(33),-,-,36%,Silver,段天琦,陶子杨,殷浩文,罗迅,N,N
71,44,大连理工大学,可持久化猫猫虫自动机,7,711,-,+1(28),+2(183),+5(241),+1(45),-,-,-,+1(68),+1(11),+1(32),-,-,41%,Silver,陈常杰,连茗暄,刘兆洲,梁冰,N,N
72,,东南大学,打ACM打的↑↓,7,741,-,+1(21),+3(208),+1(248),+2(94),-,-,-,+1(57),+1(19),+1(29),-,-,30%,Silver,汪骏宇,张一林,陈乐扬,倪庆剑,N,N
73,45,南方科技大学,南方科技大学-皮尔森,7,790,+2(190),+1(50),+4(214),-4,+1(56),-,-,-,+3(116),+1(6),+1(36),-,-1,46%,Silver,钟雨薇,王紫漩,项楚涵,唐博,N,Y
74,46,武汉理工大学,*幻想乡旅行团,7,791,-,+1(32),+3(176),-2,+1(107),-,-,+3(270),+1(68),+1(13),+1(42),-,-,36%,Silver,刘泽宇,巫殷凯,胡书诚,邓佳,N,N
75,47,大连海事大学,红气球杀手,7,800,-,+1(90),+1(163),+1(274),+1(86),-,-,-,+1(110),+1(20),+1(55),-,-,0%,Silver,张雨露,任毅,周晨枫,曹志英,N,N
76,48,湖南文理学院,不学不练,7,855,+2(226),+2(29),+3(144),-1,+2(57),-,-,-,+6(147),+1(7),+1(41),-,-,58%,Silver,高锋,洪响,程漠,屠添翼,N,N
77,49,中国科学院大学,原神启动队,7,856,-,+2(28),+2(151),-2,+5(118),-,-,+2(297),+1(77),+1(20),+1(22),-,-,50%,Silver,黄铮舸,胡格致,唐睿,孙晓明,N,N
78,50,国防科技大学,Jasmine,7,914,-,+1(13),+6(203),+6(299),+1(52),-,-,-,+1(79),+1(24),+1(40),-,-,58%,Silver,尤炜豪,杨淇斌,王俊博,张元良,N,N
79,,北京理工大学,百丽宫1号运载火箭，让你飞起来！,7,982,-,+2(19),+4(206),+5(272),+2(67),-,-,-,+2(162),+1(22),+1(30),-,-,58%,Silver,黄俊超,赵一辰,刘洲甫,杨松,N,N
80,51,苏州大学,大四也是四,7,1044,+2(287),+1(30),+7(261),-,+3(51),-,-,-,+3(147),+1(10),+1(34),-,-,61%,Silver,韩则进,肖锦嗣,李承庚,朱晓旭,N,N
81,52,兰州大学,随便,7,1130,+23(281),+2(37),+1(174),-9,+1(70),-,-,-,+1(33),+1(32),+1(41),-,-,76%,Silver,水源,张恩彬,李大源,马俊,N,N
82,53,同济大学,本来挺喜欢ACM的,6,225,-,+1(7),+1(108),-5,+1(24),-,-,-,+1(53),+1(13),+1(17),-1,-,0%,Silver,孙治弘,刘依扬,张乐天,叶晨,N,N
