Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
1,1,北京大学,一步之遥,9,1209,+1(28),-,+1(8),-,+1(108),+3(86),-,+1(152),-1,+4(288),+2(46),+1(76),+1(297),40%,Gold,钱易,彭博,施开成,张勤健,N,N
2,2,电子科技大学,UESTC_有无名队,8,896,+1(43),-,+1(11),-,+2(134),+3(90),-,+1(169),-,-,+1(68),+2(56),+1(245),33%,Gold,梁育诚,汪澄,刘杭鑫,杨鹏,N,N
3,3,哈尔滨工业大学,CQOI Flames,8,1078,+3(120),-,+1(14),-,+2(179),+1(25),-,+1(297),-,-,+1(81),+1(50),+1(252),27%,Gold,方智鉴,雷钧森,杜沛键,赵文博,N,N
4,4,复旦大学,倒头就睡,8,1087,+1(111),-19,+2(27),-,+2(193),+1(76),-,+1(183),+1(287),-,+2(55),+1(95),-,27%,Gold,张圣皓,王瑞藻,朱翔宇,孙未未,N,N
5,5,浙江大学,八发罚时,8,1578,+4(148),-,+1(9),-,+2(152),+5(287),-,+1(276),+1(238),-,+2(178),+1(110),-,52%,Gold,徐锐扬,吴与伦,周俊康,王灿,N,N
6,6,清华大学,雾里看花,7,873,+2(65),-,+1(7),-,+1(33),+3(112),-,-,-1,+6(288),+3(111),+1(57),-,58%,Gold,李昕然,胡赵阳,黄洛天,邬晓钧,N,N
7,7,北京交通大学,有时间起队名不如把时间抽出来打CF,7,985,+1(135),-,+1(21),-,+4(237),+3(227),-,+1(78),-,-1,+1(115),+1(72),-,41%,Gold,郭昱哲,夏鹤鸣,斯修远,黄华,N,N
8,,复旦大学,奶龙的小七,7,1012,+2(129),-,+2(38),-,+1(185),+2(215),-,+1(285),-,-,+1(36),+1(64),-,30%,Gold,邹丰羽,沈高畅,姚奕,孙未未,N,N
9,,清华大学,摇奖出力,7,1019,+1(153),-,+1(14),-,+1(105),+5(205),-1,+1(271),-,-,+3(57),+1(94),-,46%,Gold,黄子睿,颜桉,周与锋,邬晓钧,N,N
10,8,四川大学,超级洋医,7,1179,+1(172),-1,+1(15),-,+1(153),+4(253),-,-,-,+4(284),+1(69),+1(113),-1,46%,Gold,王鹏超,杨轶涵,熊一鸣,左劼,N,N
11,9,北京邮电大学,古诺希亚,7,1185,+3(204),-,+1(16),-,+1(130),+6(282),-,-,-,+2(255),+2(53),+1(65),-,56%,Gold,秦维斌,谢楠,谭怡萱,徐鹏,N,N
12,,清华大学,惊觉往事历历已经年,6,443,+1(121),-,+1(10),-,+2(151),+1(51),-,-,-,-,+1(22),+1(68),-,14%,Gold,郭米乐,苏明阳,李宁远,邬晓钧,N,N
13,10,南方科技大学,南方科技大学-奥斯陆,6,523,+1(87),-,+1(14),-,+1(182),+2(126),-,-,-,-,+1(36),+1(58),-,14%,Gold,张祺宇,叶翰邦,姜奕豪,唐博,N,N
14,11,上海交通大学,霞染长空,6,591,+3(77),-,+1(7),-,+1(149),+1(122),-,-2,-,-,+2(152),+1(24),-1,33%,Gold,黄佳瑞,钱智煊,林乐逍,俞勇,N,N
15,12,华中科技大学,零,6,594,+1(78),-,+1(12),-,+1(184),+1(146),-,-1,-,-,+1(60),+2(94),-,14%,Gold,刘星佳,黄暄骜,刘铖,何琨,N,N
16,13,西湖大学,world.еxecute(me);,6,699,+1(98),-,+1(13),-,+2(243),+3(113),-,-,-,-,+1(39),+1(133),-,33%,Gold,严密,汪阳,俞开,周广成,N,N
17,,复旦大学,使题来袭╭(╯ε╰)╮AC力场全开,6,709,+3(148),-,+1(13),-,+1(113),+2(176),-,-,-3,-,+2(94),+1(85),-,40%,Gold,陈佳鹏,阚子淳,徐子恩,孙未未,N,N
18,,北京大学,家园火锅点特辣,6,723,+2(152),-,+1(19),-,+1(100),+2(179),-,-2,-,-,+1(63),+2(150),-,33%,Gold,李雷思问,汪煦康,王飞扬,罗国杰,N,N
