Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,清华大学,喵喵喵喵喵喵喵喵喵喵喵喵,10,1054,Gold,严彬玮,周任飞,张哲宇,N,N,+1(106),,+1(29),+1(43),+2(236),,+1(10),+2(173),,+6(191),+1(83),+1(32),+1(5)
2,,清华大学,《关于最后十分钟才组好的佛系队裸考是什么垃圾这事》,10,1426,Gold,曹天佑,袁无为,魏精,N,N,+1(100),,+1(16),+1(28),,+1(118),+1(4),+3(283),,+1(156),+1(236),+10(253),+1(7)
3,2,中山大学,无人之境,9,1032,Gold,谢立辉,邓明昱,邝启鹏,N,N,+1(57),,+1(27),+2(30),,,+1(11),+2(293),,+1(140),+1(143),+4(219),+1(7)
4,3,上海交通大学,不朽之夜,8,592,Gold,刘尔之,孙司宇,孟良谕,N,N,+1(54),,+1(20),+2(41),,,+1(12),,,+3(83),+1(183),+2(107),+1(7)
5,4,复旦大学,轨道喵,8,681,Gold,刘明君,薛振梁,裘家浩,N,N,+1(90),,+2(12),+1(43),+2(232),,+1(15),,,+1(62),,+1(173),+1(11)
6,5,浙江大学,你的林皇，无限张狂,8,971,Gold,詹哲远,陈逸,黄文翀,N,N,+1(82),,+1(33),+1(45),,,+1(30),,,+3(212),+3(292),+1(141),+3(13)
7,,浙江师范大学,师傅把妖怪抓走了,8,1084,Gold,余知航,周天辰,陈卓丞,N,N,+1(134),,+1(31),+1(49),,,+1(21),,,+4(298),+2(274),+1(179),+1(13)
8,6,清华大学,大佬我能做你的小弟吗,8,1156,Gold,肖易佳,陈江伦,陈通,N,N,+2(92),,+3(55),+3(76),,+4(155),+1(14),,,+3(215),,+6(234),+1(11)
9,7,香港大学,浑元形意太极门,7,495,Gold,宋骏凯,林佳貽,王安哲,N,N,+1(120),,+1(11),+1(36),,,+3(25),,,+3(111),,+2(73),+1(15)
10,8,华侨大学,红日初升,7,646,Gold,徐聪,赵雨扬,郑量,N,N,+1(149),,+1(26),+1(41),,,+1(9),,,+2(242),,+2(130),+1(5)
11,9,上海大学,降维打击,7,649,Gold,周天澜,林世铨,罗哲焱,N,N,+1(141),,+1(36),+3(71),,,+1(16),,,+1(96),-1,+1(219),+2(8)
12,10,杭州电子科技大学,BonVoyage,7,727,Gold,尹协童,施毅恒,王淳洋,N,N,+1(123),,+1(15),+2(57),,,+1(20),,,+1(248),-1,+3(189),+1(13)
13,11,北京航空航天大学,CE：从爆零开始的ACM生活,7,780,Gold,姜维翰,李元恺,袁熙,N,N,+4(152),,+1(27),+2(49),,,+1(22),,,+1(221),,+2(178),+2(9)
14,12,中国科学院大学,这么小声还想打ACM,7,788,Gold,李龙成,杨泽超,楼持恒,N,N,+1(136),,+3(40),+2(60),,-3,+1(16),,-2,+1(290),,+1(178),+1(5)
15,13,东北师范大学,凛冬将逝,7,803,Gold,唐佳成,赵梦宇,邓鹏辉,N,N,+1(166),,+1(45),+1(60),,,+1(20),,,+1(214),,+1(289),+1(6)
16,14,中山大学,中山大学_go语言是世界上最好的语言,7,818,Gold,谭嘉伟,车春江,陈泰霖,N,N,+2(238),,+2(45),+2(66),,,+1(25),,,+1(246),,+1(124),+1(12)
16,14,华南理工大学,PTY的小迷妹,7,822,Gold,冼昊明,李珲,谢丰泽,N,N,+2(265),,+1(26),+2(61),,,+1(18),,,+2(185),,+2(175),+1(8)
18,,浙江工业大学,铁华团,7,823,Gold,侯潇扬,徐浩凯,李泽昊,N,N,+1(139),,+1(35),+2(53),,,+1(14),,,+6(283),,+1(143),+2(12)
19,16,天津大学,谁在呼叫舰,7,840,Gold,李雨寒,杨鸣宇,焦晓宇,N,N,+2(144),,+2(27),+2(57),,,+1(17),,,+1(279),,+3(207),+1(7)
20,17,东南大学,机饲料,7,949,Gold,肖炯辰,薛江天,高圣沂,N,N,+1(154),,+3(33),+1(58),,,+1(32),,,+1(210),,+7(292),+1(6)
20,17,北京理工大学,克鲁斯卡尔大战克苏鲁,7,984,Gold,张庚辰,李一文,陈鸿韬,N,N,+2(243),,+2(12),+2(37),,,+2(13),,,+5(281),,+2(209),+1(5)
22,,北京邮电大学,打代码,6,477,Gold,代皓燃,佘俊达,马玉龙,N,N,+3(165),,+1(29),+1(42),,,+1(16),,,+2(154),,-2,+1(8)
23,19,浙江大学,subconscious,6,490,Gold,李彦奎,潘恩皓,陈思睿,N,N,+2(151),,+2(21),+3(41),,,+2(25),,,,,+2(124),+1(6)
24,,香港中文大学,玩能源,6,501,Gold,Kwan Ting JeremyCHOW,Tsz Chun WONG,Yik Chun WONG,N,N,+1(116),,+1(33),+2(35),,,+1(15),,,-2,,+2(249),+1(12)
25,,电子科技大学,UESTC_swimmer,6,504,Gold,冯书瀚,刘轩,张鸿皓,N,N,+1(270),,+2(32),+1(49),,,+1(16),,,+1(105),,,+1(8)
26,,华南理工大学,我亲爱的大佬请带带我,6,517,Gold,章子寅,郑冰升,黎伟煊,N,N,+1(89),,+1(19),+1(53),,,+3(23),,,-18,,+2(249),+1(21)
27,20,重庆邮电大学,老八秘制小汉堡,6,518,Gold,严齐平,张子旋,张潇尹,N,N,+1(198),,+1(25),+1(57),,,+1(10),,,+1(192),,,+2(15)
28,21,杭州电子科技大学,OwO,6,519,Gold,徐趱鹏,赵章恺,高义雄,N,N,+2(137),,+1(31),+1(44),,,+1(15),,,,,+2(225),+2(7)
29,22,哈尔滨工程大学,噔噔咚,6,522,Gold,官毅,王昊宇,王洋,N,N,+2(137),,+1(46),+1(60),,,+1(26),,,+2(204),,,+1(7)
29,,电子科技大学,UESTC_OFFLINE,6,525,Gold,凤奕鸣,程一同,郑涵文,N,N,+1(155),,+1(14),+2(34),,,+1(18),,,+2(234),,,+2(8)
31,23,暨南大学,错误答案自动机,6,532,Gold,林奕森,邓欣涛,高皓天,N,N,+1(251),,+1(29),+1(45),,,+1(12),,,,,+1(166),+2(7)
32,,大连理工大学,dlut11,6,532,Gold,吴励宁,李冠霖,江雨桐,N,N,+1(199),,+1(30),+2(59),,,+1(14),,,-3,,+2(184),+1(4)
33,24,浙江师范大学,婺城区老年人复健中心,6,553,Gold,伍泰炜,余慧,黄正结,N,N,+1(186),,+2(38),+1(49),,,+1(20),,,-4,,+2(184),+2(14)
34,25,北京航空航天大学,铲车人,6,555,Gold,傅云濠,王兴罡,黄旭民,N,N,+2(137),,+1(34),+2(53),,,+3(23),,,+2(190),,,+1(14)
35,26,哈尔滨工业大学（深圳）,下岗工人再就业,6,560,Gold,彭博濠,秦诗雨,范艺杰,N,N,+2(162),,+1(34),+2(68),,,+1(18),,,,,+1(231),+1(5)
36,27,南京大学,猪猪今天吃了吗,6,567,Silver,史丰萁,朱宇博,林海波,N,N,+3(245),,+1(39),+1(55),,,+1(17),,,+1(161),-2,,+1(7)
37,28,北京交通大学,一笑奈何,6,585,Silver,张开元,徐一龙,王浩辰,N,N,+2(134),,+1(29),+1(56),,,+1(7),,,,,+2(282),+2(14)
38,29,山东大学,大白兔奶糖,6,585,Silver,侯冠立,卢子辰,蔡汶澄,N,N,+3(166),,+1(39),+3(65),,,+1(14),,,-4,,+1(208),+1(11)
39,30,华南理工大学,赌徒,6,601,Silver,丁琪,周瑞东,陈烔晖,N,N,+2(292),,+1(21),+1(61),,,+1(15),,,+1(162),-2,,+2(7)
40,31,杭州电子科技大学,轮到我了,6,605,Silver,刘智杰,吉兴龙,汤丰瑜,N,N,+2(214),,+1(26),+1(53),,,+2(15),,,,,+1(252),+1(3)
41,,中南大学,我写得巨对,6,617,Silver,叶惠生,吴止境,胡开添,N,N,+3(260),,+1(17),+1(41),,,+1(21),,,-3,,+3(170),+2(6)
42,32,南京大学,名字短一点的筛凝艾慕,6,655,Silver,周子杰,陈思睿,黄新炜,N,N,+1(191),,+2(43),+1(63),,,+1(17),,,,,+2(292),+1(6)
43,,浙江理工大学,我先放一盒卫生纸在这,6,656,Silver,何光赋,胡成一,金奇,N,N,-11,,+1(40),+2(40),,,+1(19),,,+1(152),,+6(274),+1(10)
44,33,四川农业大学,懂的都懂,6,657,Silver,何雨航,李昆鸿,李豪,N,N,+3(215),,+1(23),+1(38),,,+1(13),,,+4(261),,-6,+1(5)
45,,南京大学,冰冰三元一个十元三个,6,663,Silver,朱景舟,柴致远,王宇峣,N,N,+1(115),,+2(36),+3(71),,,+2(30),,,,,+3(283),+1(5)
46,,华东师范大学,一小时真男人,6,665,Silver,安育东,王晨恺,章兆萌,N,N,+1(281),,+1(28),+1(55),,,+1(20),,,,,+2(249),+1(10)
47,34,江苏理工学院,雀力日进,6,672,Silver,周泳晨,李可扬,沈宇辰,N,N,+1(249),,+1(14),+2(58),,,+1(21),,,+4(243),,,+1(4)
48,,电子科技大学,UESTC_我们仍未知道那天WA的原因,6,675,Silver,吴晓玉,张镕麒,梁晖,N,N,+1(254),,+2(57),+1(59),,,+1(20),,,-1,,+2(213),+2(10)
49,,武汉大学,武钢生产大队,6,679,Silver,向征,吴轲,蔡柏华,N,N,+1(233),,+1(24),+2(42),,,+2(17),,,-3,,+4(255),+1(7)
50,,武汉大学,旭旭哲哲聪聪,6,681,Silver,侯哲,冯烨聪,蒋梦旭,N,N,+3(178),,+1(30),+1(41),,,+1(21),,,,,+5(280),+1(9)
51,35,北京航空航天大学,大吉大利，晚上吃mian();,6,685,Silver,刘佳睿,潘天蔚,郝泽钰,N,N,+1(252),,+1(33),+1(48),,,+1(16),,,-1,,+4(272),+1(2)
52,36,长沙理工大学,再见2020,6,732,Silver,周倩男,唐代敏,王智峰,N,N,+1(159),,+2(51),+1(78),,,+1(37),,,,,+2(296),+3(29)
53,,福州大学,好家伙,6,774,Silver,余镐,廖智炫,赵镇,N,N,+1(267),,+1(39),+2(74),,,+2(34),,,+2(285),,-7,+1(11)
54,37,北京航空航天大学,火锅队,6,839,Silver,林星涵,郭衍培,陶吟翔,N,N,,,+1(37),+3(61),,,+2(20),,,+2(241),,+5(290),+1(27)
55,,浙江大学,学弟带我飞,5,211,Silver,刘静明,杨沛霖,章钧豪,N,N,+1(106),,+1(19),+3(29),,,+1(11),,,-1,,-3,+1(3)
56,,杭州电子科技大学,不敢说话,5,243,Silver,任凌昕,石佳玥,金济众,N,N,+2(123),,+1(30),+1(45),,,+1(15),,,-3,,,+1(8)
57,38,东北大学秦皇岛分校,NEUQ-CFA,5,265,Silver,冯绪杰,吴羿霖,张紫闻,N,N,+1(146),,+1(36),+1(59),,,+1(16),,,,,,+1(6)
58,,郑州轻工业大学,分个块，排个序,5,268,Silver,徐昌鹏,许启明,黄瑞士,N,N,+1(171),,+1(23),+1(51),,,+1(13),,,-3,,,+1(7)
59,39,西北工业大学,炼金术士,5,271,Silver,张帆,李天舒,金煜峰,N,N,-1,,+1(13),+2(39),,,+1(16),,,,,+1(174),+1(7)
60,40,清华大学,数分高代做不对,5,289,Silver,张嘉鹏,殷彦博,范城玮,N,N,+1(110),,+2(37),+1(41),,,+1(18),,,,,-3,+3(22)
61,41,河海大学,摸鱼校尉,5,290,Silver,张宇杰,樊云翔,王祯霖,N,N,+1(162),,+1(34),+1(56),,,+1(24),,,,,,+1(11)
62,,湘潭大学,我们教练会出签到题,5,290,Silver,袁泽,贺强,雷智凯,N,N,+1(201),,+1(24),+1(45),,,+1(14),,,,,,+1(6)
62,42,中国人民大学,多几,5,305,Silver,何宗炎,唐熙霖,杨越千,N,N,+2(88),,+1(30),+3(72),,,+2(22),,,-2,,-4,+1(11)
64,43,山东师范大学,快攻猛男,5,305,Silver,李浩然,王欣,蓝宗慰,N,N,+2(146),,+1(35),+1(59),,,+1(17),,,-4,,,+2(5)
64,43,香港中文大学,心態軟,5,308,Silver,Ka Hei WAI,Lok KanEthen YUEN,Yau Fu NG,N,N,+1(146),,+1(21),+3(73),,,+1(18),,,,,-4,+1(7)
66,,福建师范大学,今天天气不错,5,309,Silver,潘煌凯,黄显文,黄筱芸,N,N,-1,,+1(32),+2(62),,,+1(12),,,+1(176),,,+1(5)
67,45,哈尔滨工业大学（深圳）,机房老人,5,313,Silver,井然,周熙言,李源,N,N,+1(192),,+1(24),+1(53),,,+2(16),,,,,-5,+1(6)
68,,四川大学,给郭哥哥泡一池子大红袍,5,324,Silver,吴咏蔚,周雪妍,郭尧,N,N,,,+1(30),+1(57),,,+1(16),,,,,+1(209),+1(10)
69,46,浙江农林大学,学习使我快乐,5,332,Silver,张烨浩,薛卫东,陈志伟,N,N,+1(208),,+1(27),+1(52),,,+1(15),,,,,-1,+2(7)
70,47,香港中文大学,停機問題判定機判定機,5,343,Silver,,,,N,N,+1(208),,+1(41),+1(57),,,+2(12),,,-2,,,+1(3)
71,48,苏州大学,澳浰澳浰澳,5,349,Silver,崔耘旗,徐一,徐伟,N,N,+1(196),,+1(32),+2(71),,,+1(10),,,-5,,,+1(18)
72,49,南京理工大学,草莓广冻,5,358,Silver,李广泽,潘玉栋,陆宗泽,N,N,+3(188),,+1(35),+1(63),,,+1(20),,,-1,,-1,+1(11)
73,,广东工业大学,夜之荒芜,5,361,Silver,孔止,王煜昕,胡晓煜,N,N,+1(185),,+1(47),+1(65),,,+2(31),,,,,-1,+1(10)
74,50,哈尔滨工业大学,庆大包与摩托车维修艺术,5,362,Silver,徐放,李成蹊,王晓亮,N,N,+3(180),,+1(38),+1(46),,,+1(23),,,,,-6,+2(14)
75,51,南京大学,别卷了别卷了,5,371,Silver,刘响,陈政弛,黄铮,N,N,+2(176),,+2(25),+3(64),,,+1(14),,,,-1,,+1(10)
76,,南京信息工程大学,守护全宇宙最可爱的晗晗,5,379,Silver,冯超宇,刘子晗,虞千迪,N,N,+1(198),,+1(42),+1(58),,,+3(28),,,-2,,-2,+1(9)
77,52,西南交通大学,站着挣钱,5,381,Silver,张翰生,王浩源,郑星宇,N,N,-2,,+3(44),+2(72),,,+1(19),,,+1(179),,,+1(5)
78,53,中南大学,再给我10分钟必过,5,387,Silver,姜业鑫,连士熙,郭浩博,N,N,+1(238),,+1(26),+3(59),,,+1(15),,,,,,+1(7)
79,54,东北大学,三千,5,387,Silver,张晋恺,李泽仁,邱而沐,N,N,,,+1(28),+2(65),,,+1(18),,,,,+1(248),+1(6)
79,,浙江师范大学,三根烟花棒,5,391,Silver,余凡,张燮弛,温启涛,N,N,-3,,+1(32),+2(49),,,+1(17),,,,,+3(224),+1(7)
81,,华南农业大学,哭泣猫猫头,5,392,Silver,何煜晖,林泓,蔡汶峻,N,N,+3(189),,+1(42),+2(71),,,+1(22),,,,,,+1(6)
82,55,河南农业大学,选对赛区少打两年,5,392,Silver,徐本奇,温春阳,金志礼,N,N,,,+1(30),+3(69),,,+1(15),,,-3,,+1(228),+1(9)
82,55,哈尔滨理工大学,哈理工1队,5,393,Silver,周轩宇,陈嘉铭,顾红卫,N,N,-12,,+1(26),+1(45),,,+1(15),,,+3(256),,,+1(9)
84,,南方科技大学,南方科技大学-楚格,5,396,Silver,周轶凡,李舒欣,车文心,N,N,+1(243),,+1(32),+2(61),,,+1(14),,,,,,+2(4)
85,57,浙江理工大学,想不出名字,5,399,Silver,张满为,曹安达,金宇星,N,N,,,+1(28),+1(53),,,+1(21),,,+2(267),,,+1(9)
86,58,华东师范大学,玉米炒葡萄,5,399,Silver,包梁,邱存远,郭晓博,N,N,+1(192),,+1(51),+3(62),,,+1(20),,,-2,,-4,+2(13)
87,,西安交通大学,一袋米要扛几楼,5,402,Silver,宋哲正,赵宋文,陈子谦,N,N,+1(300),,+1(12),+1(47),,,+1(27),,,-2,,-1,+1(14)
87,59,中国石油大学（华东）,队长会烧把子肉,5,403,Silver,张世琛,陈保瑞,黄淳,N,N,,,+1(60),+1(79),,,+1(22),,,,,+2(209),+1(11)
89,60,浙江工业大学,一路向北,5,404,Silver,叶璇,石煌宽,黄嘉宜,N,N,+1(235),,+1(41),+2(66),,,+1(30),,,-23,,,+1(10)
89,60,苏州大学,可持久化键盘冒鸽,5,411,Silver,李天镜,殷九思,诸葛子英,N,N,,,+2(38),+1(50),,,+1(21),,,,,+2(252),+1(8)
91,62,南京理工大学,带带小学弟,5,413,Silver,贾持恒,赵震,陶俊天,N,N,+3(237),,+1(38),+1(57),,,+1(16),,,-5,,,+2(4)
92,,中国海洋大学,加起来69岁的三个老年人,5,416,Silver,苏宇恒,谢哲勇,陈尊龙,N,N,+1(256),,+1(23),+2(71),,,+1(17),,,,,-1,+2(7)
93,63,香港中文大学（深圳）,三只天线宝宝,5,416,Silver,刘澈,胡海川,谢昊轩,N,N,+1(241),,+3(46),+1(57),,,+1(21),,,,,-1,+1(9)
94,64,华东师范大学,你wa我t,5,424,Silver,叶铧远,祝润天,车明亮,N,N,+1(239),,+1(23),+3(78),,,+1(31),,,-2,,,+1(11)
94,64,合肥工业大学宣城校区,朝天椒,5,425,Silver,张泽恒,曹天骄,汤嘉,N,N,+2(198),,+1(48),+2(82),,,+1(25),,,,,,+2(10)
96,,中南大学,摸鱼自动机,5,427,Silver,周霄羽,张皓然,黄道煜,N,N,,,+2(28),+2(57),,,+1(25),,,+2(250),,,+1(4)
97,66,同济大学,电脑,5,428,Silver,姬文灏,成笑行,李乐天,N,N,+1(188),,+2(47),+2(81),,,+2(40),,,-2,,,+1(9)
98,,香港城市大学,九龙塘妙妙屋,5,429,Silver,徐睿,戴晨岳,李嘉乾,N,N,+3(227),,+1(43),+2(66),,,+1(28),,,-2,,,+1(3)
99,,哈尔滨工业大学,别忘注释freopen,5,430,Silver,蒋文祺,袁野,郭炼,N,N,+1(197),,+2(52),+2(79),,,+1(55),,,-1,,,+1(3)
99,,杭州师范大学,指尖旋律,5,437,Silver,卢霖统,杨昌林,谢作杰,N,N,+1(226),,+1(52),+2(99),,,+1(23),,,,,,+1(15)
101,,上海大学,找不到北的指南针,5,438,Silver,丁诗杰,吴逸磊,胡正彧,N,N,+1(280),,+2(18),+1(46),,,+1(31),,,,,,+2(21)
101,,大连理工大学,L,5,439,Silver,刘易铖,吕嘉庆,梁家豪,N,N,+3(292),,+1(29),+1(41),,,+1(22),,,-4,,-1,+1(13)
103,,中国石油大学（华东）,狗蛋无敌,5,452,Silver,刘德鑫,臧怡茹,陈怡霖,N,N,-3,,+1(30),+1(56),,,+3(22),,,,,+3(253),+1(9)
104,67,中国地质大学（武汉）,未来城,5,452,Silver,于桐,付欣宇,何永鑫,N,N,+1(223),,+2(52),+2(86),,,+2(22),,,-2,,-6,+1(7)
104,67,合肥学院,God_random,5,452,Silver,徐永强,李飞翔,闵德海,N,N,+2(272),,+3(37),+1(45),,,+1(13),,,-2,,-1,+1(23)
106,,北京林业大学,就当为了我拿个牌吧,5,452,Bronze,包天立,孟伟韬,贺渝,N,N,,,+1(32),+2(84),,,+1(20),,,+2(264),,-1,+1(10)
107,,南方科技大学,南方科技大学-日内瓦,5,452,Bronze,彭书博,朱嘉楠,黄弋骞,N,N,+2(278),,+1(37),+1(58),,,+1(23),,,,,,+2(14)
108,69,武汉理工大学,WAToFinal,5,456,Bronze,张江涛,杨先达,胡建,N,N,+1(255),,+1(60),+2(85),,,+1(24),,,,,,+1(11)
108,69,浙江万里学院,重铸ICPC荣光吾辈义不容辞,5,461,Bronze,王佳杰,郭义杰,陈斌格,N,N,,,+2(45),+3(96),,,+1(19),,,+1(210),,-1,+2(10)
110,71,广东工业大学,要气球不要炸薯球,5,464,Bronze,张海庭,李炜坚,李进雄,N,N,,,+1(51),+2(79),,,+1(32),,,,,+3(207),+2(14)
110,,浙江理工大学,奶茶茶,5,466,Bronze,储炳焘,杨陈真,汤丰玮,N,N,,,+1(40),+1(77),,,+1(22),,,+3(273),,,+1(12)
112,,华南师范大学,听取WA声一片,5,473,Bronze,宋金龙,潘宏曙,王斯东,N,N,,,+1(45),+2(113),,,+2(30),,,+1(232),,,+1(10)
113,72,成都信息工程大学,飞龙在天,5,474,Bronze,宋诚龙,李汶骏,程旭,N,N,+1(283),,+1(18),+2(97),,,+1(24),,,,,,+2(9)
113,,哈尔滨工业大学,没有没有没有,5,482,Bronze,吕岸桐,王翰坤,陈啸,N,N,+4(228),,+1(29),+2(127),,,+1(14),,,,,,+1(3)
115,73,武汉理工大学,TLEnoTLE,5,484,Bronze,刘柏墉,楼旭辉,田平安,N,N,+1(159),,+2(63),+2(91),,,+1(42),,,-6,,,+3(46)
115,73,广东外语外贸大学,纸上牧羊,5,495,Bronze,曾迪鸿,林冠权,汪鹏飞,N,N,+1(286),,+1(23),+4(79),,,+1(15),,,,,,+2(10)
117,75,华中科技大学,不给牌，就捣蛋,5,496,Bronze,姜雨奇,罗曼,莫琛辉,N,N,+1(272),,+1(42),+2(78),,,+2(35),,,,,,+2(7)
118,,杭州师范大学,这波你在第几层,5,498,Bronze,朱湖健,邱龙风,陆家辉,N,N,+1(299),,+2(36),+2(68),,,+1(23),,,,,,+2(11)
119,,北京理工大学,无中生wa,5,505,Bronze,孙唯潇,李翰杰,薛阳凯,N,N,,,+1(25),+2(51),,,+1(18),,,,,+4(297),+2(12)
120,76,西安电子科技大学,转眼间又在下雨,5,514,Bronze,张炀杰,曾祥翼,蒋叶桢,N,N,+1(159),,+2(73),+4(137),,,+1(29),,,-2,,,+1(34)
121,77,天津大学,护发养发,5,515,Bronze,朱铭辉,杜宇轩,闫璟,N,N,+2(290),,+2(47),+2(72),,,+1(32),,,,,,+1(12)
122,78,哈尔滨工业大学（威海）,掘金打铁,5,526,Bronze,刘新一,和树繁,苑世豪,N,N,+7(275),,+1(26),+2(46),,,+1(12),,,,,,+2(5)
123,79,合肥学院,JBrain1,5,529,Bronze,张凌浩,方瑞,胡辰阳,N,N,+3(260),,+1(62),+1(122),,,+1(33),,,,,,+1(9)
123,79,河南理工大学,松果糖豆闪电WA,5,532,Bronze,岑易,张乔然,胡定宇,N,N,+1(205),,+1(62),+3(161),,,+2(32),,,,,,+1(11)
125,,武汉大学,末日时在做什么?有没有空?可以来WA一发吗?,5,545,Bronze,朱少本,谢宇轩,马铭昊,N,N,-1,,+1(21),+3(55),,,+1(14),,,,,+7(287),+1(6)
126,,南开大学,你的名字,5,547,Bronze,丁彦添,李宇熹,程子奇,N,N,+3(217),,+1(39),+2(95),,,+1(26),,,-1,,,+3(68)
127,81,浙江工商大学,粉红毛毛兔,5,554,Bronze,冯则涛,李道爽,杨柳,N,N,,,+1(39),+1(65),,,+1(20),,,+8(279),,,+1(10)
128,,山东大学,Pikachu,5,558,Bronze,于涛,刘建东,张烜,N,N,+6(279),,+1(34),+3(75),,,+1(18),,,-3,,,+1(11)
129,,西安交通大学,对对队,5,559,Bronze,万和润,夏泽,艾继涛,N,N,-2,,+1(32),+3(59),,,+1(46),,,-2,,+3(295),+2(26)
129,,湖南大学,随便搞搞,5,562,Bronze,吴玠成,欧阳建鸿,蔡文铠,N,N,-1,,+1(10),+3(59),,,+1(14),,,,,+7(295),+1(22)
131,,深圳大学,吾晓之以理,5,574,Bronze,李宇良,潘志豪,许伟鑫,N,N,-10,,+1(90),+2(112),,,+2(72),,,+1(216),,,+2(23)
131,82,南京航空航天大学,在ICPC寻求AC是否搞错了什么？,5,575,Bronze,岑嘉诚,李亚宁,钱品亦,N,N,+8(269),,+1(46),+1(63),,,+1(26),,,,,,+1(30)
133,,南京理工大学,血色火焰,5,577,Bronze,杨永健,王烨欢,谢东,N,N,+4(278),,+1(44),+1(95),,,+3(49),,,,,,+1(10)
134,83,哈尔滨工业大学（深圳）,天天向上,5,579,Bronze,冯奕森,周天鸣,谭泽玖,N,N,+5(245),,+1(69),+1(102),,,+3(32),,,,,,+1(9)
135,,广东工业大学,平砍连击带顺劈,5,581,Bronze,李晓成,潘敏忠,钟智锋,N,N,+4(295),,+1(45),+3(88),,,+1(33),,,,,,+1(18)
136,,广州中医药大学,wzry没你想的那么简单,5,599,Bronze,冯立俊,谢乔森,马文兆,N,N,,,+1(41),+6(101),,,+1(21),,,+2(284),,,+2(10)
137,,同济大学,我先喝五升奶茶,5,607,Bronze,余林旭,刘家聪,孙睿,N,N,+2(292),,+3(72),+2(96),,,+1(34),,,-3,,,+2(11)
138,,中山大学,签到全挂，问题不大,5,613,Bronze,刘彦莹,梁梓豪,欧梓洋,N,N,-2,,+3(47),+2(93),,,+2(41),,,,,+5(251),+1(19)
139,,北京邮电大学,老 wrong awswer 了,5,615,Bronze,厉昊南,王乾凱,陈天奇,N,N,+1(165),,+1(47),+6(177),,,+2(36),,,-1,,,+3(28)
140,84,暨南大学,奥利奥,5,619,Bronze,党禧琳,樊旋,温键伟,N,N,+6(277),,+1(49),+3(125),,,+1(19),,,,,,+1(7)
141,85,北京邮电大学,沙河软件园,5,651,Bronze,娄司宇,赵鹏鸿,黄逸飞,N,N,+2(157),,+1(48),+4(266),,,+2(33),,,-1,,,+2(25)
142,,太原理工大学,鸣谦,5,668,Bronze,孟子杰,王琳雅,赵云霄,N,N,+1(264),,+5(94),+3(127),,,+1(29),,,-2,,,+2(13)
143,,南方科技大学,南方科技大学-苏黎世,4,94,Bronze,彭可,潘舒羽,舒天野,N,N,,,+1(27),+1(39),,,+1(19),,,,,,+1(7)
144,,山东理工大学,今天拿铁半价,4,100,Bronze,方恺鹏,穆俊霖,赵兴锐,N,N,,,+1(27),+1(51),,,+1(16),,,,,-23,+1(4)
