Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,你这题保熟吗,11,1075,Gold,吕秋实,屠学畅,张博为,N,N,,+1(10),+1(276),+1(218),+1(16),+1(36),+1(109),+1(71),+1(146),+1(22),,+1(45),+1(121)
2,,北京大学,重生之我是菜狗,11,1109,Gold,王展鹏,蒋凌宇,罗煜翔,N,N,-40,+5(44),+1(202),+1(283),+1(6),+1(34),+1(49),+1(18),+1(102),+1(77),,+3(74),+1(95)
3,2,香港中文大学（深圳）,新手上路,10,1081,Gold,徐源,李冬旭,忙秋阳,N,N,,+2(31),+1(252),,+1(4),+1(40),+2(212),+1(165),+1(141),+1(53),,+1(19),+1(120)
4,3,浙江大学,虚空之梦,10,1163,Gold,彭博,褚写庭,陈逸,N,N,,+3(70),-2,+1(271),+1(2),+1(20),+4(200),+1(54),+1(133),+1(16),,+1(155),+1(137)
5,4,上海交通大学,柳,10,1182,Gold,王照梓,叶瑶琦,姜天乐,N,N,,+1(27),-1,+1(210),+1(6),+2(18),+4(151),+1(115),+1(239),+1(42),,+1(61),+1(228)
6,5,南京邮电大学,Citrus,10,1369,Gold,何乐晗,陈以信,赵一舟,N,N,,+1(25),,+4(270),+1(2),+2(17),+4(282),+1(136),+1(177),+1(46),,+1(61),+1(208)
7,,上海交通大学,重叠之梦,10,1548,Gold,范能,王子奕,冯跃洋,N,N,,+2(60),,+1(292),+1(6),+1(20),+1(256),+1(136),+4(171),+2(51),,+1(220),+2(214)
8,6,浙江师范大学,妖怪被srk转走了QAQ,9,878,Gold,周天辰,余知航,蒋润浩,N,N,,+1(25),,,+1(7),+1(32),+2(200),+1(125),+1(91),+1(43),,+1(93),+2(217)
9,7,中南大学,普通却自信,9,887,Gold,吴止境,郭浩博,赵伯阳,N,N,,+1(31),,,+1(4),+1(35),+1(246),+1(91),+1(215),+2(21),,+2(62),+1(138)
10,8,复旦大学,冰泮北徂,9,953,Gold,聂绍珩,程鹏志,梁敬聪,N,N,,+1(24),,,+1(2),+1(13),+1(221),+1(60),+1(141),+1(42),,+3(201),+2(186)
11,9,华南理工大学,CSP-J入门组,9,956,Gold,洪鹏培,张亮,丁琪,N,N,,+1(34),,,+1(2),+1(43),+1(257),+1(151),+1(169),+1(38),,+1(75),+1(183)
12,,浙江大学,幽灵乐团,9,1235,Gold,唐嘉辰,黎伟诺,李昌栋,N,N,,+4(99),-1,-4,+1(6),+1(16),+2(179),+1(138),+3(231),+2(50),,+1(95),+3(237)
13,10,中山大学,中山大学_最后的午餐,9,1433,Gold,黄途亮,欧梓洋,梁梓豪,N,N,,+1(35),,,+1(8),+1(56),+1(222),+1(293),+2(247),+1(66),,+1(84),+6(298)
14,11,华中科技大学,开火车的小脑瓜,9,1524,Gold,贺继尧,俞仲遥,沈奥成,N,N,,+3(89),,,+1(4),+1(24),+3(281),+1(213),+1(185),+4(146),,+1(297),+2(122)
15,12,北京航空航天大学,沃尔沃夫,8,784,Gold,闵家旭,崔绍锞,张羿凡,N,N,,+1(13),,,+1(3),+1(24),-3,+2(96),+1(268),+1(31),,+1(125),+1(200)
16,13,郑州大学,西海为期,8,797,Gold,苏同,张四维,刘世纪,N,N,,+1(10),,,+1(12),+1(33),+2(241),+1(151),-8,+2(67),,+1(69),+1(170)
17,14,暨南大学,追光者,8,822,Gold,麦骏,文荫华,温键伟,N,N,,+1(21),,,+1(5),+1(31),+1(264),+1(158),-4,+1(41),,+1(61),+1(238)
