Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,重生之我是菜狗,11,1861,Gold,王展鹏,蒋凌宇,罗煜翔,N,N,+4(228),+3(109),+2(27),-1,+1(146),+2(72),-,+3(250),+5(169),+1(44),+4(282),+2(182),+1(12)
2,2,清华大学,有手有脚,10,1410,Gold,罗恺,陈于思,杨珖,N,N,+6(291),+2(91),+1(65),-,+1(152),+1(38),-,+2(214),+1(86),+1(25),-,+3(260),+1(8)
3,,清华大学,青蛙市中心,10,1412,Gold,李白天,彭思进,黄子宽,N,N,+2(226),+1(137),+4(74),-,+2(245),+1(18),-,+1(255),+1(51),+1(52),-2,+4(187),+1(7)
4,,清华大学,别人 ac 我们 g,10,1534,Gold,张隽恺,胡昊,胡杨,N,N,+6(291),+1(100),+2(29),-,+1(165),+1(180),-,+1(232),+2(153),+1(33),-10,+5(104),+2(7)
5,3,浙江大学,虚空之梦,9,1055,Gold,彭博,褚写庭,陈逸,N,N,-8,+1(232),+2(63),-,+1(182),+1(43),-,+2(205),+1(79),+1(57),-,+1(148),+1(6)
6,,北京大学,摆烂人,9,1266,Gold,钱易,彭博,冯施源,N,N,+2(222),+2(258),+2(46),-2,+1(147),+1(60),-,+5(264),+1(88),+1(34),-,-7,+1(7)
7,,清华大学,一更人,9,1512,Gold,周欣,叶卓睿,虞皓翔,N,N,-,+1(219),+5(204),-,+4(268),+1(22),-,+2(206),+1(95),+2(83),-,+3(188),+1(7)
8,4,南京大学,triple_dogs,9,1564,Gold,刘弘洋,王淳扬,张昕渊,N,N,-,+4(288),+1(69),-,+1(282),+4(97),-,+2(169),+3(133),+1(25),-,+2(293),+1(8)
9,,浙江大学,幽灵门槛,8,918,Gold,唐嘉辰,李昌栋,黎伟诺,N,N,-,-2,+2(69),-,+1(180),+1(78),-,+3(245),+1(95),+1(39),-,+3(104),+1(8)
10,5,南京邮电大学,究竟怎么会是呢？,8,969,Gold,何乐晗,陈以信,赵一舟,N,N,-,-,+2(41),-,+2(182),+2(88),-,+1(223),+1(115),+2(73),-,+2(136),+1(11)
11,6,上海交通大学,柳,8,1049,Gold,王照梓,叶瑶琦,姜天乐,N,N,-,-,+2(35),-,+2(244),+2(122),-,+2(255),+2(53),+1(46),-,+1(179),+1(15)
12,,北京大学,大黄鸭信徒,8,1145,Gold,陈知轩,张记僖,孙嘉伟,N,N,-8,-,+4(77),-,+1(266),+1(34),-,+2(196),+1(144),+1(72),-,+8(129),+1(7)
13,,浙江大学,未命名1,8,1221,Gold,樊睿,严子轩,周轩熠,N,N,-3,-,+3(79),-,+1(236),+1(137),-,+1(204),+1(163),+1(53),-,+7(177),+1(12)
14,7,北京理工大学,ddl战神,8,1257,Gold,林恺,朱子林,邹知秋,N,N,-,-,+3(97),-,+1(276),+1(59),-,+1(203),+2(143),+1(43),-,+4(296),+1(20)
15,,浙江大学,nameless story,8,1316,Gold,凌子恒,胡家齐,林响烨,N,N,-,-,+5(54),-,+3(256),+1(67),-,+2(246),+2(105),+2(31),-,+5(269),+2(8)
16,8,中国科学技术大学,AC之恋,8,1342,Gold,舒英特,王涵斌,殷跃然,N,N,-,-,+2(54),-,+1(254),+3(94),-,+1(299),+2(147),+2(95),-,+5(204),+1(15)
17,,上海交通大学,银色子弹,8,1373,Gold,陈则佳,江若泓,戚洋,N,N,-,-1,+2(77),-,+1(220),+1(192),-,+1(260),+2(108),+1(49),-,+7(298),+1(9)
18,9,北京航空航天大学,自由落体,8,1411,Gold,金炼凯,杨振炜,唐怡浜,N,N,-,-,+4(88),-,+1(294),+1(209),-,+2(224),+2(146),+1(46),-,+2(278),+1(6)
19,10,北京师范大学,Zood,8,1416,Gold,林泽瀚,李鼎懋,卢炜文,N,N,-,-,+3(75),-,+2(242),+4(143),-,+1(289),+2(144),+1(50),-,+6(215),+1(18)
20,11,中山大学,中山大学_破晓,8,1512,Gold,欧梓洋,古鸣浩,吴景图,N,N,-,+1(241),+5(190),-,-,+1(92),-,+1(278),+1(134),+1(65),-,+7(298),+1(14)
21,12,同济大学,长日将尽,8,1544,Gold,储德明,姜梓恒,朱泽凯,N,N,-,-,+4(234),-,+1(241),+2(117),-,+4(298),+4(169),+2(96),-,+4(92),+1(17)
22,13,南开大学,只用spfa队,7,790,Gold,郭军凯,李嘉豪,孔德嵘,N,N,-,-3,+1(49),-,+1(257),+1(91),-,-,+1(168),+1(65),-,+1(136),+1(24)
23,,南京大学,虚幻黄昏,7,925,Gold,丁天行,单启程,欧丰宁,N,N,-,-1,+3(44),-,-3,+1(108),-,+1(194),+3(115),+1(39),-,+3(287),+1(18)
24,,北京航空航天大学,欺负獭没有数理基础？,7,978,Gold,闵家旭,崔绍锞,张羿凡,N,N,-,-,+1(78),-,+1(153),+3(292),-,+1(210),+2(134),+1(44),-,-2,+1(7)
25,14,西安交通大学,渡渡鸟幼儿园,7,1001,Gold,陈业元,王之坤,杨栋,N,N,+3(214),-,+2(50),-,-,+1(74),-,-3,+1(122),+1(58),-,+7(298),+1(5)
26,15,暨南大学,Reimei,7,1013,Gold,麦骏,文荫华,詹方榕,N,N,-,-,+2(49),-,-,+2(150),-,+2(264),+2(126),+1(60),-,+4(211),+1(13)
27,16,哈尔滨工业大学(深圳),删库跑路,7,1042,Gold,卢郡然,任秦江,梁珊,N,N,-,-,+2(76),-,-,+1(184),-,+1(251),+1(124),+1(40),-,+3(278),+2(9)
28,,中国科学技术大学,丝路市西套村代表队,7,1045,Gold,周翟恩和,洪文杰,吴开元,N,N,-,-1,+4(117),-,+1(266),+1(81),-,-,+4(143),+2(43),-,+3(205),+1(10)
29,,上海交通大学,梦想天生,7,1069,Silver,张明驰,张景博,林一凡,N,N,-,-1,+4(159),-,-,+1(136),-,+1(221),+2(115),+1(40),-,+3(271),+1(7)
30,17,北京邮电大学,三只蒟蒻,7,1128,Silver,王佳禾,区庆亮,张天泽,N,N,-,-7,+6(116),-,-,+1(115),-,+2(216),+5(172),+2(50),-,+5(155),+1(4)
