Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,摆烂人,11,827,+1(37),+1(70),+1(7),+3(77),+2(36),+1(43),+2(17),+3(192),-2,+1(41),+1(140),+1(47),35%,Gold,冯施源,彭博,钱易,N,N
2,2,浙江大学,虚空之梦,10,643,+1(59),+2(121),+1(17),+1(115),+1(28),+1(10),+1(23),+1(230),-,+1(13),-6,+1(7),9%,Gold,彭博,褚写庭,陈逸,N,N
3,,浙江大学,幽灵门槛,10,1014,+2(90),+2(134),+1(6),+2(170),+2(41),+1(15),+2(30),-1,+1(271),+1(17),-,+3(100),41%,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
4,3,上海交通大学,破晓狂想曲,9,664,+1(109),+3(133),+1(17),+1(179),+1(35),+1(21),+1(47),-,-,+1(10),-,+1(73),18%,Gold,肖景琦,袁莘睿,邵嘉南,N,N
5,4,清华大学,带我去月球,9,682,+2(137),+1(78),+3(57),+1(191),+2(13),+1(36),+1(31),-10,-,+1(17),-,+1(42),30%,Gold,丁杭亮,徐哲安,陈立言,N,N
6,,清华大学,前路会与过往不同,9,706,+1(86),+1(183),+1(19),+3(224),+1(68),+1(33),+1(15),-3,-,+1(9),-,+1(29),18%,Gold,王泽远,陈亮舟,魏衍芃,N,N
7,5,南方科技大学,南方科技大学 - 维希,9,742,+1(93),+2(255),+1(45),+1(147),+1(65),+1(16),+2(30),-,-,+1(10),-,+1(41),18%,Gold,李浩宇,洪朝阳,陈璐瑶,N,N
8,6,武汉理工大学,树上猫猫虫,9,784,+2(107),+4(151),+2(54),+1(243),+1(52),+1(12),+1(25),-1,-,+1(9),-1,+1(31),35%,Gold,易琢然,赵家荣,闫卢昊,N,N
9,,北京大学,我们队名叫啥啊,9,807,+2(127),+3(149),+2(24),+2(192),+1(52),+1(23),+2(45),-,-,+1(11),-1,+1(64),40%,Gold,何劲范,叶博文,黄骏齐,N,N
10,7,中国科学技术大学,罚时要罚到无穷,9,871,+2(210),+7(171),+1(29),-,+2(23),+1(15),+1(44),-4,-,+1(9),+3(95),+1(75),52%,Gold,丁子尧,吕泽龙,张天,N,N
