Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,清华大学,一路向北,10,1360,+3(291),+1(14),+2(118),+1(106),+1(43),+2(28),-,-,+3(87),+4(272),+5(49),+2(72),-,58%,Gold,许庭强,唐绍轩,周航锐,邬晓钧,N,N
2,2,北京大学,摆烂人,9,1233,-,+2(13),+2(276),+1(167),+1(79),+1(84),-,-1,+3(101),+1(202),+3(63),+3(88),-,47%,Gold,钱易,彭博,冯施源,张勤健,N,N
3,,北京大学,重生之我是菜狗,9,1260,+1(291),+1(5),-4,+1(260),+1(42),+1(38),-,-,+2(186),+1(137),+5(57),+2(124),-,40%,Gold,王展鹏,蒋凌宇,罗煜翔,罗国杰,N,N
4,,北京大学,呆呆鸟,9,1270,-,+1(10),+2(296),+2(142),+2(66),+1(64),-,-,+2(250),+1(207),+2(23),+1(112),-,35%,Gold,王蔚澄,王相文,徐安矣,罗国杰,N,N
5,3,电子科技大学,UESTC_Guest_WiFi,9,1532,-1,+1(17),+2(216),+3(261),+2(33),+1(86),-,-,+3(275),+2(191),+4(64),+3(149),-,57%,Gold,弋竞为,朱铖昊,汪澄,杨鹏,N,N
6,4,哈尔滨工业大学,玩原神玩的,8,1239,-1,+2(16),+1(128),-1,+1(23),+1(50),-1,-1,+5(273),+6(286),+4(81),+1(122),-1,61%,Gold,祁展华,杜沛键,杨一凡,孙大烈,N,N
7,,清华大学,有手有脚,7,608,-,+1(13),-1,-,+1(23),+1(68),-,-2,+3(123),+4(151),+1(48),+1(82),-,41%,Gold,罗恺,陈于思,杨珖,邬晓钧,N,N
8,5,上海交通大学,柳,7,811,-,+1(14),-3,-,+1(36),+1(126),-,-,+5(235),+2(89),+3(54),+1(117),-,50%,Gold,王照梓,叶瑶琦,姜天乐,俞勇,N,N
9,6,南京理工大学,平和猫猫头,7,849,-,+1(15),-1,-,+1(39),+2(133),-,-,+5(224),+3(81),+2(86),+1(111),-,53%,Gold,何平,陈涣焕,金朝哲,余立功,N,N
10,7,中国科学技术大学,cls,7,853,-,+2(31),-,-7,+1(50),+1(79),-,-,+2(242),+1(223),+3(38),+1(110),-,36%,Gold,阎昶澍,陈骆鑫,陈聆祎,李春生,N,N
11,8,香港中文大學,逆命,7,865,-,+1(19),-1,-,+1(28),+1(87),-,-,+4(285),+1(137),+2(70),+2(139),-,41%,Gold,袁樂勤,謝昶豪,吳有孚,麦伟豪,N,N
