Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,一路向北,10,1156,-,+3(107),+1(163),+1(83),+2(14),+1(11),+1(45),-7,+2(197),+2(47),+2(202),+2(147),41%,Gold,许庭强,唐绍轩,周航锐,N,N
2,2,浙江大学,十发罚时,10,1340,-,+6(131),+2(99),+2(236),+1(17),+1(12),+1(54),-20,+2(124),+1(60),+2(199),+3(188),52%,Gold,吴与伦,徐锐扬,万弘,N,N
3,3,北京大学,大黄鸭信徒,10,1510,-,+2(36),+1(82),+3(239),+1(18),+2(10),+1(104),+3(212),+1(264),+2(92),-,+2(293),44%,Gold,陈知轩,孙嘉伟,张记僖,N,N
4,,北京大学,思路打开,10,1555,-,+2(56),+5(159),+1(280),+1(7),+2(16),+1(91),-11,+1(265),+2(57),+1(239),+3(205),47%,Gold,管晏如,朱剑枫,张致,N,N
5,4,电子科技大学,UESTC_Guest_WiFi,9,1165,-,+3(80),+1(116),+2(205),+1(16),+1(6),+1(92),-24,+3(180),+1(75),-,+2(275),40%,Gold,弋竞为,朱铖昊,汪澄,N,N
6,,北京大学,人偶妹妹,9,1295,-,+3(108),+1(134),+2(240),+2(23),+1(3),+2(121),-,+1(168),+3(91),-2,+2(247),47%,Gold,李羿辰,罗思远,孙睿泽,N,N
7,,浙江大学,nameless story,8,890,-,+2(116),+1(83),-3,+2(18),+1(5),+2(69),-,+2(188),+1(36),-5,+2(275),38%,Gold,凌子恒,胡家齐,林响烨,N,N
8,5,中山大学,中山大学_破晓之旅,8,900,-,+1(90),+2(68),+5(286),+1(25),+1(7),+1(65),-,+1(125),+2(114),-1,-,42%,Gold,刘志源,古鸣浩,赵肖睿,N,N
9,6,杭州电子科技大学,Slayers Come,8,931,-,+1(118),+1(100),-,+1(24),+1(5),+1(95),-,+1(202),+2(81),-,+1(286),11%,Gold,尹吴潇,赵政和,戴志炜,N,N
10,,北京大学,兄弟们，有队名吗,8,1087,-,+2(71),+1(46),-,+1(13),+1(3),+1(139),-,+3(216),+5(176),-,+2(263),50%,Gold,俞畅,金天,吴迪,N,N
11,,中山大学,中山大学_懂又不懂,8,1098,-,+2(155),+2(89),+3(237),+3(19),+1(6),+1(61),-,+1(178),+6(133),-,-4,57%,Gold,陈景泰,吴永聪,薛炜鹏,N,N
12,7,南方科技大学,南方科技大学-伊卡利宁,8,1104,-,+1(137),+1(62),+5(283),+1(39),+1(8),+2(112),-,+2(200),+3(103),-,-1,50%,Gold,林政宇,赵子悦,曾子华,N,N
13,,杭州电子科技大学,勿忘草,8,1181,-,+2(216),+1(120),-,+1(24),+1(7),+1(135),-,+1(241),+2(91),-,+2(287),27%,Gold,林圣钬,林炜钦,赵铁囝,N,N
14,,清华大学,xpp在线征婚,8,1236,-,+1(105),+2(184),-,+1(7),+1(13),+2(72),-2,-,+2(174),+7(268),+1(233),52%,Gold,宣毅鸣,常瑞年,杨宁远,N,N
15,8,南开大学,强基计划我爱你,8,1240,-,+2(146),+1(166),+4(284),+1(20),+1(8),+1(138),-,+2(263),+2(95),-,-,42%,Gold,郭军凯,赵思远,车昱辉,N,N
16,9,上海交通大学,希冀之翼,7,738,-,+2(124),+1(117),+5(230),+1(15),+1(4),+1(56),-,-3,+2(72),-,-,46%,Gold,唐靖淇,李南锡,冯启豫,N,N
17,10,西安交通大学,唐人,7,766,-,+2(155),+1(141),-,+1(16),+1(6),+1(121),-,+1(217),+2(70),-,-1,22%,Gold,李纳川,刘欣楠,杨润轩,N,N
18,11,四川大学,难题肉搏小队,7,832,-,+1(80),+1(121),-,+2(51),+2(7),+3(138),-,-,+2(41),-,+1(294),41%,Gold,杨轶涵,李名骕,苏臻,N,N
19,,四川大学,刀削面的疲倦,7,886,-,+4(163),+2(152),-,+1(52),+1(12),+2(88),-,+2(269),+1(30),-,-4,46%,Gold,杨欣渝,邓雍,程渝峰,N,N
20,12,复旦大学,有密码,7,892,-,+2(114),+3(190),-,+1(22),+1(6),+1(133),-,+2(233),+3(74),-,-2,46%,Gold,马成,刘皓蓝,陈可汗,N,N
21,13,东南大学,不休独舞,7,914,-,+3(212),+2(90),-1,+1(36),+1(4),+1(70),-,+1(222),+4(160),-,-,46%,Gold,戚雨林,张皓,王希陶,N,N
22,,上海交通大学,星尘幻想,7,926,-,+1(153),+1(202),-2,+1(25),+1(6),+1(90),-,+2(260),+2(150),-,-,22%,Gold,张景博,范晓泽,胡豪达,N,N
23,14,中南大学,普普三人组,7,962,-,+2(209),+1(230),-,+1(19),+1(7),+2(94),-,+1(280),+2(63),-,-,30%,Gold,徐国琛,李玄靖,赖锦镕,N,N
24,,清华大学,三杯两盏咸酒,7,1005,-2,+1(64),+8(240),-,+1(23),+1(7),+1(116),-,+1(256),+3(119),-,-,56%,Gold,夏天睿,郎思轲,吴成彰,N,N
25,,浙江大学,星尘幻想,7,1021,-,+3(195),+2(209),-,+1(9),+1(13),+4(80),-,+3(297),+2(38),-,-,56%,Gold,林滨,李克成,谭思成,N,N
26,15,哈尔滨工业大学,北风与秋水,7,1068,-,+2(224),+2(194),-,+2(27),+1(7),+3(121),-,+1(290),+3(65),-1,-,50%,Gold,王羽婷,谢书泱,朱峰,N,N
27,,上海交通大学,涡状银河,7,1120,-,+3(178),+6(239),-,+1(42),+1(8),+1(101),-,-,+4(81),+1(271),-,58%,Gold,刘泳霖,戴之恒,李青峰,N,N
28,16,山东大学,应用随机过程,7,1245,-,+1(227),+3(133),-6,+5(156),+1(4),+2(157),-,+5(291),+1(57),-1,-,61%,Gold,孔轲祎,苏岳,李玉庭,N,N
29,,浙江大学,随机下雨,7,1301,-,+4(199),+2(291),-1,+6(128),+1(11),+1(127),-,+3(260),+1(65),-,-,61%,Gold,叶佳昂,王培成,汪翔,N,N
30,17,湘潭大学,金色时光,6,578,-,+2(177),+2(167),-,+1(24),+1(4),+1(39),-,-3,+2(107),-,-,33%,Gold,田楚天,李子熙,肖志林,N,N
31,18,西安电子科技大学,喵喵喵,6,626,-,+1(171),+1(90),-,+1(11),+1(5),+3(117),-,-6,+3(152),-,-,40%,Gold,张亲翰,刘朝旭,罗杰,N,N
32,19,苏州大学,Blowback,6,707,-,+1(165),-,-,+2(20),+1(7),+1(125),-,+1(260),+2(90),-,-,25%,Gold,王宇轩,简嘉瑶,周骁逸,N,N
33,,南方科技大学,南方科技大学-埃斯波,6,716,-,+2(285),+1(171),-,+1(28),+1(6),+1(68),-,-3,+3(98),-1,-,33%,Gold,张书玮,郑轶滔,周益贤,N,N
34,20,南京大学,太平,6,722,-,+1(248),+1(209),-,+1(20),+1(3),+1(93),-,-2,+3(109),-1,-,25%,Gold,陈昊洋,黄可唯,王恺翔,N,N
35,,电子科技大学,UESTC_馄饨之子风扇俱乐部,6,728,-,+2(217),+1(133),-,+1(19),+1(6),+1(170),-,-1,+4(103),-,-,40%,Gold,黄霖,徐辰烨,祁泓金,N,N
35,21,北京航空航天大学,帮帮我！肯德基爷爷,6,728,-,+1(223),+3(132),-,+1(58),+1(12),+1(150),-,-,+2(93),-,-,33%,Gold,严禹韬,谭喆文,邓兆昕,N,N
37,,南京大学,南小鸟,6,764,-,-6,+1(128),-,+1(25),+1(4),+1(182),-,+4(255),+1(110),-,-,33%,Silver,周相羽,贺卓宇,朱家辰,N,N
38,22,中国人民大学,嘉然今天创什么,6,768,-,+1(154),-3,-,+1(61),+2(9),+1(122),-,+4(256),+1(86),-,-,40%,Silver,陈志朋,汪元森,李林豇,N,N
39,23,浙江师范大学,ZJNU_7队,6,782,-,+1(200),+1(165),-,+1(25),+2(12),+1(116),-,-,+2(224),-,-,25%,Silver,厉文浩,蒋润浩,王学远,N,N
39,,西安交通大学,写都写了，交一发吧,6,782,-,+1(270),-3,-,+1(42),+1(7),+1(136),-,+1(242),+2(65),-,-,14%,Silver,贺睿杰,杨一帆,周品良,N,N
41,,清华大学,QDEZ214驻清办,6,787,-,+4(108),-7,-2,+1(47),+1(7),+1(173),-,+1(143),+5(169),-1,-,53%,Silver,张艺缤,迟凯文,韩豫葳,N,N
42,,电子科技大学,UESTC_如名,6,825,-,+1(206),+1(108),-,+1(33),+1(6),+2(155),-,-4,+6(197),-,-,50%,Silver,包航,雷霖,覃子睿,N,N
43,24,吉林大学,rand,6,834,-,+2(274),+2(218),-,+1(18),+2(7),+1(136),-,-,+3(81),-,-,45%,Silver,剧若菲,王天泽,陈鹏旭,N,N
44,,电子科技大学,UESTC_BetaCode,6,840,-,-,+1(171),-,+3(106),+1(8),+1(118),-,+2(251),+1(126),-,-,33%,Silver,张能,李欣朋,汪语桐,N,N
45,25,杭州电子科技大学信息工程学院,清蒸狮子头,6,846,-,+2(216),-,-,+1(18),+1(7),+2(178),-,+1(287),+2(80),-,-,33%,Silver,杨鑫,尹凯乐,柳徐吉,N,N
46,26,上海科技大学,新建文件夹,6,895,-2,+1(243),+1(269),-,+3(34),+1(5),+1(164),-,-,+2(120),-,-,33%,Silver,胡港枫,滕致浩,单子维,N,N
47,,山东大学,追光者,6,906,-,+2(240),+2(189),-,+1(32),+1(7),+1(192),-,-,+4(146),-,-,45%,Silver,战绪丰,庞天祥,袁胜利,N,N
48,27,北京师范大学,内测度,6,912,-,-,+1(191),-,+1(29),+1(11),+2(217),-16,+1(232),+4(152),-,-,40%,Silver,李鼎懋,林靖轩,孙旭琪,N,N
49,28,武汉大学,不要找我打什么原神我要学算法打比赛OK？,6,955,-,+4(200),-7,-,+2(35),+1(6),+2(131),-,+5(295),+2(88),-,-,62%,Silver,王旗玉,蒋敬,李佳隆,N,N
50,29,香港大学,遥遥领先,6,957,-,+2(261),+1(267),-,+1(18),+1(4),+2(152),-,-2,+6(115),-,-6,53%,Silver,劉澈,王安哲,宋骏凯,N,N
