Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,随机匹配,9,979,-,+1(46),+1(27),+1(158),+1(61),+1(130),+1(72),+1(259),+2(17),+2(169),-,-,-4,18%,Gold,柯绎思,柯怿憬,谢梓涵,罗国杰,N,N
2,,北京大学,Lumina,8,785,-,+1(15),+1(19),+1(124),+1(64),+1(231),+2(48),-,+3(16),+1(208),-,-,-5,27%,Gold,郭羽冲,沈吉滪,朱羿恺,张勤健,N,N
3,2,清华大学,击中月亮,8,979,-,+2(70),+1(35),+5(168),+2(62),+1(148),+1(86),-,+3(23),-1,-2,+1(227),-,50%,Gold,程思元,戚朗瑞,魏佳泽,邬晓钧,N,N
4,,清华大学,雾里看花,8,1010,-,+1(20),+1(39),+4(108),+1(51),-1,+1(101),-,+2(14),+1(213),+7(264),-,-,55%,Gold,李昕然,胡赵阳,黄洛天,邬晓钧,N,N
5,3,中山大学,中山大学_没有想法,8,1151,-,+2(47),+1(65),+2(90),+3(158),+2(213),+4(100),-,+2(27),+2(251),-,-,-,55%,Gold,陈景泰,吴永聪,薛炜鹏,张子臻,N,N
6,4,南方科技大学,南方科技大学-奥斯陆,8,1188,-,+2(42),+1(7),+2(130),+6(237),+2(149),+2(63),-,+2(25),+3(295),-,-,-,60%,Gold,姜奕豪,杨博文,张祺宇,唐博,N,N
7,5,浙江大学,十发罚时,8,1206,-,+2(50),+1(55),+5(161),+1(137),+1(288),+2(83),-4,+2(22),+3(230),-,-,-,52%,Gold,徐锐扬,吴与伦,万弘,王灿,N,N
8,,北京大学,家园火锅点特辣,8,1357,-,+1(70),+3(43),+3(146),+8(295),+1(181),+3(81),-,+2(23),+1(238),-,-,-,63%,Gold,李雷思问,汪煦康,王飞扬,罗国杰,N,N
9,,清华大学,《我是大赢家》,8,1439,-,+2(97),+1(30),+2(228),+5(157),+2(264),+2(159),-,+2(35),+1(289),-,-,-,52%,Gold,李天宇,彭志可,曹越,邬晓钧,N,N
10,6,北京理工大学,越野,7,762,-,+1(31),+1(61),+1(122),+2(136),+3(256),+1(39),-,+1(57),-1,-,-,-1,30%,Gold,邹知秋,于瀚文,廖嘉琦,林永钢,N,N
11,,浙江大学,幻想風靡,7,964,-,+2(31),+1(30),+1(135),+4(199),-1,+3(97),-,+1(14),+5(258),-,-,-,58%,Gold,张志心,谭思成,柯怀俊,王灿,N,N
12,7,四川大学,雍正王朝老太医,7,1050,-,+3(50),+1(15),+4(135),+4(220),+3(287),+2(64),-10,+2(39),-,-,-,-,63%,Gold,邓雍,王鹏超,熊一鸣,左劼,N,N
13,,北京大学,但中文名要考虑的就多了,7,1153,-,+1(44),+1(31),+6(172),-2,+2(252),+1(92),-,+3(47),+5(275),-,-,-,63%,Gold,蒋梓衡,姜锐漳,郭宸淏,张勤健,N,N
14,8,上海交通大学,影色舞,6,456,-,+1(35),+1(27),+3(117),+1(126),-,+2(75),-2,+1(16),-5,-,-,-,33%,Gold,戴之恒,胡豪达,王越,俞勇,N,N
15,9,复旦大学,曼波大战哈姆,6,619,-,+2(52),+1(25),+5(176),+1(173),-2,+1(76),-,+1(17),-,-,-,-,45%,Gold,罗意明,陈可汗,徐兆恺,孙未未,N,N
16,10,哈尔滨工业大学（深圳）,猫猫不会数数,6,634,-,+1(50),+1(49),+3(112),+1(177),-,+2(143),-,+2(23),-,-,-,-,40%,Gold,曹鹏宇,高子烽,曹锦程,唐琳琳,N,N
17,,上海交通大学,奇迹师歌队,6,635,-,+1(49),+1(31),+4(104),+5(176),-,+1(77),-2,+2(38),-6,-,-,-,57%,Gold,楼灏,谭钧豪,徐君翊,俞勇,N,N
18,11,南开大学,强基计划我爱你,6,640,-,+1(62),+1(37),+1(167),-4,+1(260),+1(43),-,+3(31),-,-,-,-,25%,Gold,郭军凯,赵思远,车昱辉,刘晓光,N,N
19,,复旦大学,小粉兔真爱粉,6,656,-,+1(73),+1(38),+1(152),+2(207),-12,+1(99),-,+2(47),-,-,-,-,25%,Gold,戴士博,李佳骏,王子乐,孙未未,N,N
20,12,东北大学秦皇岛分校,名字取好了吗,6,684,-,+1(44),+1(28),+4(189),-1,-,+1(66),-1,+1(21),+1(276),-,-,-,33%,Gold,刘峻畅,冯阳阳,肖轲闻,王和兴,N,N
21,13,武汉大学,JUMPING WIN！,6,762,-,+1(49),+1(67),+2(179),+3(284),-2,+1(85),-,+2(18),-,-,-,-,40%,Gold,徐嘉浩,罗岑,柯昀志,董文永,N,N
22,14,华东师范大学,假飞了！,6,765,-,+3(104),+1(38),+1(74),+4(275),-,+2(111),-1,+2(23),-,-,-,-,53%,Gold,冯中信,姜朝顺,陈赵润,杜育根,N,N
23,15,香港中文大学（深圳）,WTYTO,6,792,-,+1(78),+1(47),+3(167),+2(248),-,+2(103),-,+2(49),-,-,-,-,45%,Gold,涂宵箫,王泽诚,杨久知,方一向,N,N
23,15,北京邮电大学,摩可彭塔斯,6,792,-,+2(66),+1(65),+4(259),+4(161),-4,+1(29),-,+2(52),-,-,-,-,57%,Gold,区庆亮,鲍睿钊,谭怡萱,杨亚,N,N
25,,浙江大学,雪花倾诉之时,6,802,-,+2(115),+1(37),+2(90),+3(205),-1,+5(126),-1,+3(29),-,-,-,-,62%,Gold,徐敏睿,靳鹏举,朱天煜,王灿,N,N
26,17,杭州电子科技大学,杭电4队,6,851,-,+1(148),+2(79),+2(80),+3(255),-,+1(155),-,+2(34),-,-,-,-,45%,Gold,罗传杰,俞越,张雨泽,刘春英,N,N
27,,北京理工大学,内核恐慌,6,862,-,+3(67),+1(44),+1(177),+4(257),-,+2(150),-,+2(27),-,-,-,-,53%,Gold,张书豪,陈驭祺,徐宇飞,林永钢,N,N
28,18,浙江师范大学,主C没来,6,872,-,+3(65),+1(35),+1(174),+5(298),-,+2(140),-,+1(20),-,-,-,-,53%,Gold,厉文浩,陈增豪,许凯胤,蒋云良,N,N
29,19,哈尔滨工程大学,我推的七海爆吃0721次罚时因为在原神启动,6,903,-,+2(70),+1(46),+2(170),+4(260),-1,+4(123),-,+2(54),-,-,-,-,60%,Gold,宿斯玮,吴兆昕,黄凯鹏,国林,N,N
30,20,华中科技大学,零,6,927,-,+2(117),+1(15),+6(251),+3(242),-1,+1(80),-,+2(42),-,-,-,-,60%,Gold,刘星佳,黄暄骜,刘铖,何琨,N,N
31,21,哈尔滨工业大学,我退役了，教练管不了了,6,1022,-,+3(73),+2(34),+9(293),+2(258),-,+1(79),-,+2(25),-,-,-,-,68%,Gold,朱峰,祁展华,王羽婷,赵文博,N,N
32,22,南京大学,优质解答：我不知道,6,1075,-,+2(95),+1(83),+2(270),+2(294),-,+2(151),-,+4(42),-,-,-,-4,53%,Gold,陈弘毅,林荣恩,郑欣,马骏,N,N
33,23,北京航空航天大学,早知道，还是可口可乐,6,1153,-,+6(115),+3(62),+3(291),+3(255),-,+2(136),-,+2(34),-,-,-,-,68%,Gold,刘昊言,李墨之,杭洋,宋友,N,N
34,,浙江大学,又活一天,6,1260,-,+4(125),+1(22),+3(163),+23(294),-,+2(61),-,+2(15),-,-,-,-,82%,Gold,王楚淏,王羽立,高宏钧,王灿,N,N
35,,中山大学,中山大学_红温之旅,6,1270,-,+4(92),+2(50),+6(187),+4(296),-4,+7(230),-,+2(35),-,-,-,-,76%,Silver,张宸睿,张益晟,周睿韬,张子臻,N,N
36,,香港中文大学（深圳）,坏了队,5,442,-,+5(59),+1(33),+2(128),-16,-,+2(79),-,+1(23),-,-,-,-,54%,Silver,蒋一歌,曾子荣,何润元,方一向,N,N
37,,杭州电子科技大学,杭电2队,5,459,-,+1(29),+2(33),+2(172),-14,-,+3(104),-,+1(41),-,-,-,-,44%,Silver,徐墨凡,徐铭扬,余梓诚,刘春英,N,N
38,24,香港科技大学（广州）,ZJJ是赵家杰,5,469,-,+2(61),+1(23),+1(174),-,-,+1(115),-,+2(56),-,-,-,-,28%,Silver,张晋杰,赵欣昊,何家睿,熊辉,N,N
39,,北京邮电大学,网瘾犯了求求你把牌子给我,5,491,-,+1(57),+1(21),+1(231),-4,-,+1(127),-,+2(35),-,-,-,-,16%,Silver,刘益铭,陈杰祥,谢志宏,杨亚,N,N
40,25,大连理工大学,二保一,5,500,-,+2(61),+1(39),+1(168),-11,-,+3(125),-,+2(27),-,-,-,-,44%,Silver,陈常杰,袁振,闫希良,梁冰,N,N
41,26,南京邮电大学,内鬼猫猫头,5,527,-,+2(78),+1(29),+1(161),-4,-,+3(128),-,+3(31),-,-,-,-,50%,Silver,张禹健,冯一帆,文超航,陈志,N,N
42,,中山大学,中山大学_无限天堂,5,537,-,+3(64),+1(47),+2(111),-3,-3,+4(121),-,+2(54),-,-,-,-,58%,Silver,涂博皓,李昊洲,邱恺铭,万海,N,N
43,27,浙大城市学院,扫雷爱好者,5,562,-,+3(102),+1(38),+1(195),-1,-,+1(123),-,+2(44),-,-,-,-,37%,Silver,陈至之,沈墨昕,褚锦威,柯海丰,N,N
44,28,西北大学,剑舞者,5,572,-,+2(60),+1(98),+1(189),-1,-,+2(118),-,+3(27),-,-,-,-,44%,Silver,朱钊毅,伍俊霖,蒋宏烨,杨建锋,N,N
44,28,长沙学院,冲冲冲,5,572,-,+2(91),+1(55),+1(206),-,-,+2(154),-,+1(26),-,-,-,-,28%,Silver,应郑涛,曾翔,何南宁,魏歌,N,N
46,30,浙江工业大学,ZJUT7,5,580,-,+1(83),+1(55),+2(207),-2,-,+1(161),-,+2(34),-,-,-,-,28%,Silver,陆仙梁,冯梓航,施豪硕,王春平,N,N
47,31,香港中文大學,少年的拼勁,5,586,-,+1(96),+2(26),+4(155),-2,-,+2(115),-,+4(34),-,-,-,-6,61%,Silver,黃梓謙,姜宣丞,周禮言,麥偉豪,N,N
47,31,中国科学技术大学,夜旅号,5,586,-,+1(94),+2(23),+3(213),-4,-,+1(107),-,+4(29),-,-,-,-,54%,Silver,杨思汗,刘畅,黄盛唐,孙广中,N,N
49,33,山东大学,老登加农炮,5,592,-,+2(137),+1(53),+2(162),-,-,+2(158),-,+1(22),-,-,-,-,37%,Silver,黄垚挺,李梓阳,于斐,崔学峰,N,N
50,34,广东工业大学,三句号,5,601,-,+1(92),+1(45),+3(229),-2,-,+1(141),-4,+2(34),-,-,-,-,37%,Silver,赵浩杰,陈建生,吴毓乐,孙宣东,N,N
51,35,吉林大学,断桥雪,5,609,-,+1(89),+1(33),+7(149),-6,-,+1(199),-,+1(19),-,-,-,-,54%,Silver,周宇恒,黄昌盛,陈鹏宇,郭东伟,N,N
52,36,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,5,616,-,+1(153),+3(32),+3(192),-,-,+2(118),-,+1(21),-,-,-,-,50%,Silver,陈学海,李诏天,何坤良,张锋,N,N
53,37,浙江机电职业技术大学,兔八鸽,5,623,-,+1(86),+1(58),+2(116),-1,-,+4(200),-2,+3(43),-,-,-,-,54%,Silver,洪志伦,应程杰,林宇曈,邹会来,N,N
54,,香港中文大學,自攻螺絲,5,639,-,+2(61),+2(59),+4(222),-,-,+1(110),-,+2(67),-,-,-,-,54%,Silver,张天瀚,黃文禮,Poonyapat Sriroth,麥偉豪,N,N
55,38,郑州大学,都不玩原神,5,649,-,+3(149),+1(35),+2(226),-5,-,+2(97),-,+2(42),-,-,-,-,50%,Silver,乔培元,梁志杰,赵圣元,张卫星,N,N
56,,华中科技大学,红温黄豆,5,650,-,+2(123),+1(73),+2(208),-5,-,+2(87),-,+2(79),-,-,-,-,44%,Silver,胡伟江,黄浚源,刘祖泰,何琨,N,N
56,39,湖南理工学院,流泪猫猫头,5,650,-,+1(63),+1(35),+6(243),-,-,+2(119),-,+2(50),-,-,-,-,58%,Silver,金烜宇,唐天华,梁韧,李文彬,N,N
58,40,浙江理工大学,队名本来超级长但因为太长被ban呜呜呜队,5,654,-,+3(110),+2(43),+3(182),-6,-,+2(135),-,+2(44),-,-,-,-,58%,Silver,张莉曼,陶稼辉,王显龙,叶海荣,N,N
59,,浙江工业大学,choke豁免检定大成功,5,656,-,+2(133),+1(45),+4(192),-,-,+1(120),-,+3(46),-,-,-,-,54%,Silver,鲍成,罗志炜,叶瑞阳,侯向辉,N,N
60,,复旦大学,笑对挑战永不言弃,5,665,-,+5(197),+1(31),+2(140),-8,-2,+1(152),-,+2(25),-,-,-,-,54%,Silver,袁子彦,颜皓鹏,沈子轩,孙未未,N,N
61,41,广东以色列理工学院,一纸繁鸢,5,667,-,+2(68),+3(15),+5(222),-11,-,+3(108),-,+3(34),-,-,-,-,68%,Silver,薛亿杰,张晏然,郭宇航,张妍,N,N
62,42,南京信息工程大学,叱咤月海鱼鱼猫,5,677,-,+3(99),+2(67),+1(193),-2,-,+2(149),-,+3(49),-,-,-,-,54%,Silver,潘小康,徐凡明,马天顺,郑关胜,N,N
63,,山东大学,猫学长，靠谱！,5,695,-,+2(86),+1(86),+4(177),-,-,+4(156),-,+1(50),-,-,-,-,58%,Silver,钟以楠,陈方航,刘智豪,郭河川,N,N
64,43,华南师范大学,代码先和初中生同步,5,696,-,+1(81),+1(62),+3(269),-2,-,+2(185),-,+1(39),-,-,-,-,37%,Silver,何明聪,肖沐鑫,李梓健,梁军,N,N
65,44,上海理工大学,高山壮游 黄日初升,5,705,-,+3(171),+1(53),+2(247),-,-,+1(84),-,+4(30),-,-,-,-,54%,Silver,姚陆涵茗,严子安,丁晓强,周春樵,N,N
66,,中国科学技术大学,白日梦想家,5,714,-,+7(140),+1(21),+4(171),-8,-,+1(104),-,+4(38),-,-,-,-,70%,Silver,王怡钧,蔡俊成,高君祚,孙广中,N,N
67,45,武汉纺织大学,因为太怕爆零就全交暴力了,5,715,-,+1(52),+1(49),+6(268),-3,-,+3(162),-,+2(24),-,-,-,-,61%,Silver,蒋沈浩,胡劲睿,苏宇曦,张自力,N,N
68,46,东南大学,打ACM打的↑↓,5,717,-,+2(89),+1(82),+1(207),-,-,+4(242),-,+1(17),-,-,-,-,44%,Silver,汪骏宇,张一林,陈乐扬,倪庆剑,N,N
69,47,河海大学,可以组一辈子acm队吗,5,719,-,+3(105),+1(54),+3(261),-,-,+1(172),-,+2(27),-,-,-,-,50%,Silver,王跃然,江建谕,周厚望,朱云,N,N
70,,武汉大学,魔女之旅,5,731,-,+2(183),+1(37),+2(245),-4,-,+1(163),-,+2(43),-,-,-,-,37%,Silver,李澍,厉汪扬,解丛语,董文永,N,N
70,48,河海大学常州校区,不定积分,5,731,-,+1(150),+1(55),+2(263),-,-,+2(201),-,+1(22),-,-,-,-,28%,Silver,蔡松廷,申宝亿,江晟东,许涛,N,N
72,,浙江师范大学,未命名1.cpp,5,732,-,+2(133),+1(56),+1(251),-1,-,+2(230),-,+1(22),-,-,-,-,28%,Silver,丁逸飞,王学远,李展宇,邱晟,N,N
