Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,思路打开,12,1491,+1(13),+2(44),-,+3(276),+1(18),+1(92),+3(158),+2(51),+5(192),+1(71),+1(9),+4(205),+2(82),53%,Gold,张致,朱剑枫,管晏如,罗国杰,N,N
2,2,清华大学,world. search (you);,11,1346,+1(25),+1(90),-,+2(216),+1(29),+2(137),+2(186),+1(116),+2(241),+1(79),+1(19),-2,+3(88),35%,Gold,万成章,刘一平,张景行,邬晓钧,N,N
3,,北京大学,躺在沙发上变成没知觉的植物沉入泥中蝶泳,11,1405,+1(9),+2(90),-1,-,+2(78),+1(121),+1(214),+2(108),+2(146),+1(165),+1(18),+4(261),+2(35),42%,Gold,叶子川,翟锦程,马未然,张勤健,N,N
4,3,上海交通大学,夏日影,11,1457,+1(7),+1(107),-,+1(297),+2(58),+3(92),+2(269),+2(82),+3(208),+1(138),+1(15),-,+1(44),38%,Gold,冯启豫,刘家宁,朱泽木,俞勇,N,N
5,4,北京交通大学,羊羊羊,9,813,+1(17),+1(131),-,-3,+1(60),+1(77),+1(221),+1(95),-,+1(156),+1(12),-,+1(44),0%,Gold,夏鹤鸣,斯修远,郭昱哲,许华婷,N,N
6,,清华大学,雾里看花,9,865,+1(6),+1(34),-,-1,+1(87),+1(62),-5,+1(106),+3(174),+2(199),+1(26),-,+3(71),35%,Gold,李昕然,胡赵阳,黄洛天,邬晓钧,N,N
7,5,华中科技大学,武汉希区柯克亲手操办邹知秋退役仪式,9,1162,+1(9),+3(185),-,-,+2(73),+1(128),+1(280),+1(65),-10,+1(213),+1(18),-,+3(91),35%,Gold,俞仲遥,刘兆硕,麦骏,何琨,N,N
8,6,东北大学,东北大学_出毛,9,1389,+1(18),+4(238),-,-1,+6(91),+2(124),+2(291),+2(82),-2,+4(217),+1(11),-,+1(37),60%,Gold,仝家驹,周尧,苏焜,刘小锋,N,N
9,7,中山大学,中山大学_cutelyou,8,773,+1(14),+2(160),-,-,+1(84),+1(121),-,+2(62),-,+1(219),+1(25),-,+1(48),20%,Gold,吴明禹,肖淇,苏律硕,万海,N,N
10,8,电子科技大学,UESTC_篝月明火,8,901,+1(7),+4(264),-,-,+1(78),+2(134),-1,+2(59),-,+2(183),+1(17),-,+1(39),42%,Gold,彭帅康,汪澄,陈奕可,杨鹏,N,N
11,9,复旦大学,学海无涯，回头是岸,8,981,+1(9),+2(230),-,-,+1(118),+1(144),-2,+3(82),-,+1(227),+1(16),-,+3(55),38%,Gold,崔博钧,莫骐彰,阚子淳,孙未未,N,N
12,10,浙江工业大学,月球猫猫,8,1015,+1(13),+1(274),-,-,+1(56),+1(125),-,+1(103),-1,+1(236),+2(19),-,+2(149),20%,Gold,李汶芝,陆徐豪,陈泓睿,韩姗姗,N,N
13,11,四川大学,雍正王朝老太医,8,1033,+1(13),+2(282),-,-,+2(51),+1(199),-2,+4(67),-,+1(116),+1(17),-,+2(168),42%,Gold,熊一鸣,王鹏超,邓雍,左劼,N,N
14,,北京大学,仨人成行,8,1153,+1(22),-7,-,-,+1(17),+1(202),+5(160),+2(92),-1,+3(299),+2(32),-,+3(129),55%,Gold,刘鹏飞,宋来恒,王冠尧,罗国杰,N,N
15,12,南方科技大学,布尔诺,8,1232,+2(32),+3(187),-,-,+1(128),+2(209),-,+1(105),-,+5(300),+1(31),-,+1(80),50%,Gold,江博成,王振宇,王泰翔,唐博,N,N
16,13,中南大学,电子界探寻者,7,536,+1(11),+1(125),-,-,+1(50),+2(172),-1,+1(60),-2,-3,+1(27),-,+1(71),12%,Gold,周湘予,易光廷,江天运,陈再良,N,N
