Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,"Merry Christmas, Mr You",8,936,-,+2(232),+1(7),-,+1(146),+2(47),+2(113),+1(172),-,-,+1(40),+1(119),-,27%,Gold,罗思远,葛子越,孟煜皓,Qinjian Zhang(Coach),N,N
2,2,北京航空航天大学,Euphonium,8,1344,-,+1(288),+1(10),-,+2(281),+6(242),+1(137),+1(94),-,-1,+1(27),+2(125),-,46%,Gold,蒋槟阳,王大禹,董和军,You Song(Coach),N,N
3,3,哈尔滨工业大学,Dolls in Pseudo Paradise,7,891,-,+1(184),+1(13),-,-1,+4(80),+2(214),+1(110),-,-,+1(36),+2(154),-,41%,Gold,陈煜航,丁文涛,张彭凯,Wenbo Zhao(Coach),N,N
4,4,杭州电子科技大学,HDU-T01,7,969,-,+3(142),+1(12),-,-,+3(294),+2(82),+2(74),-,-,+1(16),+3(189),-,53%,Gold,马文浩,何卓锟,黄光升,Chunying LIU(Coach),N,N
5,5,上海大学,"Mako, suki",7,1253,-,+1(268),+1(10),-,-,+2(298),+1(201),+4(206),-,-,+1(40),+1(150),-,36%,Gold,耿鹏成,松浩然,陶钧,Jun Shen(Coach),N,N
6,6,香港中文大学深圳,Path to the Peak,7,1311,-,+1(288),+1(12),-,-,+3(230),+3(272),+4(205),-,-,+2(40),+1(104),-,53%,Gold,孙悠然,郭青硕,忙秋阳,Yixiang Fang(Coach),N,N
7,7,南京航空航天大学,BUG,6,799,-,-,+1(7),-,-,+3(110),+1(179),+1(172),-,-,+1(56),+2(215),-,33%,Gold,赵乐坤,吕俊琪,胡昊天,Chunran Zou(Coach),N,N
8,8,香港大学,Hot Kpop Union,6,807,-,+1(273),+1(6),-,-,-,+1(116),+2(53),-,-,+1(65),+3(234),-,33%,Gold,李其轩,徐启越,吴语晨,Qipeng Kuang(Coach),N,N
9,9,上海交通大学,Modification Only,6,818,-,+1(85),+1(10),-,-,-5,+3(211),+1(155),-,-,+3(93),+1(184),-,40%,Gold,杨崇烨,李俊毅,于恩帝,Yong Yu(Coach),N,N
10,10,吉林大学,Solar Express,6,1013,-,+1(157),+3(36),-,-,-,+1(127),+3(194),-,-,+1(71),+4(288),-,53%,Gold,陈俊甫,于之航,王一丁,Miao Liu(Coach),N,N
11,11,香港科技大学,HKUST2,6,1140,-1,+1(276),+2(15),-1,-1,-1,+1(292),+5(153),-1,-1,+4(36),+1(208),-1,57%,Gold,Yimo Zhang,Yin Fung LOK,Taimas Korganbayev,Qifeng Chen(Coach),N,N
12,12,中国科学技术大学,Xitao Village Team of Silk-road City,6,1209,-,+1(233),+1(14),-,-,+7(284),+2(176),+3(264),-,-,+1(58),-1,-,60%,Gold,周翟恩和,洪文杰,郭一航,Guangzhong Sun(Coach),N,N
13,13,南方科技大学,SUSTech-Southern Breeze,5,573,-,-,+1(12),-4,-,+1(254),+1(138),-1,-,-,+3(55),+1(74),-,28%,Gold,林政宇,薛哲,曾子华,Bo Tang(Coach),N,N
14,14,华东师范大学,sha1+6deZ blackF4n-Club,5,605,-,-,+1(13),-,-,+2(224),+1(234),-6,-,-,+1(43),+1(71),-,16%,Gold,谢书骁,汪鼎尊,程籽实,Chunyun Xiao(Coach),N,N
15,15,哈尔滨工业大学深圳,Good Problems!!!,5,918,-1,-1,+3(29),-1,-1,-1,+2(283),+1(222),-1,-1,+2(56),+1(248),-1,44%,Gold,高俊垚,李潭啸,蔡易轩,Linlin Tang(Coach),N,N
16,16,广东工业大学,GDUT_Playing Kasuga Shadow,4,311,-,+1(133),+1(16),-,-,-,-,+1(69),-,-,+1(93),-3,-1,0%,Silver,林正,庞翔,梁展榕,Sun Xuandong(Coach),N,N
17,,香港科技大学,Firebird Chan Lay Harder,4,433,-,-,+1(11),-,-,-,+1(150),-4,-,-,+1(21),+3(211),-,33%,Silver,Ka Kit Lui,Yeung Sin Chun,Sin Hang Yeung,Qifeng Chen(Coach),N,N
