Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,A,B,C,D,E,F,G,H,I,J,K,L
1,北京大学,三人齐心，坐断钢筋,12,1456,Gold,吉如一,洪华敦,丁力煌,+1(5),+1(21),+1(14),+2(33),+1(39),+1(101),+4(234),+2(68),+3(110),+1(186),+5(252),+1(173)
2,南京大学,咖啡鸡,10,1180,Gold,凌浩,刘弘洋,张扬播,+1(3),+2(12),+1(31),+1(24),+2(60),+1(56),+3(218),+5(196),+1(101),+4(259),,
3,北京大学,逆序欧拉回路,10,1584,Gold,陆宇暄,吴瑾昭,张宇博,+1(5),+3(55),+2(62),+1(65),+11(236),+1(108),+2(176),+2(126),+2(143),+2(268),-1,
4,浙江大学,Legilimens,9,889,Gold,陈靖邦,叶梓成,刘明锐,+1(3),+1(12),+2(77),+1(32),+2(45),+1(52),+1(269),+3(185),+2(114),-1,-1,
5,浙江大学,YaSHa,9,1052,Gold,黄洋逸,刘一辰,邓浩然,+1(3),+2(20),+3(62),+1(31),+1(86),+1(99),,+3(196),+1(166),,+1(289),
6,清华大学,燃烧我的编译器,8,553,Gold,张晨,谢兴宇,孙文厚,+1(6),+1(20),+1(44),+1(49),+1(29),+1(66),,+1(134),+4(145),,-1,
7,福州大学,小黄鸭,8,729,Gold,吴媛媛,尹泽锋,傅滨,+1(5),+1(20),+2(86),+2(58),+1(157),+1(24),-1,+1(194),+2(125),-1,,
8,复旦大学,西瓜王,8,832,Gold,王飒,耿明睿,薛振梁,+1(3),+1(28),+1(46),+1(18),+1(133),+1(92),,+5(276),+2(136),,-3,
9,南京大学,Calabash!,8,914,Gold,陈劭源,王冬杨,王淳扬,+1(7),+1(29),+3(115),+2(47),+1(85),+2(91),+1(289),,+2(151),,,
10,中山大学,中山大学,8,917,Gold,林一诺,李洋,邓明昱,+1(6),+1(24),+2(48),+1(60),+3(160),+2(101),,+3(202),+4(136),-7,,
11,南京航空航天大学,赫拉克勒斯,8,994,Gold,黄聿超,黄振,王天行,+1(19),+3(36),+1(51),+1(67),+1(129),+1(164),,+2(290),+1(178),,,
12,北京航空航天大学,除了AC,8,1012,Gold,郭镕昊,王嘉翼,姜圣虎,+1(31),+1(23),+1(70),+2(55),+3(166),+1(157),,+3(267),+1(143),,,
13,吉林大学,黑框眼镜,8,1017,Gold,周植,张虎,王登泰,+1(4),+1(19),+1(53),+1(38),+1(91),+3(165),+3(257),-1,+3(270),,,
14,同济大学,荠蒻,8,1111,Gold,刘毅韬,欧阳小伟,任秋宇,+1(8),+1(39),+6(92),+1(33),+2(102),+1(128),,+5(248),+3(221),,,
15,北京航空航天大学,从不刷题队,8,1163,Gold,周环宇,向宏毅,何铭睿,+1(14),+2(45),+2(94),+1(110),+1(169),+1(124),,+1(159),+8(268),,,
16,浙江大学,Helianthus,8,1204,Gold,李彦奎,李广林,吕耀维,+1(11),+2(47),+8(188),+1(55),+1(144),+1(92),+1(276),-1,+2(211),,,
17,北京交通大学,猜歌群,8,1206,Gold,何卫锋,郑黎明,王天舒,+1(5),+1(15),+4(98),+1(26),+6(260),+1(103),,+2(291),+2(208),,,
18,浙江理工大学,打完这仗回校养老,8,1255,Gold,潘灵伟,胡震元,王宣凯,+3(25),+1(24),+2(63),+1(92),+7(247),+1(109),,+2(260),+2(215),,,
19,北京师范大学,法老汇,8,1286,Gold,孙科,高健扬,吕青松,+1(3),+1(47),+1(89),+4(102),+7(250),+1(124),,+2(202),+1(269),,,
20,哈尔滨工业大学,工程制图,8,1313,Gold,王安杰,吴逸飞,罗泽建,+1(6),+2(24),+2(65),+8(158),+4(169),+1(178),,+3(288),+1(145),,,
