Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
1,1,清华大学,零基础新生 1 队,12,1260,+3(218),+1(139),+1(3),-8,+1(103),+1(29),+1(26),+1(79),+1(16),+1(200),+1(51),+2(222),+1(114),20%,Gold,刘海峰,陈诺,徐骁扬,邬晓钧,N,N
2,2,北京大学,飞带不长队,12,1738,+1(288),+1(204),+1(4),-1,+1(174),+1(27),+2(71),+1(111),+2(68),+1(124),+3(58),+8(257),+2(112),50%,Gold,方心童,蒋承佑,郑钧,罗国杰,N,N
3,,北京大学,小怪兽训练中心,11,1640,-1,+2(214),+1(8),-,+3(290),+1(46),+1(96),+1(73),+1(86),+5(151),+1(45),+2(261),+3(170),47%,Gold,严思珩,葛致远,翟鹏昊,张勤健,N,N
4,,清华大学,雾里看花,11,1716,-1,+7(271),+2(4),-1,+3(231),+3(35),+1(90),+1(105),+2(34),+2(142),+2(81),+3(201),+2(182),60%,Gold,李昕然,胡赵阳,黄洛天,邬晓钧,N,N
5,,北京大学,你先别急,10,1139,-1,+3(219),+1(5),-,+1(194),+1(32),+1(87),+1(69),+1(49),+2(198),+1(61),-3,+2(145),28%,Gold,吴泽岳,孙恒喆,陈凯丰,张勤健,N,N
6,,清华大学,Escape,10,1224,-,+5(184),+1(3),-,+1(105),+1(20),+3(115),+1(157),+2(57),+1(192),+3(48),-,+1(163),47%,Gold,郭雨豪,任舍予,郑玄晔,高玉超,N,N
7,3,复旦大学,使题来袭╭(╯ε╰)╮AC力场全开,10,1336,-,+1(146),+1(2),-,+2(279),+1(29),+1(119),+1(185),+1(95),+2(296),+1(63),-,+1(82),16%,Gold,陈佳鹏,阚子淳,徐子恩,孙未未,N,N
8,4,福州大学,惡·即·斬,10,1595,-,+1(107),+1(5),-,+1(73),+2(101),+1(128),+1(246),+3(191),+3(291),+4(50),-,+2(223),47%,Gold,陈宇,陈建涛,程棋晖,傅仰耿,N,N
9,5,中国科学技术大学,铜铜铜sahur,10,1602,-1,+3(223),+1(4),-1,+2(289),+2(31),+1(119),+1(153),+2(108),+2(200),+4(87),-1,+2(188),50%,Gold,范宇祺,梁嘉文,孙志浩,周英华,N,N
10,6,广东工业大学,打ACM导致的,10,1804,-,+2(266),+1(5),-,+2(247),+2(84),+2(98),+7(280),+1(46),+2(127),+2(113),-,+6(198),62%,Gold,林正,庞翔,杨子弘,孙宣东,N,N
11,7,武汉大学,秘封俱乐部,9,1085,-,+1(70),+1(4),-,-,+1(36),+1(106),+1(218),+1(93),+1(238),+1(116),-,+2(184),10%,Gold,李佳隆,熊师飏,潘非,董文永,N,N
12,,复旦大学,三棱镜,9,1127,-,+2(179),+1(4),-,+1(262),+1(37),+2(107),+1(192),+1(71),-3,+2(59),-,+1(156),25%,Gold,戴承皓,潘梓睿,杨辰浩,孙未未,N,N
13,,清华大学,你们这是什么队啊,9,1146,-,-7,+1(3),-,+2(283),+1(82),+4(76),+1(47),+1(127),+2(89),+1(96),-,+2(223),40%,Gold,舒熙皓,马梓航,唐一文,邬晓钧,N,N
14,8,电子科技大学,UESTC_undefined_WiFi,9,1150,-,+2(133),+1(5),-,-,+1(111),+1(62),+1(176),+1(90),+3(282),+1(41),-,+3(150),35%,Gold,梁育诚,陈奕可,汪澄,杨鹏,N,N
15,9,浙江工业大学,ZJUT0,9,1252,-,+1(251),+1(8),-,-,+1(23),+1(91),+1(167),+1(74),+2(227),+1(34),-,+5(277),35%,Gold,陈泓睿,冯梓航,陆仙梁,韩姗姗,N,N
16,10,香港科技大学（广州）,因为太怕 WA 就全点大模拟了,9,1337,-,+1(226),+1(5),-,-5,+2(105),+3(182),+1(190),+1(33),+2(277),+1(94),-,+2(125),35%,Gold,王向前,罗浩,储文皓,熊辉,N,N
17,,北京大学,很显然我有意见,9,1453,-1,-,+2(16),-,+1(239),+3(88),+1(132),+1(134),+1(158),-,+1(56),+2(251),+1(299),30%,Gold,咸浩哲,陈睿泽,金天,罗国杰,N,N
18,11,四川大学,超级洋医,9,1515,-,+1(108),+1(4),-,-1,+1(83),+1(181),+2(265),+3(147),+1(280),+4(95),-,+1(232),40%,Gold,熊一鸣,王鹏超,杨轶涵,左劼,N,N
19,12,中山大学,中山大学-游客模式,9,1645,-,+9(298),+1(4),-,+1(215),+3(101),+2(109),+4(178),+1(90),+2(291),+2(39),-,-,64%,Gold,吴永聪,陈景泰,薛炜鹏,张子臻,N,N
20,13,北京师范大学,安卓狗,8,960,-1,+2(75),+1(6),-,-2,+1(33),+1(190),+1(166),+1(73),-,+1(122),-,+2(255),20%,Gold,王梓霁,王儒斌,罗一粟,徐鹏飞,N,N
21,14,中国人民大学,Distance,8,970,-,+3(164),+1(4),-,-4,+1(84),+1(103),-,+1(68),+1(232),+1(31),-,+3(204),33%,Gold,颜黎,江易洋,施涵森,汪云海,N,N
22,15,上海交通大学,且歌,8,1179,-,+1(229),+1(4),-,-,+1(129),+2(118),+1(203),+3(145),+1(219),+1(72),-,-2,27%,Gold,魏可臻,于恩帝,秦一苇,俞勇,N,N
23,,上海交通大学,霞染长空,8,1195,-1,+1(223),+1(5),-,-1,+1(57),+1(103),+1(187),+4(106),+2(262),+3(132),-,-,42%,Gold,黄佳瑞,钱智煊,林乐逍,俞勇,N,N
24,16,香港中文大学（深圳）,Mynoghra,8,1251,-,+1(241),+2(5),-,-2,+4(68),+1(97),+1(154),+1(123),-1,+2(133),-,+3(290),46%,Gold,周莫非,王泽诚,陈嘉年,方一向,N,N
25,17,浙江大学,北极星,8,1391,-,+2(248),+1(4),-,-,+2(189),+3(198),+1(129),+1(85),-,+5(60),-,+3(278),55%,Gold,王羽立,尤佳骏,余承恩,王灿,N,N
26,,中山大学,中山大学-喵喵队想旷工,7,863,-,-,+1(8),-,+2(278),+1(143),+1(60),+1(114),+2(176),-,+1(44),-,-,22%,Gold,陈悠然,邱泽敏,曹子键,张子臻,N,N
27,18,华中科技大学,哈斯特坐牢领域大神,7,943,-,-12,+1(5),-,-,+1(69),+2(145),+2(187),+1(123),-,+2(78),-,+2(256),36%,Gold,潘裕洲,杨逸轩,武琪峻,何琨,N,N
28,,中国人民大学,睡眠零队,7,1018,-,-4,+2(8),-,-,+1(209),+1(108),+1(192),+2(112),-,+1(32),-,+2(297),30%,Gold,吴致楷,张梓桐,段宇哲,汪云海,N,N
29,19,西北工业大学,#N/A,7,1057,-,-,+1(5),-,+1(292),+1(96),+1(203),-,+2(86),-,+3(55),-,+1(260),30%,Gold,张天翔,牛马思元,张贝西彦,刘君瑞,N,N
30,20,北京理工大学,英文队名,7,1092,-,+3(299),+1(5),-,-,+1(85),+1(146),+1(266),+2(154),-,+2(57),-,-,36%,Gold,王翔宇,谭意青,李皓辰,胡琳梅,N,N
31,,电子科技大学,UESTC_十斤鸭梨,7,1123,-,+2(202),+1(8),-,-,+1(100),+3(193),+1(257),+3(140),-8,+2(103),-,-,46%,Gold,徐辰烨,黄霖,祁泓金,杨鹏,N,N
32,21,南京大学,RE的怪物正从窗边看着,7,1163,-,+2(258),+1(2),-,-1,+2(194),+1(215),+1(146),+2(160),-3,+3(88),-,-,41%,Gold,陈新,李睿星,金昕炜,马骏,N,N
33,,电子科技大学,UESTC_等下掉线一会,7,1183,-,+14(278),+1(4),-,+1(209),+1(57),+1(186),-,+1(46),-,+2(123),-,-,66%,Gold,赵锐枫,王东威,蔡锦哲,汪小平,N,N
34,22,北京邮电大学,天绫绫地宁宁,7,1282,-,-6,+1(3),-,-,+3(118),+2(176),+1(243),+4(211),+2(268),+4(63),-,-,58%,Silver,秦维斌,谢楠,徐慕政,杨亚,N,N
35,23,南开大学,数智省身_唯独可以做到的就是线段树,7,1305,-,-,+1(4),-,+3(253),+2(226),+2(166),+2(295),+1(137),-,+2(104),-,-,46%,Silver,金继烨,赵思远,郭鑫源,刘晓光,N,N
36,24,厦门大学,闪光春日影,7,1313,-,-1,+1(6),-,+1(176),+4(280),+1(148),+1(273),+3(84),-,+3(206),-,-,50%,Silver,邹品聪,栾英石,李林泽,戴平阳,N,N
37,,武汉大学,很弱的低手,6,553,-1,+2(109),+1(2),-1,-1,+1(36),-7,+2(155),+1(169),-1,+1(42),-1,-1,25%,Silver,张心悦,蔡骐羽,罗汇翔,董文永,N,N
38,25,杭州电子科技大学信息工程学院,无尽的风之轨迹,6,630,-,+1(131),+2(5),-,-,+1(83),+1(154),-,+1(174),-,+1(63),-,-,14%,Silver,杨鑫,尹凯乐,周越,李钧,N,N
39,26,重庆邮电大学,蓝桥杯嘤之队,6,666,-,-1,+1(8),-,-,+1(55),+1(117),+4(209),+1(85),-,+4(72),-,-,50%,Silver,舒显航,黄宇哲,向炳权,李盘林,N,N
40,,南京大学,最后一舞,6,769,-,-4,+1(4),-,-,+2(95),+3(166),+1(257),+1(125),-,+1(62),-,-,33%,Silver,胡伟江,李豪,张道涵,马骏,N,N
