Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,你这题保熟吗,10,1365,+1(163),+1(9),+2(228),+1(77),+3(36),-,+1(220),+2(76),+2(90),+1(5),-,+5(281),47%,Gold,吕秋实,屠学畅,张博为,N,N
2,2,南京邮电大学,Citrus,9,999,+1(243),+2(12),+3(202),+1(82),+2(72),-1,+1(120),+2(99),+1(51),+1(18),-,-,35%,Gold,何乐晗,赵一舟,陈以信,N,N
3,,北京大学,重生之我是菜狗,9,1261,-4,+1(32),+3(58),+2(24),+1(17),-,+4(203),+2(122),+7(193),+1(26),-,+4(266),64%,Gold,王展鹏,罗煜翔,蒋凌宇,N,N
4,3,天津大学,树状数组维护01背包,8,888,-,+3(7),+1(249),+5(94),+2(25),-,+1(123),+2(170),+1(50),+1(10),-,-5,50%,Gold,何志凌,张博凯,杜鼎勋,N,N
5,4,北京航空航天大学,又是困难的取名时间了,8,963,-,+1(8),+2(206),+1(87),+2(26),-,+1(262),+3(223),+1(57),+1(14),-,-1,33%,Gold,吕诚鑫,温佳昊,韩一,N,N
6,5,哈尔滨工业大学,三维半布丁交,8,1025,-,+1(18),+4(255),+2(126),+1(11),-,+1(205),+1(278),+1(30),+1(22),-,-,33%,Gold,徐放,王晓亮,金义扬,N,N
7,6,清华大学,安全车,8,1080,-,+1(30),+1(240),+4(150),+4(59),-18,+2(183),+1(212),+2(42),+1(4),-,-,50%,Gold,曲殊同,王本宇,程泽瑞,N,N
8,7,南京大学,如烟,8,1138,-,+1(22),+4(289),+4(120),+1(33),-,+1(180),+1(251),+2(88),+1(15),-,-,46%,Gold,曹逸中,邹忠奇,陈弘毅,N,N
9,8,北京邮电大学,三只喵喵一锅汤,8,1147,-,+1(29),+3(191),+2(106),+3(47),-,+2(247),+1(282),+2(72),+1(33),-,-,46%,Gold,李亦非,赵昕鹏,陈冠州,N,N
10,,北京大学,巨大的金刚鸽子,8,1189,+2(231),+1(9),+7(130),+4(81),+2(26),-,+1(182),-1,+4(222),+1(28),-,-,63%,Gold,徐舟子,郭城志,陈宇,N,N
11,9,西北工业大学,心态逐渐平和,7,639,-,+2(15),+2(218),+1(86),+1(30),-,+1(179),-4,+1(60),+1(11),-,-,22%,Gold,汪梁森,管孙笛,金煜峰,N,N
12,10,西安交通大学,我们还行吧？那当然,7,695,-,+3(43),+4(171),+1(81),+1(40),-,+2(190),-2,+1(24),+2(6),-,-,50%,Gold,唐梓航,赵宋文,陈执镇,N,N
13,11,杭州电子科技大学,杭电2021-1队,7,729,-,+1(16),+2(248),+1(84),+3(18),-,+3(209),-4,+1(43),+1(11),-,-,41%,Gold,侯津涛,汤丰瑜,郑凯心,N,N
14,12,华南理工大学,胖头鱼头胖,7,811,-,+1(9),+1(234),+3(124),+2(45),-1,+1(184),-2,+2(121),+1(14),-,-,36%,Gold,冼昊明,李珲,钱晨炼,N,N
