Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,思路打开,11,1378,+1(29),-,-,+1(100),+1(106),+2(19),+1(88),+1(224),+1(72),+1(265),+1(125),+1(40),+5(206),31%,Gold,管晏如,朱剑枫,张致,罗国杰,N,N
2,,北京大学,人偶妹妹,11,1407,+1(13),-,-,+4(209),+1(80),+1(21),+2(29),+1(261),+1(110),+1(189),+3(161),+1(47),+2(142),38%,Gold,李羿辰,罗思远,孙睿泽,张勤健,N,N
3,2,浙江大学,Delay for five minutes,10,1466,+1(65),-,-,+4(198),+1(117),+1(19),+1(79),-,+4(81),+2(292),+2(130),+1(36),+5(206),54%,Gold,樊睿,严子轩,周轩熠,王灿,N,N
4,3,四川大学,难题肉搏小队,9,1304,+1(40),-,-,+5(282),+1(135),+1(49),+1(103),-,+2(77),-,+1(122),+1(14),+6(279),52%,Gold,杨轶涵,苏臻,李名骕,左劼,N,N
5,4,北京航空航天大学,口嗨战神,8,868,+2(25),-,-,+1(231),+1(170),+1(37),+1(90),-,+1(79),-,+2(141),+1(52),-3,20%,Gold,董和军,蒋槟阳,王大禹,宋友,N,N
6,5,哈尔滨工业大学,月间天路,8,933,+1(25),-,-,+2(195),+2(238),+2(30),+2(66),-,+1(93),-,+2(139),+1(44),-3,38%,Gold,卢景行,田宇丰,张城玮,孙大烈,N,N
7,6,香港中文大学（深圳）,CUHK-SZ: (TBD),8,1044,+1(38),-,-,+3(214),+1(193),+1(23),+1(90),-,+1(120),-,+1(259),+1(64),-3,20%,Gold,陈翰飞,曾子荣,何润元,马晨昊,N,N
8,7,哈尔滨工业大学（深圳）,猫猫骗分跑路,8,1165,+1(36),-,-,+3(177),+1(220),+1(58),+1(76),-,+2(104),-,-,+1(39),+6(291),50%,Gold,曹杨,任秦江,高子烽,唐琳琳,N,N
9,8,中山大学,中山大学_退休观光老年团,8,1234,+2(35),-,-,+2(233),+2(257),+1(58),+3(118),-,+1(138),-,+2(197),+1(73),-5,42%,Gold,欧梓洋,吴景图,梁梓豪,万海,N,N
10,9,上海交通大学,希冀之翼,8,1264,+1(29),-,-,+3(244),+2(182),+3(78),+1(32),-,+2(128),-,+6(289),+1(59),-4,57%,Gold,唐靖淇,冯启豫,李南锡,俞勇,N,N
11,,中山大学,中山大学_懂又不懂,8,1273,+2(33),-,-,+1(238),+4(161),+3(63),+2(115),-,+1(131),-,+5(205),+2(85),-5,60%,Gold,陈景泰,吴永聪,薛炜鹏,张子臻,N,N
12,10,杭州电子科技大学,2023杭电2队,7,915,+1(25),-,-,+3(268),+3(165),+2(69),+1(105),-,+1(48),-,-,+1(133),-,41%,Gold,林圣钬,赵铁囝,林炜钦,穆海伦,N,N
13,11,电子科技大学,UESTC_NekoCat,7,966,+1(27),-,-,+2(282),+2(235),+1(47),+2(101),-,+1(153),-,-,+1(59),-,30%,Gold,冯宇扬,贺皓哲,黄博奕,汪小平,N,N
14,,杭州电子科技大学,2023杭电1队,7,978,+1(31),-,-,-2,+1(225),+2(24),+2(61),-,+3(150),-,+1(253),+1(152),-,36%,Gold,潘思成,姜正,陈载元,徐恩友,N,N
