Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,清华大学,《我是大赢家》,10,1365,+3(69),-,-,+1(39),+1(233),+1(139),+1(10),-,+1(293),+1(27),+2(246),+2(135),+2(70),33%,Gold,李天宇,彭志可,曹越,邬晓钧,N,N
2,2,北京大学,呆呆鸟,10,1526,+1(11),+1(170),+3(268),+2(89),+2(290),+3(78),+1(13),-,+4(174),+2(19),-,-,+1(210),50%,Gold,王蔚澄,王相文,徐安矣,罗国杰,N,N
3,3,浙江大学,Plenty of Penalty,9,1330,+1(23),-,+5(299),+4(120),+1(191),+1(98),+1(12),-,-3,+2(15),-,+1(225),+2(163),50%,Gold,吴与伦,徐锐扬,万弘,王灿,N,N
4,4,上海交通大学,银色子弹,8,853,+1(25),+1(240),+1(214),+1(47),-,+3(113),+1(13),-,-1,+2(18),-,-1,+1(121),27%,Gold,陈则佳,江若泓,戚洋,俞勇,N,N
5,,上海交通大学,柳,8,1275,+6(86),-,+2(172),+1(207),-,+1(115),+1(12),-,+1(285),+1(9),-,-,+1(265),42%,Gold,王照梓,叶瑶琦,姜天乐,俞勇,N,N
6,5,东北大学,东北大学_天狐座,7,582,+1(6),-,+2(239),+1(79),-,+1(71),+1(10),-,-,+2(20),-,-3,+1(115),22%,Gold,陈少皇,徐越昊,苏焜,刘小锋,N,N
7,6,北京邮电大学,三只蒟蒻,7,598,+1(11),-,-,+2(61),-,+1(96),+1(22),-,-2,+1(19),-,+1(211),+2(137),22%,Gold,王佳禾,鲍睿钊,区庆亮,杨亚,N,N
8,7,哈尔滨工业大学,玩原神玩的,7,672,+1(21),-1,+4(286),+1(79),-1,+1(50),+1(17),-1,-1,+1(9),-1,-1,+2(127),36%,Gold,杜沛键,祁展华,杨一凡,孙大烈,N,N
9,8,吉林大学,烈冕号,7,684,+3(32),-,-,+1(52),-,+2(88),+1(12),-,-,+2(19),-,+3(228),+1(130),46%,Gold,于之航,陈俊甫,王一丁,李强,N,N
10,9,复旦大学,有密码,7,692,+2(14),-,+5(236),+2(48),-,+1(72),+1(20),-,-1,+1(28),-,-,+2(131),50%,Gold,马成,刘皓蓝,陈可汗,孙未未,N,N
11,,哈尔滨工业大学,蓬莱人形,7,711,+2(17),-,+2(260),+1(57),-,+1(104),+2(26),-,-10,+1(35),-,-,+1(149),30%,Gold,陈煜航,丁文涛,金义扬,孙大烈,N,N
12,10,北京交通大学,羊羊羊,7,724,+1(19),-,-,+1(59),-,+1(92),+1(9),-,+5(264),+2(37),-,-,+1(140),41%,Gold,郭昱哲,夏鹤鸣,斯修远,许华婷,N,N
13,11,杭州电子科技大学,2023杭电15队,7,748,+1(9),-,-,+2(120),-,+2(110),+1(5),-,+2(148),+1(20),-,-1,+3(233),41%,Gold,马文浩,胡昊,何卓锟,刘春英,N,N
14,12,中南大学,千帆星河,7,754,+1(32),-,+2(294),+1(73),-,+1(99),+1(22),-,-,+1(16),-,-,+1(194),12%,Gold,周硕,陈贤,郑逸程,陈再良,N,N
15,,浙江大学,Rd_rainydays,7,783,+2(110),-,-2,+2(59),+2(235),+1(109),+1(5),-,-,+2(20),-,-,+1(162),36%,Gold,叶佳昂,汪翔,王培成,王灿,N,N
16,13,北京航空航天大学,我是秦皇，v我50,7,784,+1(7),-,-,+5(142),-,+1(54),+1(20),-,+1(233),+1(32),-,-,+1(214),36%,Gold,金炼凯,杨振炜,唐怡浜,宋友,N,N
17,,浙江大学,Stardust Reverie,7,822,+2(70),-,-5,+3(120),-,+1(61),+1(17),-,+3(198),+1(13),-,-1,+1(240),41%,Gold,林滨,李克成,谭思成,王灿,N,N
18,,北京交通大学,蓝色线段树,7,853,+2(30),-,+3(238),+1(71),-,+1(122),+1(11),-,-,+1(19),-,-,+3(260),41%,Gold,俞贤皓,邓人嘉,金恒柘,黄华,N,N
19,,吉林大学,rand,7,868,+3(27),-,-1,+1(46),-,+1(209),+1(11),-,+2(230),+1(16),-,-,+1(265),30%,Gold,剧若菲,王天泽,陈鹏旭,郭东伟,N,N
20,,清华大学,一个人两棵树,7,883,+1(13),+2(156),-,+2(244),-,+1(243),+1(18),-,-9,+1(32),-,-,+2(114),30%,Gold,陈柘宇,秦铁荥,陈树伦,邬晓钧,N,N
21,,浙江大学,Teamname,7,1112,+2(23),-,+8(296),+4(105),-,+3(175),+1(12),-,-,+2(48),-,+2(149),-,68%,Gold,陈君林,刘振宇,邹宇涵,王灿,N,N
22,,北京航空航天大学,口嗨战神,6,297,+1(32),-,-,+1(25),-,+1(67),+1(11),-,-2,+1(19),-,-3,+1(141),0%,Gold,董和军,蒋槟阳,王大禹,宋友,N,N
23,14,东南大学,你也不想别人知道你在打ACM吧,6,326,+2(30),-,-,+2(52),-,+1(87),+1(11),-,-,+1(20),-,-,+1(83),25%,Gold,肖旭杰,王梓鹏,徐宽,倪庆剑,N,N
24,15,南京大学,平流层,6,453,+1(31),-,-,+1(60),-,+1(91),+1(20),-,-2,+1(14),-2,-,+3(196),25%,Gold,潘谟天,陆华均,陈梓睿,马骏,N,N
24,,东南大学,不休独舞,6,453,+1(24),-,-2,+1(82),-,+1(101),+1(28),-,-2,+1(14),-,-,+1(201),0%,Gold,戚雨林,张皓,王希陶,倪庆剑,N,N
